generator,split_seed,price,quality,mean_length,samples,matched_length,matched_saving_percent,relative_profit_percent,relative_vs_test_oracle
llama3.1_8b,72,2e-08,0.6330220468789575,1022749.315,666.15,1326852.9532913058,22.919166553985203,0.6877335532977924,0.665229699645167
llama3.1_8b,72,1e-07,0.5803882292146071,298358.1225,271.2025,414619.88267317996,28.040565595553492,1.932622869138098,1.7033415069719169
llama3.1_8b,72,2e-07,0.5482754417031165,170650.105,171.415,228348.3178369246,25.26763209095759,2.4132126868012738,2.1634855274261398
llama3.1_8b,72,1e-06,0.45162717798958224,45718.1575,48.035,65163.28092273508,29.840614449403503,5.990510464063269,4.823616581066212
llama3.1_8b,72,2e-06,0.4027355883090684,24984.6325,27.185,36317.67349498046,31.205305583648745,8.296449292009703,6.157495574308001
llama3.1_8b,72,1e-05,0.31366187802271156,8959.115,8.2325,12465.275450443774,28.127420564292084,16.956141751540994,12.91796127067031
llama3.1_8b,73,2e-08,0.647674363319728,1025535.14,637.455,1195440.8133787613,14.212805140770168,-1.3344577519236214,-1.3406047597561745
llama3.1_8b,73,1e-07,0.5877063382634021,295771.4,268.17,442240.786526824,33.119827702264615,1.9940642037941683,1.5757445650226787
llama3.1_8b,73,2e-07,0.5566867732402823,172140.9275,182.495,269610.457209027,36.15198413222511,4.092288850838015,3.8499575697658086
llama3.1_8b,73,1e-06,0.4533088464210384,44610.485,56.745,63673.97363688742,29.93921621037896,5.266349225574353,4.881152885467869
llama3.1_8b,73,2e-06,0.4131873013679136,24765.0975,32.17,38435.90039062128,35.56779664762865,10.244943326737777,7.4041317876869375
llama3.1_8b,73,1e-05,0.323255698526123,9344.065,9.54,13284.064191653444,29.659591634079863,15.566000328783847,13.865393833613112
llama3.1_8b,74,2e-08,0.6575964385210911,986118.9875,619.935,1207622.8114717116,18.342136457472858,-0.029136715144976167,-0.07226704667971497
llama3.1_8b,74,1e-07,0.5977616810198391,287252.5525,271.1475,441031.2857547054,34.86798742441929,2.5761333415672563,2.1171368815258242
llama3.1_8b,74,2e-07,0.565353308116927,167973.87,185.135,278707.8298919501,39.73119805599995,5.141472120398716,3.8323335161698218
llama3.1_8b,74,1e-06,0.45918385572506354,45262.4525,59.375,72401.6605879077,37.484234294538275,7.148825265280211,6.877244093997303
llama3.1_8b,74,2e-06,0.40686850916266415,24936.8425,33.8725,37001.275696949524,32.605452027547656,7.229902193166187,6.631037075456536
llama3.1_8b,74,1e-05,0.32111546691035725,8917.765,9.4,12386.70442989134,28.00534597015303,13.890266042548896,9.882286748037169
llama3.1_8b,75,2e-08,0.6375033656745098,1056302.3875,631.0375,1284869.2578031365,17.78911503369137,-0.14004704307372856,-0.18655162871550046
llama3.1_8b,75,1e-07,0.5765075606371322,305349.3975,251.005,433466.9555311847,29.55647631182986,1.9556087713738344,1.6077191127008121
llama3.1_8b,75,2e-07,0.5414942185142704,175818.825,161.9625,242645.78277414312,27.540951674542903,2.537207433500741,2.266047317437762
llama3.1_8b,75,1e-06,0.44771387065151363,45139.7375,44.9625,65590.57917414287,31.179541226257392,5.552851750106659,5.351575307741926
llama3.1_8b,75,2e-06,0.4015181047587546,24598.435,25.5675,35590.078534750304,30.884010340179536,7.177494625337805,6.57711320737272
llama3.1_8b,75,1e-05,0.31225885758270816,9215.1825,7.9525,12135.504712422144,24.064283123163744,12.925951158203219,12.106648957410336
llama3.2_3b,71,2e-08,0.6502298843008328,956162.68,618.47,1026987.8428407018,6.896397395006703,-1.3005260232930007,-1.3730268510663115
llama3.2_3b,71,1e-07,0.5851444704112269,291543.76,269.2325,381919.73903858784,23.663605150677103,-0.22818894620610647,-0.3452754456416138
llama3.2_3b,71,2e-07,0.5475424006370678,170688.0625,174.7125,224844.66302706927,24.08622904273663,1.2033644529164722,0.8820866293125108
llama3.2_3b,71,1e-06,0.4513447735911587,45375.8075,53.6725,69560.5088977412,34.76786150787711,7.847506001009879,6.095092538023974
llama3.2_3b,71,2e-06,0.3968783320524479,25197.805,29.9525,33528.25199129494,24.846052199374448,5.479916954969371,4.909560877848862
llama3.2_3b,71,1e-05,0.3137665305745858,9019.0325,8.2225,11032.989816717283,18.25395790419129,8.301175750778539,6.530480041356886
llama3.2_3b,72,2e-08,0.658940319266272,958326.35,654.865,1192750.2699406932,19.65406555324858,-0.16343006786874414,-0.21225822955283147
llama3.2_3b,72,1e-07,0.6009189055268959,276347.17,251.945,424961.8090976013,34.971292929400356,2.174869854226807,1.218720772742189
llama3.2_3b,72,2e-07,0.5649008727505666,162622.7175,160.615,257379.28755037396,36.815926779589184,3.2586333404333376,2.9566693086286455
llama3.2_3b,72,1e-06,0.45944753499627794,44425.0675,48.2625,71054.99209452838,37.47790803931288,8.96644352148491,6.6968143918143355
llama3.2_3b,72,2e-06,0.408896960631763,24697.675,27.645,37661.29499476477,34.421599141948846,7.677616818646028,7.6776168186460785
llama3.2_3b,72,1e-05,0.3023146490732248,8310.345,8.3425,10381.132608637572,19.947607710112326,9.183258148722008,8.351650650339222
llama3.2_3b,73,2e-08,0.6487112777020277,952062.735,651.98,1005389.4768632806,5.304087927163814,-0.7687851372421798,-0.8226708126096931
llama3.2_3b,73,1e-07,0.5925464285679862,290561.4575,290.9975,383185.68912436994,24.17215315008986,0.2962875605619321,0.11116290452807025
llama3.2_3b,73,2e-07,0.5586665150178496,171040.36,194.9125,236897.82406510162,27.799944691346525,2.3785194033720622,1.6439558619400136
