generator,split_seed,method,target,attained_quality,mean_length,samples,matched_feasible,matched_length,matched_saving_percent
gemma2_9b,72,shape_jensen_bound,0.4,0.40152465259349684,22574.2725,16.9875,True,16099.820606911604,-40.214435000033056
gemma2_9b,72,shape_jensen_bound,0.45,0.4827616132225237,66390.99,59.4025,True,56967.637969977746,-16.541588111812565
gemma2_9b,72,shape_jensen_bound,0.5,0.5503878721108854,198276.1275,184.6775,True,199568.5420982667,0.6476043692448918
gemma2_9b,72,shape_jensen_bound,0.55,0.5968170136858955,602516.48,455.7225,True,530034.2227836854,-13.675014574652389
gemma2_9b,72,shape_jensen_bound,0.6,0.6140475259975671,933919.0625,675.19,True,777764.1954288841,-20.077404949839206
gemma2_9b,72,shape_empirical_bound,0.3,0.33311731517844445,6367.795,4.7975,True,6033.140731606458,-5.54693290412327
gemma2_9b,72,shape_empirical_bound,0.35,0.35120266092643826,9981.565,7.57,True,7716.620313367207,-29.351511343759086
gemma2_9b,72,shape_empirical_bound,0.4,0.40152465259349684,22574.2725,16.9875,True,16099.820606911604,-40.214435000033056
gemma2_9b,72,shape_empirical_bound,0.45,0.4827616132225237,66390.99,59.4025,True,56967.637969977746,-16.541588111812565
gemma2_9b,72,shape_empirical_bound,0.5,0.5503878721108854,198276.1275,184.6775,True,199568.5420982667,0.6476043692448918
gemma2_9b,72,shape_empirical_bound,0.55,0.5968170136858955,602516.48,455.7225,True,530034.2227836854,-13.675014574652389
gemma2_9b,72,shape_empirical_bound,0.6,0.6140475259975671,933919.0625,675.19,True,777764.1954288841,-20.077404949839206
gemma2_9b,72,rank_jensen_moment,0.3,0.32525769505561136,5555.07,4.1925,True,5430.2790695422045,-2.2980574084623617
gemma2_9b,72,rank_jensen_moment,0.35,0.3347622054987855,6610.5925,5.0125,True,6159.3098462629505,-7.3268379899877445
gemma2_9b,72,rank_jensen_moment,0.4,0.3602689097067039,11398.2025,8.6,True,8808.342507863703,-29.402353391959757
gemma2_9b,72,rank_jensen_moment,0.45,0.42497771620705194,28676.39,22.485,True,24346.621463160413,-17.78385778655609
gemma2_9b,72,rank_jensen_moment,0.5,0.5028121225253452,86077.315,84.365,True,80465.48506448053,-6.974207551253153
gemma2_9b,72,rank_jensen_moment,0.55,0.5612817457853155,252224.9075,235.66,True,250202.66077091888,-0.8082434946335981
gemma2_9b,72,rank_jensen_moment,0.6,0.5992505751577436,682323.7725,505.27,True,559589.2762056547,-21.9329607469531
gemma2_9b,72,rank_empirical_moment,0.3,0.32525769505561136,5555.07,4.1925,True,5430.2790695422045,-2.2980574084623617
gemma2_9b,72,rank_empirical_moment,0.35,0.3347622054987855,6610.5925,5.0125,True,6159.3098462629505,-7.3268379899877445
gemma2_9b,72,rank_empirical_moment,0.4,0.3602689097067039,11398.2025,8.6,True,8808.342507863703,-29.402353391959757
gemma2_9b,72,rank_empirical_moment,0.45,0.42497771620705194,28676.39,22.485,True,24346.621463160413,-17.78385778655609
gemma2_9b,72,rank_empirical_moment,0.5,0.5028121225253452,86077.315,84.365,True,80465.48506448053,-6.974207551253153
gemma2_9b,72,rank_empirical_moment,0.55,0.5612817457853155,252224.9075,235.66,True,250202.66077091888,-0.8082434946335981
gemma2_9b,72,rank_empirical_moment,0.6,0.5992505751577436,682323.7725,505.27,True,559589.2762056547,-21.9329607469531
gemma2_9b,72,shape_jensen_moment,0.3,0.32525769505561136,5555.07,4.1925,True,5430.2790695422045,-2.2980574084623617
gemma2_9b,72,shape_jensen_moment,0.35,0.3347622054987855,6610.5925,5.0125,True,6159.3098462629505,-7.3268379899877445
gemma2_9b,72,shape_jensen_moment,0.4,0.3602689097067039,11398.2025,8.6,True,8808.342507863703,-29.402353391959757
gemma2_9b,72,shape_jensen_moment,0.45,0.42497771620705194,28676.39,22.485,True,24346.621463160413,-17.78385778655609
gemma2_9b,72,shape_jensen_moment,0.5,0.5028121225253452,86077.315,84.365,True,80465.48506448053,-6.974207551253153
