reward_model,generator,price_per_million,relative_net_utility_gain_percent,ci_low,ci_high,confidence,bootstrap_repetitions
fsfairx_llama3_rm,granite42_8b,1.0,3.0759029940378,1.4503781703146448,4.747298526730906,0.95,1000
fsfairx_llama3_rm,granite42_8b,2.0,4.460155426595114,2.599875943918829,6.529449386494359,0.95,1000
fsfairx_llama3_rm,granite42_8b,5.0,2.013501296380652,-0.7613830809067271,4.75809502878186,0.95,1000
fsfairx_llama3_rm,granite42_8b,10.0,4.499781096739959,1.5596638835322882,7.795615424879435,0.95,1000
rm_mistral_7b,granite42_8b,0.1,0.02087216182202769,-1.2366095914010689,1.184556435839804,0.95,1000
rm_mistral_7b,granite42_8b,0.2,0.6844910059590285,-0.3418612250865486,1.6551630727380322,0.95,1000
rm_mistral_7b,granite42_8b,0.5,2.369815807232726,1.1511569158309596,3.6060933760106555,0.95,1000
rm_mistral_7b,granite42_8b,1.0,2.2050713716159387,0.8941871171711763,3.6313787302361513,0.95,1000
rm_mistral_7b,granite42_8b,2.0,2.7271986436403064,0.9668684471707254,4.585070673637718,0.95,1000
rm_mistral_7b,granite42_8b,5.0,0.6564765542278569,-1.9399711437770808,3.1526035363709397,0.95,1000
rm_mistral_7b,granite42_8b,10.0,4.143480391352514,1.0254501560190923,7.402810638981882,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.1,1.9260765280144618,1.3636415215531352,2.518112280506026,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.2,2.0998743358904464,1.1472292605744863,3.0024806483623068,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.5,3.61701914460087,2.276014767894421,4.934014876728837,0.95,1000
fsfairx_llama3_rm,ministral3_8b,1.0,4.454169684751003,3.0041501817343845,5.853831068287127,0.95,1000
fsfairx_llama3_rm,ministral3_8b,2.0,6.130335737326095,4.297827725868277,8.188830228299382,0.95,1000
fsfairx_llama3_rm,ministral3_8b,5.0,5.371766222884756,2.4704526586385023,8.745040485912563,0.95,1000
fsfairx_llama3_rm,ministral3_8b,10.0,6.973583218259859,4.424706884594806,9.878071303375583,0.95,1000
rm_mistral_7b,ministral3_8b,0.1,1.2438275972130208,0.522779586328261,2.0638182746351843,0.95,1000
rm_mistral_7b,ministral3_8b,0.2,2.020441930743104,1.0251461716938461,3.0443462212811254,0.95,1000
rm_mistral_7b,ministral3_8b,0.5,1.906968088518252,0.7238336924644716,3.0046465140554166,0.95,1000
rm_mistral_7b,ministral3_8b,1.0,3.6814134092081288,2.5000859289197304,4.946618362891057,0.95,1000
rm_mistral_7b,ministral3_8b,2.0,3.1286152363525117,0.7862668148115268,5.410167489939774,0.95,1000
rm_mistral_7b,ministral3_8b,5.0,2.8246484721247116,0.2535924327751408,5.499525961641421,0.95,1000
rm_mistral_7b,ministral3_8b,10.0,7.126925197485266,4.135794927522579,10.44768779430951,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.1,1.961642240623482,1.2292298412475193,2.7469697349296935,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.2,2.868903344567659,1.9763972653361646,3.854850895826704,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.5,3.312448514868599,2.157808018565482,4.638056798176208,0.95,1000
fsfairx_llama3_rm,qwen35_9b,1.0,3.6052431926882598,2.527616803388928,4.7752144061891615,0.95,1000
fsfairx_llama3_rm,qwen35_9b,2.0,2.9660604627568765,1.4195324634842015,4.861287723110613,0.95,1000
fsfairx_llama3_rm,qwen35_9b,5.0,2.8617753919684867,0.8697932326702427,5.117428067706364,0.95,1000
fsfairx_llama3_rm,qwen35_9b,10.0,7.773821168139017,4.852029900047723,11.171906540236183,0.95,1000
rm_mistral_7b,qwen35_9b,0.1,1.3934389584352924,0.7138339216050266,1.9965627983666083,0.95,1000
rm_mistral_7b,qwen35_9b,0.2,1.7023030089142037,0.7979868843032626,2.6505324702288178,0.95,1000
rm_mistral_7b,qwen35_9b,0.5,2.7068381558010115,1.795129157551171,3.704043312871348,0.95,1000
rm_mistral_7b,qwen35_9b,1.0,2.6960862266367562,1.6228762240976236,3.6858892324762182,0.95,1000
rm_mistral_7b,qwen35_9b,2.0,1.9953108822417835,0.45835646482613995,3.625868110828035,0.95,1000
rm_mistral_7b,qwen35_9b,5.0,2.712180771968616,0.6319249674167746,4.984371405256449,0.95,1000
rm_mistral_7b,qwen35_9b,10.0,5.460181257472556,2.6073738855611053,8.66947574212508,0.95,1000
