generator,split_seed,price,selected_length_budget,fixed_n,profit,fixed_profit,delta_profit,relative_percent,quality,fixed_quality,cost,fixed_cost,samples,ci_low,ci_high
llama3.2_3b,41,1e-07,555798.1977492545,333,0.5768123059489149,0.5646260699996198,0.012186235949295283,2.158284322454946,0.619401346198915,0.6228867842496199,0.04258904024999999,0.05826071424999999,363.135,0.004131282699848544,0.020256118749132867
llama3.2_3b,41,2e-07,272876.1283088787,155,0.5463999787993867,0.513957526570944,0.03244245222844286,6.312282737621253,0.5941275772993868,0.568211036070944,0.04772759850000001,0.054253509500000005,262.1175,0.01896807946965653,0.048522359291713016
llama3.2_3b,41,1e-06,87426.48159758205,45,0.4412895883965247,0.3922859816687577,0.04900360672776698,12.491806747543968,0.5281378708965248,0.4709804016687575,0.08684828249999998,0.07869441999999999,130.8575,0.025102151463041036,0.07475687701629492
llama3.2_3b,41,2e-06,42923.13272447566,24,0.38318623734480056,0.3409695011932527,0.04221673615154798,12.381381913574911,0.47095236234480053,0.4250371861932527,0.087766125,0.08406768499999999,72.595,0.021936027019113038,0.06466994173617646
llama3.2_3b,41,1e-05,7784.085470733542,4,0.24185877064264838,0.2102064185895177,0.03165235205313068,15.057747648962172,0.3294185456426484,0.2807485685895177,0.087559775,0.07054215000000001,13.6775,0.01962637549110245,0.04552603032487085
llama3.2_3b,42,2e-08,1734761.1107235006,510,0.6056832500329699,0.6057975646030365,-0.00011431457006688572,-0.018870094029148684,0.6242904121329699,0.6255006087030367,0.018607162099999998,0.0197030441,499.03,-0.0008610786397871854,0.00045567167697742154
llama3.2_3b,42,1e-07,555798.1977492545,356,0.5509589108080165,0.5378876112971654,0.013071299510851087,2.430117228267899,0.5966595595580166,0.6066529825471656,0.04570064875000001,0.06876537125,332.3675,0.0049936711080031835,0.021177508272160205
llama3.2_3b,42,2e-07,314597.931233393,181,0.5193777285031291,0.49746311962188555,0.02191460888124375,4.405273077911931,0.5751432760031292,0.5673907831218855,0.05576554750000001,0.06992766349999999,244.03,0.013987555861974445,0.030546100559032535
llama3.2_3b,42,1e-06,100793.68399158976,52,0.4149280836414764,0.3817532142153951,0.03317486942608125,8.690134932921122,0.5149680361414765,0.48204692921539516,0.10003995249999999,0.10029371499999998,122.24,0.016331756243201562,0.054130540981620366
llama3.2_3b,42,2e-06,42923.13272447566,24,0.36755795525998974,0.33666316886528136,0.03089478639470833,9.176764568229661,0.4555031602599898,0.42949474386528136,0.08794520499999998,0.092831575,60.0425,0.011746632965631009,0.05382766761764498
llama3.2_3b,42,1e-05,8974.244837073964,4,0.2371654691506299,0.20990876231348454,0.02725670683714553,12.98502574963473,0.33766471915063,0.2885050123134846,0.10049925,0.07859625000000003,13.05,0.013141661071401542,0.04500006516754164
llama3.2_3b,43,2e-08,1734761.1107235006,510,0.6261859949644198,0.6263731374510033,-0.00018714248658357913,-0.02987715714392652,0.6445429265644197,0.6457319344510033,0.0183569316,0.019358796999999997,499.71,-0.0009256796356088256,0.0003573584861574782
llama3.2_3b,43,1e-07,640777.7927618554,328,0.5702794280945629,0.5616086487044571,0.008670779390105816,1.5439184225720064,0.6192421205945631,0.6238611652044571,0.0489626925,0.062252516499999994,356.6,0.002869804810033465,0.01436859598180158
llama3.2_3b,43,2e-07,314597.931233393,177,0.5400192574257549,0.5119133787652251,0.02810587866052986,5.490358296226487,0.5943625844257547,0.579146587765225,0.054343327,0.06723320899999999,256.6125,0.018898383228551727,0.0386988166604901
llama3.2_3b,43,1e-06,87426.48159758205,52,0.43574945519824676,0.3911703541223558,0.04457910107589111,11.396339371348942,0.522348665198247,0.48992507912235567,0.08659921000000002,0.09875472499999999,125.0475,0.0286835540096204,0.06400630297839414
llama3.2_3b,43,2e-06,42923.13272447566,25,0.38637857102373324,0.34162445690251636,0.04475411412121698,13.10038354015963,0.47436989102373334,0.43698902690251645,0.08799131999999997,0.09536457000000001,71.005,0.024024394279704268,0.06899427996700805
llama3.2_3b,43,1e-05,7784.085470733542,4,0.24429793723526746,0.2129619591243147,0.03133597811095278,14.714354732556096,0.3329861122352675,0.29048668412431483,0.08868817500000001,0.07752472500000002,13.355,0.017383990058867024,0.048969600729084295
llama3.2_3b,44,2e-08,1734761.1107235006,510,0.6373713054993639,0.6373162498970033,5.505560236062412e-05,0.008638662888247658,0.6545400846993639,0.6552985303970031,0.017168779199999994,0.017982280500000003,502.5375,-0.00033206829477216586,0.00043147724775823384
llama3.2_3b,44,1e-07,555798.1977492545,333,0.5800617966872956,0.5739527626088159,0.006109034078479477,1.0643792445064264,0.6241387504372954,0.6326578311088162,0.044076953749999995,0.0587050685,352.2925,-0.0037969293023059924,0.015639504996335967
llama3.2_3b,44,2e-07,314597.931233393,181,0.5482145579704463,0.5247037462540566,0.023510811716389645,4.4807783219077555,0.6032086024704465,0.5885375547540567,0.05499404449999999,0.06383380849999998,267.39,0.012480048157020682,0.03520542412850679
llama3.2_3b,44,1e-06,75832.03016143471,37,0.42453683333583503,0.38186908274959597,0.042667750586239006,11.173397510742612,0.500724838335835,0.4473352027495961,0.076188005,0.06546612000000002,103.9625,0.017892492505625825,0.0735365049523763
llama3.2_3b,44,2e-06,42923.13272447566,21,0.37051889016948586,0.3217319537277889,0.048786936441696974,15.163845516872298,0.45840651516948583,0.39633405372778896,0.08788762499999998,0.0746021,63.3425,0.025597028031256644,0.07705078840035404
llama3.2_3b,44,1e-05,8974.244837073964,4,0.22645182549958454,0.19300474931345019,0.033447076186134295,17.32966484250314,0.32609622549958445,0.2644283743134501,0.09964440000000002,0.07142362500000003,13.8,0.020148742768008182,0.0474881661068887
llama3.2_3b,45,2e-08,1734761.1107235006,510,0.6388599332950629,0.6385277582558126,0.0003321750392499556,0.052022020179250644,0.6570297709450627,0.6570680681058128,0.01816983765,0.01854030985,506.0475,9.115574701870948e-05,0.0006275688037124723
llama3.2_3b,45,1e-07,362698.851488764,325,0.5691561797705839,0.5724297575736732,-0.0032735778030890516,-0.5718741487103304,0.599911744770584,0.631482002073673,0.030755564999999995,0.059052244499999997,273.0475,-0.014180568680289028,0.006435556227009865
llama3.2_3b,45,2e-07,272876.1283088787,133,0.5381840962019596,0.5125379593129484,0.025646136889011132,5.003753658244064,0.5859367987019596,0.5608638943129481,0.04775270249999999,0.04832593500000001,234.6875,0.01249590103214588,0.04122620081983833
llama3.2_3b,45,1e-06,75832.03016143471,45,0.42993034386913764,0.39299419681737474,0.03693614705176284,9.398649484111122,0.5044535138691377,0.47488257431737474,0.07452316999999999,0.08188837750000001,116.41,0.012875057480638432,0.06541562049767952
llama3.2_3b,45,2e-06,42923.13272447566,19,0.37600849434873385,0.3320871472921369,0.043921347056597025,13.22584972490954,0.463745299348734,0.40174359729213704,0.08773680499999999,0.06965644999999998,80.3475,0.021775918727253953,0.06997435336756361
llama3.2_3b,45,1e-05,6751.764378588197,4,0.23311379001591803,0.2053030669847558,0.027810723031162214,13.546180015531487,0.310664740015918,0.2795575669847559,0.07755095000000001,0.07425450000000001,13.1125,0.016872309768141462,0.040391288350280184
mistral_7b,41,2e-08,1504698.0556393196,506,0.604738815658089,0.604281563517334,0.00045725214075494015,0.07566872272147745,0.621042928108089,0.6223331842173342,0.01630411245,0.018051620700000003,494.3975,-0.0011429624509770972,0.0022943797241118708
mistral_7b,41,1e-07,555798.1977492545,292,0.5538650068661778,0.5424317753312036,0.011433231534974362,2.1077731900925865,0.6021208071161775,0.5944800715812033,0.04825580025,0.05204829625,366.4225,0.004236546639224357,0.019457147350836146
mistral_7b,41,2e-07,314597.931233393,186,0.5172879298373888,0.5049780437098422,0.012309886127546733,2.437707199527259,0.5770983343373889,0.5712363262098421,0.0598104045,0.06625828249999999,257.145,0.0034954936239574587,0.022580415706978173
mistral_7b,41,1e-06,75832.03016143471,35,0.4127101170268215,0.39678113363050854,0.01592898339631278,4.014551612009407,0.4895935520268214,0.4589192211305086,0.076883435,0.0621380875,75.1175,0.0061822549566383335,0.025829529077882867
mistral_7b,41,2e-06,42923.13272447566,21,0.3633630498776993,0.3488243090588916,0.01453874081880755,4.16792650088873,0.4510165698776993,0.4230064840588916,0.08765351999999998,0.074182175,42.6275,0.006225413422202514,0.023895051244491053
mistral_7b,41,1e-05,5856.349136371518,4,0.2349088328749357,0.21285443317314878,0.02205439970178688,10.361259276120638,0.30466085787493574,0.2836282831731487,0.06975202499999998,0.07077385,6.3275,0.012276367902039901,0.03252325537395839
