id,partition,price,method,quality,cost,samples,profit
75,test,2e-08,fixed_16,0.45175392473985726,1.2987499999999999e-05,16.0,0.45174093723985725
75,test,2e-08,fixed_32,0.47002768588282273,2.7100000000000005e-05,32.0,0.4700005858828228
75,test,2e-08,fixed_64,0.4927946432868006,5.4464999999999994e-05,64.0,0.49274017828680056
75,test,2e-08,fixed_128,0.5090640386501347,0.00011085500000000002,128.0,0.5089531836501346
75,test,2e-08,fixed_256,0.5462550492276537,0.000218765,256.0,0.5460362842276537
75,test,2e-08,fixed_512,0.5768332917985246,0.000439155,512.0,0.5763941367985246
75,test,2e-08,dmrl_doubling,0.5768332917985246,0.000439155,512.0,0.5763941367985246
75,test,2e-08,dmrl_sequential,0.5768332917985246,0.000439155,512.0,0.5763941367985246
75,test,1e-07,fixed_1,0.4259513683356464,3.9375e-06,1.0,0.42594743083564657
75,test,1e-07,fixed_2,0.43484657800567983,8.225e-06,2.0,0.43483835300567975
75,test,1e-07,fixed_4,0.4386660264680189,1.6425e-05,4.0,0.438649601468019
75,test,1e-07,fixed_8,0.4417281659363895,3.2425e-05,8.0,0.4416957409363895
75,test,1e-07,fixed_16,0.45175392473985726,6.49375e-05,16.0,0.45168898723985734
75,test,1e-07,fixed_32,0.47002768588282273,0.0001355,32.0,0.4698921858828228
75,test,1e-07,fixed_64,0.4927946432868006,0.000272325,64.0,0.4925223182868006
75,test,1e-07,fixed_128,0.5090640386501347,0.000554275,128.0,0.5085097636501346
75,test,1e-07,fixed_256,0.5462550492276537,0.0010938249999999999,256.0,0.5451612242276537
75,test,1e-07,fixed_512,0.5768332917985246,0.0021957749999999996,512.0,0.5746375167985246
75,test,1e-07,dmrl_doubling,0.5768332917985246,0.0021957749999999996,512.0,0.5746375167985246
75,test,1e-07,dmrl_sequential,0.5768332917985246,0.0021957749999999996,512.0,0.5746375167985246
75,test,2e-07,fixed_1,0.4259513683356464,7.875e-06,1.0,0.42594349333564646
75,test,2e-07,fixed_2,0.43484657800567983,1.645e-05,2.0,0.43483012800567983
75,test,2e-07,fixed_4,0.4386660264680189,3.285e-05,4.0,0.438633176468019
75,test,2e-07,fixed_8,0.4417281659363895,6.485e-05,8.0,0.4416633159363895
75,test,2e-07,fixed_16,0.45175392473985726,0.000129875,16.0,0.4516240497398573
75,test,2e-07,fixed_32,0.47002768588282273,0.000271,32.0,0.4697566858828227
75,test,2e-07,fixed_64,0.4927946432868006,0.00054465,64.0,0.4922499932868007
75,test,2e-07,fixed_128,0.5090640386501347,0.00110855,128.0,0.5079554886501346
75,test,2e-07,fixed_256,0.5462550492276537,0.0021876499999999998,256.0,0.5440673992276537
75,test,2e-07,fixed_512,0.5768332917985246,0.004391549999999999,512.0,0.5724417417985246
75,test,2e-07,dmrl_doubling,0.5768332917985246,0.004391549999999999,512.0,0.5724417417985246
75,test,2e-07,dmrl_sequential,0.5768332917985246,0.004391549999999999,512.0,0.5724417417985246
75,test,1e-06,fixed_1,0.4259513683356464,3.9374999999999995e-05,1.0,0.42591199333564644
75,test,1e-06,fixed_2,0.43484657800567983,8.224999999999998e-05,2.0,0.4347643280056798
75,test,1e-06,fixed_4,0.4386660264680189,0.00016424999999999998,4.0,0.438501776468019
75,test,1e-06,fixed_8,0.4417281659363895,0.00032424999999999994,8.0,0.44140391593638945
75,test,1e-06,fixed_16,0.45175392473985726,0.000649375,16.0,0.4511045497398573
75,test,1e-06,fixed_32,0.47002768588282273,0.0013549999999999999,32.0,0.4686726858828227
75,test,1e-06,fixed_64,0.4927946432868006,0.00272325,64.0,0.49007139328680066
75,test,1e-06,fixed_128,0.5090640386501347,0.005542750000000001,128.0,0.5035212886501347
75,test,1e-06,fixed_256,0.5462550492276537,0.01093825,256.0,0.5353167992276536
75,test,1e-06,fixed_512,0.5768332917985246,0.021957749999999998,512.0,0.5548755417985246
75,test,1e-06,dmrl_doubling,0.5636555570470282,0.019923124999999996,464.0,0.5437324320470281
75,test,1e-06,dmrl_sequential,0.5514367760795528,0.01713,399.625,0.5343067760795528
75,test,2e-06,fixed_1,0.4259513683356464,7.874999999999999e-05,1.0,0.4258726183356464
75,test,2e-06,fixed_2,0.43484657800567983,0.00016449999999999996,2.0,0.4346820780056798
75,test,2e-06,fixed_4,0.4386660264680189,0.00032849999999999996,4.0,0.438337526468019
75,test,2e-06,fixed_8,0.4417281659363895,0.0006484999999999999,8.0,0.4410796659363895
75,test,2e-06,fixed_16,0.45175392473985726,0.00129875,16.0,0.45045517473985736
75,test,2e-06,fixed_32,0.47002768588282273,0.0027099999999999997,32.0,0.4673176858828228
75,test,2e-06,fixed_64,0.4927946432868006,0.0054465,64.0,0.4873481432868006
75,test,2e-06,fixed_128,0.5090640386501347,0.011085500000000002,128.0,0.49797853865013464
75,test,2e-06,fixed_256,0.5462550492276537,0.0218765,256.0,0.5243785492276537
75,test,2e-06,fixed_512,0.5768332917985246,0.043915499999999996,512.0,0.5329177917985247
75,test,2e-06,dmrl_doubling,0.5514367760795528,0.034388499999999995,401.0,0.5170482760795528
75,test,2e-06,dmrl_sequential,0.5514367760795528,0.03422075,399.125,0.5172160260795529
75,test,1e-05,fixed_1,0.4259513683356464,0.00039375000000000006,1.0,0.4255576183356464
75,test,1e-05,fixed_2,0.43484657800567983,0.0008225000000000001,2.0,0.4340240780056799
75,test,1e-05,fixed_4,0.4386660264680189,0.0016425,4.0,0.43702352646801895
75,test,1e-05,fixed_8,0.4417281659363895,0.0032425,8.0,0.4384856659363895
75,test,1e-05,fixed_16,0.45175392473985726,0.00649375,16.0,0.4452601747398573
75,test,1e-05,fixed_32,0.47002768588282273,0.01355,32.0,0.4564776858828227
75,test,1e-05,fixed_64,0.4927946432868006,0.027232500000000003,64.0,0.46556214328680057
75,test,1e-05,fixed_128,0.5090640386501347,0.055427500000000005,128.0,0.45363653865013465
75,test,1e-05,fixed_256,0.5462550492276537,0.10938250000000001,256.0,0.4368725492276537
75,test,1e-05,fixed_512,0.5768332917985246,0.21957750000000004,512.0,0.35725579179852457
75,test,1e-05,dmrl_doubling,0.5361670496450258,0.14496000000000003,337.0,0.3912070496450258
75,test,1e-05,dmrl_sequential,0.47017626857015077,0.0334275,76.25,0.43674876857015077
0,test,2e-08,fixed_1,0.010341061140170218,6.46375e-05,1.0,0.010276423640170217
0,test,2e-08,fixed_2,0.04549671452338764,0.0001407525,2.0,0.045355962023387646
0,test,2e-08,fixed_4,0.09029291320065182,0.0002554925,4.0,0.09003742070065181
0,test,2e-08,fixed_8,0.14017425421057844,0.00049601,8.0,0.13967824421057842
0,test,2e-08,fixed_16,0.2075525124547321,0.00101813,16.0,0.20653438245473207
0,test,2e-08,fixed_32,0.333873646273161,0.002021285,32.0,0.33185236127316103
0,test,2e-08,fixed_64,0.4513648944525899,0.003877485,64.0,0.4474874094525899
0,test,2e-08,fixed_128,0.5340310764318354,0.0076160275,128.0,0.5264150489318355
0,test,2e-08,fixed_256,0.6020511381831635,0.015479045,256.0,0.5865720931831634
0,test,2e-08,fixed_512,0.6517672748957976,0.0304479775,512.0,0.6213192973957976
0,test,2e-08,dmrl_doubling,0.6517672748957976,0.0304479775,512.0,0.6213192973957976
0,test,2e-08,dmrl_sequential,0.6517672748957976,0.0304479775,512.0,0.6213192973957976
0,test,1e-07,fixed_1,0.010341061140170218,0.00032318749999999996,1.0,0.010017873640170219
0,test,1e-07,fixed_2,0.04549671452338764,0.0007037624999999999,2.0,0.044792952023387636
0,test,1e-07,fixed_4,0.09029291320065182,0.0012774625,4.0,0.08901545070065181
0,test,1e-07,fixed_8,0.14017425421057844,0.00248005,8.0,0.13769420421057843
0,test,1e-07,fixed_16,0.2075525124547321,0.00509065,16.0,0.2024618624547321
0,test,1e-07,fixed_32,0.333873646273161,0.010106425,32.0,0.323767221273161
0,test,1e-07,fixed_64,0.4513648944525899,0.019387425,64.0,0.4319774694525899
0,test,1e-07,fixed_128,0.5340310764318354,0.0380801375,128.0,0.4959509389318355
0,test,1e-07,fixed_256,0.6020511381831635,0.07739522499999998,256.0,0.5246559131831634
0,test,1e-07,fixed_512,0.6517672748957976,0.15223988749999998,512.0,0.49952738739579755
0,test,1e-07,dmrl_doubling,0.6517672748957976,0.15223988749999998,512.0,0.49952738739579755
0,test,1e-07,dmrl_sequential,0.6043923137435384,0.1274042875,427.625,0.47698802624353837
0,test,2e-07,fixed_1,0.010341061140170218,0.0006463749999999999,1.0,0.009694686140170218
0,test,2e-07,fixed_2,0.04549671452338764,0.0014075249999999997,2.0,0.04408918952338764
0,test,2e-07,fixed_4,0.09029291320065182,0.002554925,4.0,0.08773798820065183
0,test,2e-07,fixed_8,0.14017425421057844,0.0049601,8.0,0.13521415421057842
0,test,2e-07,fixed_16,0.2075525124547321,0.0101813,16.0,0.1973712124547321
0,test,2e-07,fixed_32,0.333873646273161,0.02021285,32.0,0.313660796273161
0,test,2e-07,fixed_64,0.4513648944525899,0.03877485,64.0,0.41259004445258984
0,test,2e-07,fixed_128,0.5340310764318354,0.076160275,128.0,0.45787080143183545
0,test,2e-07,fixed_256,0.6020511381831635,0.15479044999999997,256.0,0.44726068818316345
0,test,2e-07,fixed_512,0.6517672748957976,0.30447977499999995,512.0,0.34728749989579755
0,test,2e-07,dmrl_doubling,0.6517672748957976,0.30447977499999995,512.0,0.34728749989579755
0,test,2e-07,dmrl_sequential,0.521002167863709,0.16551074999999998,276.25,0.3554914178637091
0,test,1e-06,fixed_1,0.010341061140170218,0.0032318749999999995,1.0,0.007109186140170217
0,test,1e-06,fixed_2,0.04549671452338764,0.0070376250000000005,2.0,0.038459089523387634
0,test,1e-06,fixed_4,0.09029291320065182,0.012774625000000001,4.0,0.0775182882006518
0,test,1e-06,fixed_8,0.14017425421057844,0.0248005,8.0,0.11537375421057842
0,test,1e-06,fixed_16,0.2075525124547321,0.0509065,16.0,0.15664601245473211
0,test,1e-06,fixed_32,0.333873646273161,0.10106425000000001,32.0,0.23280939627316097
0,test,1e-06,fixed_64,0.4513648944525899,0.19387424999999997,64.0,0.2574906444525899
0,test,1e-06,fixed_128,0.5340310764318354,0.380801375,128.0,0.15322970143183548
0,test,1e-06,fixed_256,0.6020511381831635,0.7739522499999999,256.0,-0.1719011118168366
0,test,1e-06,fixed_512,0.6517672748957976,1.522398875,512.0,-0.8706316001042025
0,test,1e-06,dmrl_doubling,0.49048495143492676,0.506401125,168.0,-0.01591617356507321
0,test,1e-06,dmrl_sequential,0.4388689579132346,0.31307625,101.75,0.1257927079132346
0,test,2e-06,fixed_1,0.010341061140170218,0.006463749999999999,1.0,0.003877311140170218
0,test,2e-06,fixed_2,0.04549671452338764,0.014075250000000001,2.0,0.03142146452338764
0,test,2e-06,fixed_4,0.09029291320065182,0.025549250000000003,4.0,0.06474366320065182
0,test,2e-06,fixed_8,0.14017425421057844,0.049601,8.0,0.09057325421057842
0,test,2e-06,fixed_16,0.2075525124547321,0.101813,16.0,0.1057395124547321
0,test,2e-06,fixed_32,0.333873646273161,0.20212850000000002,32.0,0.131745146273161
0,test,2e-06,fixed_64,0.4513648944525899,0.38774849999999994,64.0,0.0636163944525899
0,test,2e-06,fixed_128,0.5340310764318354,0.76160275,128.0,-0.2275716735681645
0,test,2e-06,fixed_256,0.6020511381831635,1.5479044999999998,256.0,-0.9458533618168367
0,test,2e-06,fixed_512,0.6517672748957976,3.04479775,512.0,-2.3930304751042017
0,test,2e-06,dmrl_doubling,0.46805154924854303,0.67796025,112.0,-0.20990870075145698
0,test,2e-06,dmrl_sequential,0.4388689579132346,0.41704225000000006,69.75,0.0218267079132346
0,test,1e-05,fixed_1,0.010341061140170218,0.03231875,1.0,-0.021977688859829782
0,test,1e-05,fixed_2,0.04549671452338764,0.07037625,2.0,-0.024879535476612365
0,test,1e-05,fixed_4,0.09029291320065182,0.12774625,4.0,-0.03745333679934819
0,test,1e-05,fixed_8,0.14017425421057844,0.248005,8.0,-0.10783074578942159
0,test,1e-05,fixed_16,0.2075525124547321,0.509065,16.0,-0.30151248754526794
0,test,1e-05,fixed_32,0.333873646273161,1.0106425,32.0,-0.6767688537268391
0,test,1e-05,fixed_64,0.4513648944525899,1.9387425000000003,64.0,-1.4873776055474102
0,test,1e-05,fixed_128,0.5340310764318354,3.8080137499999998,128.0,-3.273982673568165
0,test,1e-05,fixed_256,0.6020511381831635,7.739522500000002,256.0,-7.1374713618168375
0,test,1e-05,fixed_512,0.6517672748957976,15.223988750000002,512.0,-14.572221475104204
0,test,1e-05,dmrl_doubling,0.333873646273161,0.9626000000000001,30.0,-0.6287263537268392
0,test,1e-05,dmrl_sequential,0.2196833344805179,0.6330375,19.875,-0.41335416551948223
1,train,2e-08,fixed_1,0.1009982928745916,3.1605e-05,1.0,0.1009666878745916
1,train,2e-08,fixed_2,0.17561998656684297,6.6385e-05,2.0,0.17555360156684294
1,train,2e-08,fixed_4,0.28135337664391663,0.00013226,4.0,0.28122111664391664
1,train,2e-08,fixed_8,0.3871398917506721,0.000266295,8.0,0.3868735967506721
1,train,2e-08,fixed_16,0.432420596930518,0.0005380925,16.0,0.431882504430518
1,train,2e-08,fixed_32,0.4822342021952076,0.0010647775,32.0,0.4811694246952076
1,train,2e-08,fixed_64,0.49969213509472477,0.00213539,64.0,0.4975567450947248
1,train,2e-08,fixed_128,0.5776531876563463,0.004307505,128.0,0.5733456826563462
1,train,2e-08,fixed_256,0.6409625370000035,0.0086216925,256.0,0.6323408445000036
1,train,2e-08,fixed_512,0.6744879056091201,0.01723574,512.0,0.65725216560912
1,train,2e-08,dmrl_doubling,0.6744879056091201,0.01723574,512.0,0.65725216560912
1,train,2e-08,dmrl_sequential,0.6744879056091201,0.01723574,512.0,0.65725216560912
1,train,1e-07,fixed_1,0.1009982928745916,0.00015802499999999998,1.0,0.1008402678745916
1,train,1e-07,fixed_2,0.17561998656684297,0.00033192499999999995,2.0,0.17528806156684293
