generator,divisor,splits,relative_utility_gain_pct_mean,relative_utility_gain_pct_ci_low,relative_utility_gain_pct_ci_high,utility_gap_mean,utility_gap_ci_low,utility_gap_ci_high,adaptive_utility_mean,adaptive_utility_ci_low,adaptive_utility_ci_high,fixed_utility_mean,fixed_utility_ci_low,fixed_utility_ci_high,adaptive_quality_mean,adaptive_quality_ci_low,adaptive_quality_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,adaptive_opens_mean,adaptive_opens_ci_low,adaptive_opens_ci_high
llama3.1_8b,10000000.0,10,4.565365523934112,3.8026639550692267,5.328067092798997,0.024798408017480546,0.020672545732911166,0.028924270302049925,0.5682446275615606,0.5589143301805984,0.5775749249425227,0.5434462195440799,0.5350094984932906,0.5518829405948692,0.6091150961365605,0.6011430594221215,0.6170871328509994,408704.68575,390963.3986061239,426445.9728938761,403.5015,383.83167939720954,423.1713206027905
llama3.1_8b,50000000.0,10,0.07872846397016052,-0.16213829575726468,0.3195952236975857,0.0005106833202283223,-0.0010114857336791577,0.002032852374135802,0.6284023223434618,0.6170130245411608,0.6397916201457629,0.6278916390232336,0.6171452998437167,0.6386379782027506,0.665427758883462,0.6553191851694588,0.6755363325974652,1851271.827,1757873.8901293022,1944669.763870698,943.6247500000002,937.3249397751897,949.9245602248106
llama3.2_3b,100000.0,10,10.387889530008671,6.914470121304767,13.861308938712575,0.0206436211529247,0.013954317888260698,0.027332924417588705,0.22193761106249793,0.21358222697128787,0.230292995153708,0.20129398990957328,0.1926848661223088,0.20990311369683776,0.3315860085624979,0.3201027174847948,0.34306929964020105,10964.83975,10228.825682912233,11700.853817087765,17.4665,13.604857896109863,21.328142103890137
llama3.2_3b,500000.0,10,2.9170180225654088,0.7070282211983674,5.12700782393245,0.009780042675834743,0.0023791723219570814,0.017180913029712405,0.3446665911596667,0.33484382953883685,0.35448935278049654,0.3348865484838319,0.3289135883256258,0.34085950864203807,0.41534105465966664,0.40305529514852007,0.4276268141708132,35337.23175,31909.68875397356,38764.774746026436,65.08525,51.199242754392294,78.9712572456077
llama3.2_3b,1000000.0,10,5.627560726631557,3.698266870916015,7.556854582347098,0.021762604792413938,0.014455392743059639,0.029069816841768237,0.4107318459009538,0.40212085445206985,0.41934283734983774,0.38896924110853986,0.3807583155331621,0.39718016668391765,0.47192757765095383,0.4617793276386246,0.48207582766328305,61195.73175,57541.795913679045,64849.66758632095,101.1665,83.10433317877695,119.22866682122304
llama3.2_3b,5000000.0,10,5.208048922534594,4.571715239290501,5.844382605778687,0.026552332709426574,0.023183524980721563,0.029921140438131585,0.5359832857695693,0.5275038502876706,0.5444627212514681,0.5094309530601427,0.5028340211344673,0.5160278849858182,0.5851682791195694,0.5770738627114544,0.5932626955276843,245924.96675,237324.5197971157,254525.41370288428,314.875,295.676343624997,334.073656375003
llama3.2_3b,10000000.0,10,3.4936983709204723,2.3417386835887855,4.64565805825216,0.019308623691253402,0.013042433857654943,0.02557481352485186,0.573555747656069,0.5648887497762048,0.5822227455359331,0.5542471239648157,0.5461511583834768,0.5623430895461545,0.617862682431069,0.6094440148809983,0.6262813499811397,443069.34775,432468.93321443256,453669.76228556747,454.274,429.72020856533186,478.82779143466814
llama3.2_3b,50000000.0,10,0.32732174396079194,0.11180367451497458,0.5428398134066093,0.002105806880853334,0.0007111343384331825,0.003500479423273485,0.641048760491788,0.6314402468119372,0.6506572741716389,0.6389429536109346,0.630039673125009,0.6478462340968602,0.6753660171967878,0.6670335420894841,0.6836984923040915,1715862.83525,1614323.0671934648,1817402.6033065352,944.9575000000001,939.7845011198011,950.1304988801991
mistral_7b,100000.0,10,8.346055795972081,5.544914600237531,11.14719699170663,0.016689153784904136,0.011232260787896556,0.02214604678191172,0.2187575094849276,0.21283731950250162,0.22467769946735355,0.20206835570002343,0.19583024902147966,0.2083064623785672,0.32096424448492755,0.3106510075316355,0.3312774814382196,10220.673499999999,9600.02861616497,10841.318383835029,8.7855,7.28889363326757,10.282106366732432
mistral_7b,500000.0,10,5.124751583302601,3.5576488608509003,6.691854305754301,0.017074454768718817,0.012204509793759994,0.02194439974367764,0.3530256453516113,0.3494204529126676,0.356630837790555,0.3359511905828924,0.3297825106342435,0.3421198705315413,0.41552786685161125,0.4075405806083477,0.4235151530948748,31251.110750000003,28412.795404096887,34089.42609590312,31.891000000000002,23.738388450348445,40.04361154965156
mistral_7b,1000000.0,10,3.9784537418797505,3.0077566164697727,4.949150867289728,0.015532808426604327,0.01182610287893703,0.01923951397427162,0.40694197015774625,0.40173691880044854,0.41214702151504395,0.391409161731142,0.3860878493234995,0.3967304741387845,0.4596558694077462,0.45160235325934067,0.46770938555615177,52713.89925,48966.022368777325,56461.77613122268,49.052,39.11796509982869,58.98603490017131
mistral_7b,5000000.0,10,3.2555897419658466,2.4670520249463124,4.044127458985381,0.016349017643633723,0.012425397636895718,0.02027263765037173,0.5194059225222254,0.5153935201417786,0.5234183249026721,0.5030569048785917,0.49904402752355415,0.5070697822336292,0.5610907937222253,0.5565744207052208,0.5656071667392297,208424.356,200048.88727956163,216799.82472043837,209.39175,188.9336081172167,229.8498918827833
mistral_7b,10000000.0,10,2.523160907824905,1.8837500243397225,3.1625717913100875,0.013665716176312093,0.01027564356795032,0.017055788784673866,0.5566940034787211,0.5521868383276525,0.5612011686297897,0.5430282873024093,0.5375997024536275,0.548456872151191,0.5988785628037212,0.5945732030062678,0.6031839226011746,421845.59325000003,409945.8516447573,433745.33485524275,387.93325,364.5343380644768,411.3321619355232
mistral_7b,50000000.0,10,0.3194264580734194,0.20660580492734337,0.43224711121949544,0.001987489258072439,0.0012827378320765044,0.002692240684068374,0.6246723163014777,0.617984389673775,0.6313602429291804,0.6226848270434052,0.6159724724814885,0.629397181605322,0.6581849656264777,0.6513270932715487,0.6650428379814066,1675632.46625,1629641.3546274933,1721623.5778725068,943.41225,937.0730925090689,949.751407490931
qwen2.5_7b,100000.0,10,10.25528180843967,5.8636700361099825,14.646893580769358,0.019987946428916742,0.011661091593128416,0.028314801264705067,0.21882605989537168,0.20701956119806036,0.230632558592683,0.198838113466455,0.18729559729442008,0.2103806296384899,0.32929333739537175,0.3165223400944735,0.34206433469627,11046.727750000002,10533.183142040205,11560.272357959799,19.869,14.097287754762181,25.640712245237818
qwen2.5_7b,500000.0,10,8.319865141656102,5.874308327199975,10.76542195611223,0.0266451758631066,0.01889454735352357,0.03439580437268963,0.3479752491798747,0.3404854865843966,0.35546501177535283,0.32133007331676805,0.31641765261537325,0.32624249401816285,0.41398129967987457,0.40400616328926303,0.4239564360704861,33003.02525,30389.283572803753,35616.766927196244,56.21175000000001,44.260400404062224,68.1630995959378
qwen2.5_7b,1000000.0,10,7.358709802152011,4.791641198442857,9.925778405861164,0.027672233198085188,0.018130381925708677,0.0372140844704617,0.40467500625736086,0.3962907619833923,0.4130592505313294,0.3770027730592757,0.3741656001935579,0.37983994592499354,0.4636528132573609,0.4544837681972309,0.4728218583174909,58977.80700000001,53790.10682998904,64165.50717001098,96.5805,86.7680114054559,106.39298859454411
qwen2.5_7b,5000000.0,10,3.7290049105054783,2.357358734654889,5.100651086356068,0.01838264121290869,0.011746294448841505,0.025018987976975875,0.5139365523846183,0.5079374527859881,0.5199356519832485,0.49555391117170966,0.4889768601245509,0.5021309622188684,0.5621478418346184,0.5557962570816775,0.5684994265875594,241056.44725000003,228828.96554386802,253283.92895613203,298.02425000000005,284.854525150226,311.1939748497741
qwen2.5_7b,10000000.0,10,1.3057585851015847,0.39795889356542047,2.213558276637749,0.006986320706027449,0.0021259498788370034,0.011846691533217895,0.5463489706877965,0.5398767545812676,0.5528211867943255,0.5393626499817691,0.5321922865509199,0.5465330134126183,0.5921835987377966,0.5863222743683655,0.5980449231072277,458346.2805,438020.29900950484,478672.26199049514,444.2635,419.81832845070556,468.7086715492945
qwen2.5_7b,50000000.0,10,0.2423046123301123,-0.08359872609934049,0.5682079507595651,0.0014817264640536343,-0.0005291379615207337,0.0034925908896280026,0.6178882444359772,0.6067160908903471,0.6290603979816074,0.6164065179719238,0.6050612041221528,0.6277518318216948,0.6549591955409775,0.6434917365757726,0.6664266545061823,1853547.5552499997,1770040.6118513695,1937054.49864863,933.3842499999998,928.7566448692596,938.0118551307401
