split,method,target_accuracy,target_margin,target_reached_train,fallback_reason,config_id,divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_predicted_accuracy,selection_accuracy,train_chars,profile_accuracy,profile_chars,selection_chars,adaptive_accuracy,adaptive_predicted_accuracy,adaptive_chars,adaptive_opens,target_error_pp,train_fixed_n,train_fixed_target_reached_train,train_fixed_train_accuracy,train_fixed_train_chars,train_fixed_test_accuracy,train_fixed_test_chars,saving_vs_train_fixed_pct,oracle_fixed_n,oracle_fixed_accuracy,oracle_fixed_chars,oracle_target_reached,oracle_accuracy_overshoot_pp,saving_vs_oracle_fixed_pct,matched_fixed_n_low,matched_fixed_n_high,matched_fixed_high_weight,matched_fixed_expected_n,matched_fixed_accuracy,matched_fixed_chars,matched_target_reached,matched_accuracy_error_pp,saving_vs_matched_fixed_pct,cost_unit,policy_uses_fixed_n,policy_is_mixture,equal_quality_fixed_n_low,equal_quality_fixed_n_high,equal_quality_fixed_high_weight,equal_quality_fixed_expected_n,equal_quality_fixed_accuracy,equal_quality_fixed_chars,equal_quality_target_reached,equal_quality_accuracy_error_pp,saving_vs_equal_quality_fixed_pct
98,train_selected_ucb,0.3,0.0,True,,0,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2820121951219512,0.3179341121763893,0.30773809523809526,8652.996951219513,0.30773809523809526,7434.221686361343,7434.221686361343,0.34077380952380953,0.2538289836825615,9848.251488095239,23.154761904761905,4.077380952380954,22,True,0.30121189194047765,12826.443311737805,0.31912137241171207,10155.545386904763,3.025872930524933,36,0.34098176101062105,16618.165178571428,True,0.020795148681151954,40.738033457543004,35,36,0.8229915659974794,35.82299156599748,0.34077380952380953,16536.455306508815,True,0.0,40.44520844670425,output_characters,False,False,18,19,0.60251430951381,18.60251430951381,0.3110850655228429,8587.212653673309,True,-2.968874400096666,-14.68507751327786
98,train_selected_ucb,0.35,0.0,True,,0,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3231707317073171,0.3880452040704554,0.3511904761904762,54343.358231707316,0.3511904761904762,40188.76546613821,40188.76546613821,0.3943452380952381,0.3214038264099801,57907.89533730159,140.9345238095238,4.43452380952381,77,True,0.3500437808423894,44892.551591082316,0.3691659220383318,35544.40885416667,-62.917030284253485,153,0.39440227090158075,70627.20200892858,True,0.005703280634267172,18.009076262173085,152,153,0.8037113258398454,152.80371132583986,0.3943452380952381,70536.5920753209,True,0.0,17.903752317001715,output_characters,False,False,77,78,0.4506229947612767,77.45062299476126,0.3693624462678297,35752.42350306126,True,-2.498279182740837,-61.96914688131083
99,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2926829268292683,0.27355479956633405,0.2619047619047619,2864.120426829268,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.24950396825396826,0.22043232696076262,3319.1364087301586,6.770337301587301,-0.04960317460317443,6,True,0.2590905522349957,3052.3479420731705,0.2321948038115905,3204.853515625,-3.5659318763862906,9,0.25131914741108546,4807.2802734375,True,0.18151791571172082,30.956045415742473,8,9,0.660999980002177,8.660999980002178,0.24950396825396826,4626.206039123005,True,0.0,28.25359742603745,output_characters,False,False,8,9,0.15789670135934483,8.157896701359345,0.24681009647993218,4357.47732057618,True,-0.2693871774036072,23.828945866061883
99,train_selected_ucb,0.3,0.0,True,,0,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.31859756097560976,0.30860833495810125,0.30773809523809526,6508.932926829269,0.30773809523809526,7434.221686361343,7434.221686361343,0.283234126984127,0.25975500657151773,8745.403273809523,18.321428571428573,-1.6765873015873012,15,True,0.3016004149272499,7630.869855182927,0.27320213218799544,8012.133789062499,-9.15198752357359,20,0.28489540116137474,10682.845052083332,True,0.16612741772477624,18.136009357319807,19,20,0.1950580403542623,19.19505804035426,0.283234126984127,10252.891540542545,True,0.0,14.703054848205792,output_characters,False,False,18,19,0.60251430951381,18.60251430951381,0.2819634249345067,9936.38889738495,True,-0.12707020496202648,11.986101146754324
99,train_selected_ucb,0.35,0.0,True,,0,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3475609756097561,0.35610302567386803,0.3511904761904762,31917.969512195123,0.3511904761904762,40188.76546613821,40188.76546613821,0.3482142857142857,0.3100778627521277,53769.74801587302,114.48214285714286,-0.17857142857142794,83,True,0.3501993638653435,42224.14653201219,0.33914997256695334,44333.80696614583,-21.28385017089252,113,0.3482858201320093,60358.07454427083,True,0.007153441772361768,10.915402086866557,112,113,0.6990658244407438,112.69906582444074,0.3482142857142857,60197.33288585203,True,0.0,10.677524338440694,output_characters,False,False,77,78,0.4506229947612767,77.45062299476126,0.33686493053924416,41369.650232017855,True,-1.1349355175041542,-29.973900466429765
100,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3018292682926829,0.3531319174164544,0.2619047619047619,3226.131097560976,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.2177579365079365,0.3777187215479253,2965.6150793650795,6.513392857142857,-3.224206349206349,3,True,0.25576878006255976,1661.485518292683,0.15567148680962117,1470.3369140625,-101.69629497848678,8,0.22046929228263967,3920.8984375,True,0.27113557747031614,24.36388938306746,7,8,0.6819788203011088,7.681978820301109,0.2177579365079365,3765.032344178339,True,0.0,21.232679874566127,output_characters,False,False,8,9,0.15789670135934483,8.157896701359345,0.2216156638724713,3998.285553705782,True,0.38577273645347965,25.827831966218106
100,train_selected_ucb,0.3,0.0,True,,0,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3384146341463415,0.40562898616013526,0.30773809523809526,7977.442073170731,0.30773809523809526,7434.221686361343,7434.221686361343,0.2569444444444444,0.4273291371070142,6678.287698412699,14.24702380952381,-4.305555555555557,8,True,0.30266399076790734,4430.628048780488,0.22046929228263967,3920.8984375,-70.32544466188303,16,0.2586505424911682,7841.796875,True,0.17060980467237807,14.837277669058485,15,16,0.4450515625753925,15.44505156257539,0.2569444444444444,7569.809817351099,True,0.0,11.777338406770834,output_characters,False,False,18,19,0.60251430951381,18.60251430951381,0.26545705843540734,9117.321161218011,True,0.8512613990962925,26.75164579240811
100,train_selected_ucb,0.35,0.0,True,,0,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3948170731707317,0.4608727545334544,0.3511904761904762,35819.89024390244,0.3511904761904762,40188.76546613821,40188.76546613821,0.32490079365079366,0.4839998935544251,31739.632936507936,69.57936507936508,-2.5099206349206318,29,True,0.35117848790304756,16061.02667682927,0.28335973312200924,14213.2568359375,-123.3100639978297,90,0.32507670621227736,44110.107421875,True,0.017591256148369316,28.04453493403265,89,90,0.6194293109185791,89.61942931091858,0.32490079365079366,43923.58504435279,True,0.0,27.73897462045014,output_characters,False,False,77,78,0.4506229947612767,77.45062299476126,0.31904000536302823,37959.50333544513,True,-0.5860788287765428,16.385542097252145
101,train_selected_ucb,0.25,0.0,True,,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2530487804878049,0.22975882532224723,0.2619047619047619,2735.6981707317073,0.2619047619047619,2892.9258127298463,2892.9258127298463,0.2683531746031746,0.214411218407795,2673.9265873015875,5.55109126984127,1.8353174603174593,9,True,0.2506313244337632,4811.245141006098,0.26821466445521935,4580.098074776785,41.61857358410598,10,0.2718378757014907,5088.997860863095,True,0.3484701098316112,47.456716225695395,9,10,0.03822855984391763,9.038228559843919,0.26835317460317465,4599.552580703743,True,5.551115123125783e-15,41.86550669038183,output_characters,False,False,8,9,0.15789670135934483,8.157896701359345,0.2646585086639196,4151.55188623598,True,-0.3694665939254993,35.59211927070692
101,train_selected_ucb,0.3,0.0,True,,0,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2926829268292683,0.2617544391107781,0.30773809523809526,6235.620426829269,0.30773809523809526,7434.221686361343,7434.221686361343,0.2916666666666667,0.2549177547158059,6428.073908730159,13.009920634920634,-0.8333333333333304,30,True,0.3004157851642496,16037.48380335366,0.3038118425945707,15266.993582589286,57.895613999203924,20,0.2927936696930758,10177.99572172619,True,0.11270030264091124,36.84342099880588,19,20,0.21193956914127057,19.211939569141272,0.2916666666666667,9776.951937039099,True,0.0,34.25278194957693,output_characters,False,False,18,19,0.60251430951381,18.60251430951381,0.2907591191790222,9466.81555277909,True,-0.09075474876444889,32.09887873179143
