split,fold,mixture,problem_id,n,predicted,correct,brier
0,0,0.0,abc325_c,128,0.971088378751837,0.08262883541776081,0.8717868534946671
0,0,0.0,abc325_c,256,0.9905741279861011,0.031139337501270473,0.9537440101853978
0,0,0.0,abc325_c,512,1.0,0.0,1.0
0,0,0.0,abc328_c,10,0.7304948528359171,0.0733764500497929,0.5098327510033726
0,0,0.0,abc328_c,16,0.7720902126151321,0.07528931455708557,0.5601843754443614
0,0,0.0,abc328_c,32,0.8263370563440294,0.09199403616662162,0.6211088065354013
0,0,0.0,abc328_c,64,0.878344202908832,0.13959838338080724,0.6591863433896795
0,0,0.0,abc328_c,128,0.9241811499391837,0.25208535571340585,0.6327734717522208
0,0,0.0,abc328_c,256,0.944964435019433,0.5000045914327549,0.4468096723087735
0,0,0.0,abc328_c,512,0.9463087248322147,1.0,0.002882753029142835
0,0,0.0,abc334_b,10,0.5418066317748962,0.009162986863070854,0.2997280239758543
0,0,0.0,abc334_b,16,0.573312945737424,0.008751373663278815,0.33278187502510687
0,0,0.0,abc334_b,32,0.607894221649727,0.004304163957034718,0.3733287335086526
0,0,0.0,abc334_b,64,0.6414032002536946,0.0004468145552732907,0.41583854373125684
0,0,0.0,abc334_b,128,0.678320789437337,1.1601447943263764e-06,0.46264920843627655
0,0,0.0,abc334_b,256,0.6995989658827785,4.332753222130755e-14,0.48967706369330016
0,0,0.0,abc334_b,512,0.701507049100632,0.0,0.4921121399378765
0,0,0.0,abc334_d,10,0.5894335741952927,0.07601651363567284,0.33746423542434745
0,0,0.0,abc334_d,16,0.6447718611034328,0.10175208220768076,0.38171022299623514
0,0,0.0,abc334_d,32,0.7019307498429751,0.149820002992603,0.4213754878539214
0,0,0.0,abc334_d,64,0.7425117284293101,0.2236647772384745,0.4262112284153512
0,0,0.0,abc334_d,128,0.7694421315281663,0.357024190915447,0.38056758544852454
0,0,0.0,abc334_d,256,0.7887519882848983,0.5624999879154534,0.27836540519193564
0,0,0.0,abc334_d,512,0.8108108108108109,1.0,0.0357925493060628
0,0,0.0,abc344_c,10,0.6438553480417194,0.06483472092057233,0.40178008952737276
0,0,0.0,abc344_c,16,0.6786657701500056,0.07589221500402435,0.4295925577335039
0,0,0.0,abc344_c,32,0.7050223372180916,0.12366400627780044,0.4328564758200365
0,0,0.0,abc344_c,64,0.716933433534281,0.2346421658895047,0.38915413916452163
0,0,0.0,abc344_c,128,0.7305268070066052,0.4378669346551828,0.3002444335761804
0,0,0.0,abc344_c,256,0.7512460067119112,0.7504892367906066,0.1632574086998348
0,0,0.0,abc344_c,512,0.7677824267782427,1.0,0.05392500131300221
0,0,0.0,abc348_c,10,0.37316203911169565,0.5412535400573188,0.13228597458813401
0,0,0.0,abc348_c,16,0.48056172986652734,0.6991519692729287,0.14423329986648062
0,0,0.0,abc348_c,32,0.6130500797470422,0.8955662826019101,0.1343467495248749
0,0,0.0,abc348_c,64,0.6895582484752025,0.9842355434316888,0.10164861231081081
0,0,0.0,abc348_c,128,0.7331791087403641,0.9994111875542258,0.07334000775878241
0,0,0.0,abc348_c,256,0.7586810093164909,0.9999998377799048,0.05872062255081953
0,0,0.0,abc348_c,512,0.7677824267782427,1.0,0.05392500131300221
0,1,0.0,2779,10,0.983492792874155,0.9652557701078885,0.028936152804374397
0,1,0.0,2779,16,0.9960693988159478,0.9899423634390865,0.008785917722709686
0,1,0.0,2779,32,0.9998137419821627,0.9995985509897714,0.00036798064992622553
0,1,0.0,2779,64,0.9999977842445117,0.9999993749725756,6.155816067952296e-07
0,1,0.0,2779,128,0.9999999997097893,0.9999999999995757,1.4737299940545027e-12
0,1,0.0,2779,256,1.0,1.0,3.753458456663177e-23
0,1,0.0,2779,512,1.0,1.0,0.0
0,1,0.0,2817,10,0.7290400888589534,0.9996266800838876,0.07419843136753676
0,1,0.0,2817,16,0.7387290458986434,0.9999970840050767,0.0686189725538446
0,1,0.0,2817,32,0.7435967595740902,0.9999999999955682,0.06576687845400986
0,1,0.0,2817,64,0.7439283555114399,0.9999999999999999,0.06557276068726806
0,1,0.0,2817,128,0.743929359821375,1.0,0.06557217276163924
0,1,0.0,2817,256,0.7439293598233996,0.9999999999999999,0.06557217276045389
0,1,0.0,2817,512,0.7439293598233997,1.0,0.0655721727604539
0,1,0.0,2916,10,0.22713742865754583,0.856722701955424,0.6579511538658458
0,1,0.0,2916,16,0.30035171494344043,0.782630914646649,0.5641436925136922
0,1,0.0,2916,32,0.42852547782939143,0.617306216535356,0.41296371885675914
0,1,0.0,2916,64,0.5339581318040854,0.3818554888070437,0.3150783586042376
0,1,0.0,2916,128,0.5709962458211881,0.13092707964007522,0.311883853087358
0,1,0.0,2916,256,0.5734866577252968,0.007494248628433439,0.32779219569627405
0,1,0.0,2916,512,0.573489932885906,0.0,0.32889070312148094
0,1,0.0,3081,10,0.24512010837478093,0.3893952622872967,0.23392519268954826
0,1,0.0,3081,16,0.2995434084804971,0.43832533392916906,0.23420446006302578
0,1,0.0,3081,32,0.38099822711063785,0.531600919002138,0.237627413467932
0,1,0.0,3081,64,0.46085583136514113,0.631676322116043,0.2235690757933404
0,1,0.0,3081,128,0.5365713509814101,0.7495374192120706,0.19138853957220492
0,1,0.0,3081,256,0.6064506336763124,0.9034125220194003,0.15050736496419148
0,1,0.0,3081,512,0.6706680584551149,1.0,0.10845952772172361
0,1,0.0,3104,10,0.4999767932479424,0.7100383744359711,0.25453434975000444
0,1,0.0,3104,16,0.5262500416326862,0.730303456180319,0.24492816094944303
0,1,0.0,3104,32,0.5567826489040055,0.7427582953666745,0.2287582322703985
0,1,0.0,3104,64,0.5736393333707779,0.7788388277280555,0.21343533763152933
0,1,0.0,3104,128,0.5789757032571365,0.8567506321502908,0.19839587486633728
0,1,0.0,3104,256,0.5845453038977326,0.960936090141701,0.17846643391306416
0,1,0.0,3104,512,0.5956006768189509,1.0,0.1635388125892906
0,1,0.0,3151,10,0.6268557328432754,0.44843391415887823,0.2796876623187723
0,1,0.0,3151,16,0.6514373851373976,0.4584956037317562,0.28030801466899624
0,1,0.0,3151,32,0.6711469349530981,0.4707824875981939,0.28381770046717036
0,1,0.0,3151,64,0.6796649057597342,0.4594045614477612,0.28750056552625625
0,1,0.0,3151,128,0.688983260301787,0.5224011122796819,0.2607593175236663
0,1,0.0,3151,256,0.7072987091392566,0.6879317061243984,0.19353602988338633
0,1,0.0,3151,512,0.7439293598233997,1.0,0.0655721727604539
0,1,0.0,3210,10,0.9062402042992322,0.9997103631253144,0.009469396880761923
0,1,0.0,3210,16,0.9138789494540133,0.9999889057623783,0.0078101388688040976
0,1,0.0,3210,32,0.9224635790263924,0.999999998956367,0.006408748076826691
0,1,0.0,3210,64,0.9300523559667888,1.0,0.005506448396955134
0,1,0.0,3210,128,0.9403566820965802,0.9999999999999999,0.004552082087612052
0,1,0.0,3210,256,0.9586395416744021,0.9999999999999999,0.003029102837591975
0,1,0.0,3210,512,0.9949494949494949,1.0,2.550760126517735e-05
0,1,0.0,3230,10,0.48443925716827674,0.999999916603838,0.2689350912545079
0,1,0.0,3230,16,0.5008592619533954,0.9999999999968461,0.2529139365298103
0,1,0.0,3230,32,0.5322805920330173,1.0,0.2223026022621308
0,1,0.0,3230,64,0.5626749438718346,1.0000000000000002,0.19283304265494605
0,1,0.0,3230,128,0.5779632206399179,1.0,0.1783401305445789
0,1,0.0,3230,256,0.5845440602583494,0.9999999999999988,0.17272602048910257
0,1,0.0,3230,512,0.5956006768189509,1.0,0.1635388125892906
0,1,0.0,3244,10,0.28580992072744843,0.4593933718586666,0.26855044221923063
0,1,0.0,3244,16,0.34316765565948393,0.504428096865418,0.2746276157439064
0,1,0.0,3244,32,0.42901010878038365,0.5338516684723167,0.2532803891612737
0,1,0.0,3244,64,0.5068896088926949,0.5798124866423497,0.22802339744711314
0,1,0.0,3244,128,0.5589516898919253,0.6776138085738853,0.21962232912192192
