split,group,map,problem_id,n,predicted,correct,brier
0,calibration,original,3141,512,0.6567528035104827,1.0,0.11781863789791329
0,calibration,original,3150,10,0.6390585718838364,0.9427784441826753,0.14765332314693702
0,calibration,original,3150,16,0.6546571453877856,0.9520668357368777,0.13488116625256746
0,calibration,original,3150,32,0.667881316770573,0.9716234465279447,0.12023517805862835
0,calibration,original,3150,64,0.6795110580123086,0.9923287067899427,0.10680881273705298
0,calibration,original,3150,128,0.6992393228595186,0.9996819547572195,0.09287408480038709
0,calibration,original,3150,256,0.7295732737116996,0.9999999627176788,0.07489362379471722
0,calibration,original,3150,512,0.7537834691501746,1.0,0.060622580063723036
0,calibration,original,3151,10,0.6105833658272287,0.44843391415887823,0.27127846122512134
0,calibration,original,3151,16,0.6334380480990797,0.4584956037317562,0.2725337572977615
0,calibration,original,3151,32,0.6570126275480092,0.4707824875981939,0.27692135673865576
0,calibration,original,3151,64,0.6686215337889511,0.4594045614477612,0.27998524633917743
0,calibration,original,3151,128,0.6810101717912773,0.5224011122796819,0.2532493845782329
0,calibration,original,3151,256,0.7052681363303102,0.6879317061243984,0.18705576888429248
0,calibration,original,3151,512,0.7537834691501746,1.0,0.060622580063723036
0,calibration,original,3171,10,0.6116150708479103,0.4834377866464602,0.25473904700047667
0,calibration,original,3171,16,0.6362322008717033,0.5165245022206315,0.2530710865521879
0,calibration,original,3171,32,0.6700606025133709,0.5573193996317446,0.24916585911898992
0,calibration,original,3171,64,0.6963712882860577,0.6079595408847365,0.23523824399934506
0,calibration,original,3171,128,0.7232004285148781,0.7152891395871743,0.19528557646872444
0,calibration,original,3171,256,0.7477901890536737,0.8556594511917879,0.1337121100401031
0,calibration,original,3171,512,0.7537834691501746,1.0,0.060622580063723036
0,calibration,original,3210,10,0.8945649670645951,0.9997103631253144,0.011904830745500982
0,calibration,original,3210,16,0.9018267878073537,0.9999889057623783,0.01008580784437891
0,calibration,original,3210,32,0.9107442335846941,0.999999998956367,0.008559623209795527
0,calibration,original,3210,64,0.9220426341129009,1.0,0.006899914487551909
0,calibration,original,3210,128,0.9366521622519013,0.9999999999999999,0.005067637057396185
0,calibration,original,3210,256,0.9562172903403247,0.9999999999999999,0.0031796572396451768
0,calibration,original,3210,512,0.9917355371900827,1.0,6.830134553650662e-05
0,calibration,original,3230,10,0.5411186671291097,0.999999916603838,0.21057702526982436
0,calibration,original,3230,16,0.5413076884718508,0.9999999999968461,0.2104064970475349
0,calibration,original,3230,32,0.5418112368860643,1.0,0.20995215630209843
0,calibration,original,3230,64,0.5428183336447399,1.0000000000000002,0.20904347488004965
0,calibration,original,3230,128,0.5448325271620913,1.0,0.20722611203595248
0,calibration,original,3230,256,0.5488609141967947,0.9999999999999988,0.2035913863477578
0,calibration,original,3230,512,0.5569176882661997,1.0,0.1963219349713686
0,calibration,original,3231,10,0.7805591934751057,0.9999217178836185,0.05068153200455064
0,calibration,original,3231,16,0.7950719742986047,0.9999987932581004,0.04505364006900536
0,calibration,original,3231,32,0.8235027495576008,0.9999999999913083,0.03464184355389967
0,calibration,original,3231,64,0.8572871698905646,0.9999999999999999,0.02279094023273105
0,calibration,original,3231,128,0.8835470141638697,0.9999999999999998,0.014219317860190064
0,calibration,original,3231,256,0.8935789025277271,1.0,0.011354409847757378
0,calibration,original,3231,512,0.8952095808383234,1.0,0.010981031948079886
0,calibration,original,3234,10,0.832762823723409,0.9999999938005515,0.03134445566828975
0,calibration,original,3234,16,0.853622067302569,0.999999999999777,0.02439668845894686
0,calibration,original,3234,32,0.8814473886983822,0.9999999999999997,0.015524429555271516
0,calibration,original,3234,64,0.8964996648094316,1.0,0.010972339788472623
0,calibration,original,3234,128,0.9015821107020751,1.0,0.009810462972196028
0,calibration,original,3234,256,0.9080008291683621,0.9999999999999998,0.008627463523352006
0,calibration,original,3234,512,0.9207920792079208,1.0,0.006273894716204287
0,calibration,original,3244,10,0.30974314367062084,0.4593933718586666,0.2623727990132424
0,calibration,original,3244,16,0.3639018180744752,0.504428096865418,0.27024761969185274
0,calibration,original,3244,32,0.4414162861823037,0.5338516684723167,0.2562972023065674
0,calibration,original,3244,64,0.5009491157940454,0.5798124866423497,0.24020423168623442
0,calibration,original,3244,128,0.5339573732906746,0.6776138085738853,0.23374022606726697
0,calibration,original,3244,256,0.5407272681195657,0.7381528696940128,0.23215995917408724
0,calibration,original,3244,512,0.5408041401273885,1.0,0.21086083772414702
0,calibration,original,3245,10,0.8032119741729797,0.9999998174507427,0.042767411824145264
0,calibration,original,3245,16,0.8249598505678255,0.9999999999799936,0.03483902279311229
0,calibration,original,3245,32,0.8605543009520691,0.9999999999999998,0.0224424668395826
0,calibration,original,3245,64,0.8883213451660028,1.0,0.01338073945290551
0,calibration,original,3245,128,0.9004856823607515,0.9999999999999999,0.010078804468446188
0,calibration,original,3245,256,0.907979363557508,1.0,0.008632220770547962
0,calibration,original,3245,512,0.9207920792079208,1.0,0.006273894716204287
0,calibration,original,3267,10,0.47570263031403764,0.6336810508768498,0.22303901865575554
0,calibration,original,3267,16,0.5221240561891836,0.746905858220299,0.21705844476609734
0,calibration,original,3267,32,0.5576909256591165,0.9032022357495038,0.2003682837544178
0,calibration,original,3267,64,0.5803437789317905,0.986924938328502,0.1798918445912337
0,calibration,original,3267,128,0.6096387757822013,0.9998320892493773,0.15546817011699823
0,calibration,original,3267,256,0.6433513952582688,0.9999999969527879,0.1284719626827647
0,calibration,original,3267,512,0.6567528035104827,1.0,0.11781863789791329
0,calibration,original,3269,10,0.896294883759843,0.936814125718876,0.06118932462843778
0,calibration,original,3269,16,0.9080577437878485,0.9266443344954198,0.06742952819525662
0,calibration,original,3269,32,0.9233187531123299,0.9247422350175634,0.06685766253867692
0,calibration,original,3269,64,0.9435680906049703,0.9582518700104684,0.03792235281385642
0,calibration,original,3269,128,0.9679781169355879,0.9940255265631316,0.007003744210712743
0,calibration,original,3269,256,0.9873307393834768,0.9999732829667638,0.0004769220837726545
0,calibration,original,3269,512,0.9917355371900827,1.0,6.830134553650662e-05
0,calibration,original,3291,10,0.20480737827223483,0.16953320878820152,0.17093151879700794
0,calibration,original,3291,16,0.23589417799413304,0.12000524980767774,0.1497841488160413
0,calibration,original,3291,32,0.2903973777629732,0.04854940991130319,0.1283314722911448
0,calibration,original,3291,64,0.3487828219224509,0.007571692467016411,0.13599446591546027
0,calibration,original,3291,128,0.401507262587499,9.23860527494186e-05,0.16873397880954433
0,calibration,original,3291,256,0.45291146675428035,5.323460728809744e-10,0.21286949584622775
0,calibration,original,3291,512,0.5408041401273885,0.0,0.2924691179789241
0,calibration,original,3299,10,0.1839184933152595,0.055038885258345396,0.07558473402398334
0,calibration,original,3299,16,0.2035535071191742,0.05281902242643646,0.0823827439777679
0,calibration,original,3299,32,0.24016575561303552,0.035882656814371444,0.08860163080483416
0,calibration,original,3299,64,0.28352057847842244,0.010381400332496895,0.09696576848231966
0,calibration,original,3299,128,0.3396518564899818,0.0004532987541189374,0.127688147273585
0,calibration,original,3299,256,0.4153555964172019,7.801066672204458e-08,0.181016005414216
0,calibration,original,3299,512,0.4981203007518797,0.0,0.24812383402114307
0,calibration,original,3308,10,0.32486562048115825,0.3684209918053927,0.25308223584166056
0,calibration,original,3308,16,0.37676529184468677,0.37432073617918216,0.2634347360838387
0,calibration,original,3308,32,0.4480726162975234,0.3296673544458506,0.26289315020867415
0,calibration,original,3308,64,0.5019311567522585,0.27644031550744086,0.2600917145227827
0,calibration,original,3308,128,0.5327278709745343,0.3119622406313898,0.26301519154451614
0,calibration,original,3308,256,0.540593404518342,0.5079259923451729,0.2508557904878586
0,calibration,original,3308,512,0.5408041401273885,1.0,0.21086083772414702
0,calibration,original,3317,10,0.29222871834601527,0.03586591194154284,0.13326176653576946
0,calibration,original,3317,16,0.34976000322406575,0.026485528736034818,0.16266999149104117
0,calibration,original,3317,32,0.4373537288707474,0.009444563484221145,0.21173092495007673
0,calibration,original,3317,64,0.5033239085685635,0.0010404718301612946,0.2586807825073334
0,calibration,original,3317,128,0.5342073260437943,5.6054213162065485e-06,0.28596068847826145
0,calibration,original,3317,256,0.5406343599779875,2.0836769992500866e-12,0.29229400382564974
0,calibration,original,3317,512,0.5408041401273885,0.0,0.2924691179789241
0,calibration,original,3328,10,0.17401234948316252,0.018187351534300844,0.045078705609794906
0,calibration,original,3328,16,0.19166001121776716,0.02772925454520303,0.0583299139763542
0,calibration,original,3328,32,0.22476715041509307,0.048621737344992644,0.08658187784150091
0,calibration,original,3328,64,0.26537828386259016,0.07372552077789463,0.1244751673392337
0,calibration,original,3328,128,0.31864997020026503,0.0794119343245547,0.16456334124772828
0,calibration,original,3328,256,0.40650712100244085,0.031126609483312122,0.20236407586533572
0,calibration,original,3328,512,0.5408041401273885,0.0,0.2924691179789241
