generator,reward_model,split_seed,price_per_million,policy,gain_factor,cost_beta,fixed_n,fixed_net_utility,adaptive_quality,adaptive_output_tokens,adaptive_calls,adaptive_net_utility,relative_gain_percent,mean_cost_discount
gemma3_4b,fsfairx_llama3_rm,71,5.0,top2_factor4_beta2,4.0,2.0,16,0.35072130446525596,0.5022840153034306,54453.135,124.3425,0.23001834030343055,-34.41563504271888,0.9756368361563523
gemma3_4b,fsfairx_llama3_rm,71,5.0,top2_factor1_beta2,1.0,2.0,16,0.35072130446525596,0.4309041814632158,17174.4575,37.235,0.34503189396321576,-1.6222027089899274,0.9573453716854811
gemma3_4b,fsfairx_llama3_rm,71,5.0,top2_factor0p25_beta2,0.25,2.0,16,0.35072130446525596,0.3664165743096681,6026.5625,12.2275,0.3362837618096681,-4.116528557511134,0.9342238889452048
gemma3_4b,fsfairx_llama3_rm,71,10.0,current_beta0,1.0,0.0,10,0.3021524326848802,0.36797428583629843,5481.37,13.4,0.3131605858362984,3.643244918997167,1.0
gemma3_4b,fsfairx_llama3_rm,71,10.0,current_beta1,1.0,1.0,10,0.3021524326848802,0.37097447270003125,5635.14,13.77,0.31462307270003126,4.12726778478627,0.9654400497856858
gemma3_4b,fsfairx_llama3_rm,71,10.0,current_beta2,1.0,2.0,10,0.3021524326848802,0.3717993452893856,5788.0625,14.125,0.31391872028938556,3.894156171423791,0.934943203069545
gemma3_4b,fsfairx_llama3_rm,71,10.0,top2_factor4_beta0,4.0,0.0,10,0.3021524326848802,0.46705567316132707,29848.59,68.3275,0.16856977316132704,-44.210353806043564,1.0
gemma3_4b,fsfairx_llama3_rm,71,10.0,top2_factor4_beta2,4.0,2.0,10,0.3021524326848802,0.47071293500418465,30713.265,70.1075,0.16358028500418464,-45.861668711174914,0.9678369714009503
gemma3_4b,fsfairx_llama3_rm,71,10.0,top2_factor1_beta2,1.0,2.0,10,0.3021524326848802,0.3976184498941347,9992.1225,21.225,0.2976972248941347,-1.4744901277667013,0.9465305985687427
gemma3_4b,fsfairx_llama3_rm,71,10.0,top2_factor0p25_beta2,0.25,2.0,10,0.3021524326848802,0.34547171528006015,4154.6225,7.8,0.30392549028006016,0.5868089756633317,0.9255506838856772
gemma3_4b,fsfairx_llama3_rm,72,0.1,current_beta0,1.0,0.0,541,0.5627310571562558,0.5977169911694272,299103.3725,528.3275,0.5678066539194272,0.9019578177932365,1.0
