generator,split_seed,target,attained_quality,mean_length,matched_feasible,matched_saving_percent,train_feasible
llama3.1_8b,72,0.4,0.38998754848611406,20759.556284295915,True,33.68307558063424,True
llama3.1_8b,72,0.45,0.43813886582799794,37111.986537669014,True,32.213098371472945,True
llama3.1_8b,72,0.5,0.4823225938193283,68322.42024709043,True,32.32606768373476,True
llama3.1_8b,72,0.55,0.5315520475318555,143369.52051095187,True,22.224197086749918,True
llama3.1_8b,72,0.6,0.5808066407715989,310753.8688318207,True,25.572453518056605,True
llama3.1_8b,73,0.3,0.31952526186447705,7675.710087314208,True,39.67419323070419,True
llama3.1_8b,73,0.35,0.37628642405132806,14473.636963015466,True,42.96769598588952,True
llama3.1_8b,73,0.4,0.42187993821563263,24897.5840800258,True,40.95604917628929,True
llama3.1_8b,73,0.45,0.4762584547756334,46724.96768105063,True,47.61254768276013,True
llama3.1_8b,73,0.5,0.5191337705771413,88211.93565983782,True,44.17643549435589,True
llama3.1_8b,73,0.55,0.569353177551915,186289.97844131678,True,44.95621776286918,True
llama3.1_8b,73,0.6,0.6055287075389656,368319.6199294228,True,35.2478196557332,True
llama3.1_8b,74,0.3,0.31601174110644914,7542.156244960097,True,34.57818927712011,True
llama3.1_8b,74,0.35,0.36739691706221317,13500.932886574228,True,41.2567772919924,True
llama3.1_8b,74,0.4,0.4162480178551162,23780.251353688822,True,42.289679610981004,True
llama3.1_8b,74,0.45,0.47504260172592816,46277.298432555835,True,50.5230335063219,True
llama3.1_8b,74,0.5,0.5287082655691021,93117.7405659631,True,49.060510168781825,True
llama3.1_8b,74,0.55,0.5729562472302936,187439.71864794084,True,39.675166116390095,True
llama3.1_8b,74,0.6,0.624723683861375,435560.8600945503,True,35.93467755654215,True
llama3.1_8b,75,0.3,0.29271407034989894,6652.449743161301,True,31.07362132728777,True
llama3.1_8b,75,0.35,0.3488625738385513,11991.467714243743,True,34.01672618849234,True
llama3.1_8b,75,0.4,0.39623609976960916,21342.21716581886,True,35.06485300886746,True
llama3.1_8b,75,0.45,0.4459340105014208,39146.44527568705,True,38.65684876848897,True
llama3.1_8b,75,0.5,0.489832051092979,73128.39911920975,True,40.54336141590178,True
llama3.1_8b,75,0.55,0.5267421868549917,137130.61799271076,True,31.091287339631734,True
llama3.1_8b,75,0.6,0.5752458445160775,295294.82306201494,True,30.5978105875236,True
llama3.2_3b,71,0.3,0.29516851287662416,6372.428722544461,True,26.545369449584587,True
llama3.2_3b,71,0.35,0.3342388302410738,10722.976937836718,True,28.98898957918482,True
llama3.2_3b,71,0.4,0.3747308979096628,17962.26493129126,True,28.63032455806318,True
llama3.2_3b,71,0.45,0.41573988986728044,29863.079309418146,True,31.29418208721947,True
llama3.2_3b,71,0.5,0.4726045828139009,58147.74714108715,True,36.56112730994438,True
llama3.2_3b,71,0.55,0.5200334705321704,113445.03978272728,True,30.438451755795228,True
llama3.2_3b,71,0.6,0.5738094200347541,243770.19975994885,True,26.2091351614687,True
llama3.2_3b,72,0.3,0.286919548618677,5920.553498967655,True,30.074514203355108,True
llama3.2_3b,72,0.35,0.3351491148652326,10710.306145341427,True,33.06184565792009,True
llama3.2_3b,72,0.4,0.3864467626621838,18892.05558911377,True,33.77563639288218,True
llama3.2_3b,72,0.45,0.4401690929502194,34384.172469801684,True,38.98165618591707,True
llama3.2_3b,72,0.5,0.49425026331593097,66648.04706243557,True,36.72376039827958,True
llama3.2_3b,72,0.55,0.5577181480066303,148466.91287851645,True,36.70843156636804,True
llama3.2_3b,72,0.6,0.6115154343182941,322538.3045079255,True,34.991489734999135,True
llama3.2_3b,73,0.3,0.33639996084824814,8067.252029518319,True,39.91284489683428,True
llama3.2_3b,73,0.35,0.3765675220748546,13575.730811429166,True,38.443659163254274,True
llama3.2_3b,73,0.4,0.4186123848126153,22821.726036906854,True,39.42295619206602,True
llama3.2_3b,73,0.45,0.46445288757461695,39203.80722796557,True,43.75594280890785,True
llama3.2_3b,73,0.5,0.5101133615710068,73353.91310001675,True,41.53951168153795,True
llama3.2_3b,73,0.55,0.5485471033255017,139906.40131539197,True,32.81979697688547,True
llama3.2_3b,73,0.6,0.5885037226194858,264588.77067586523,True,27.654607361986795,True
llama3.2_3b,74,0.3,0.31525972055016743,7212.322630367587,True,27.71900073910869,True
llama3.2_3b,74,0.35,0.3624169670518384,12548.143136441282,True,35.709668788075135,True
llama3.2_3b,74,0.4,0.41333952022818926,22087.75926431722,True,38.284759257541346,True
llama3.2_3b,74,0.45,0.4637317908218435,39066.50764271342,True,43.31661627580993,True
llama3.2_3b,74,0.5,0.5079479232083652,72446.07433354738,True,35.83621437473836,True
llama3.2_3b,74,0.55,0.5661787912688099,155398.04550046183,True,34.84198269664077,True
llama3.2_3b,74,0.6,0.6100558252019723,302392.8873775078,True,29.648584883762553,True
llama3.2_3b,75,0.3,0.30302497219806385,6667.824226602085,True,27.12066280882691,True
llama3.2_3b,75,0.35,0.3619324162480282,12532.184745594985,True,37.60160534597231,True
llama3.2_3b,75,0.4,0.41334182520901086,22222.038147753283,True,43.553013673980935,True
