method,divisor,splits,accuracy_gap_pp_mean,accuracy_gap_pp_ci_low,accuracy_gap_pp_ci_high,adaptive_accuracy_mean,adaptive_accuracy_ci_low,adaptive_accuracy_ci_high,fixed_accuracy_mean,fixed_accuracy_ci_low,fixed_accuracy_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,fixed_chars_mean,fixed_chars_ci_low,fixed_chars_ci_high,cost_mismatch_mean,cost_mismatch_ci_low,cost_mismatch_ci_high
selected_ucb,300000.0,10,0.7312284915445744,0.21599779379835293,1.2464591892907957,0.29553571428571435,0.2565683439711183,0.3345030846003104,0.2882234293702685,0.25176869685382675,0.3246781618867103,10294.31433531746,8610.458024048608,11978.170646586312,10294.31433531746,8610.458024048608,11978.170646586312,3.637978807091713e-13,-4.591701009478874e-13,1.18676586236623e-12
selected_ucb,400000.0,10,0.6764812896022738,0.23780436544392197,1.1151582137606257,0.3063988095238095,0.2636357383817921,0.3491618806658269,0.29963399662778684,0.25721273019945506,0.3420552630561186,14914.68030753968,9679.491959766285,20149.868655313076,14914.68030753968,9679.491959766285,20149.868655313076,0.0,0.0,0.0
selected_ucb,500000.0,10,0.44563288135565704,-0.0896189590936286,0.9808847218049427,0.3128472222222222,0.2701011665071509,0.35559327793729356,0.30839089340866566,0.267251090824764,0.3495306959925673,19119.737400793652,11433.584572585201,26805.890229002103,19119.737400793652,11433.584572585201,26805.890229002103,-3.637978807091713e-13,-1.18676586236623e-12,4.591701009478874e-13
selected_ucb,600000.0,10,0.4027489161176986,-0.34831676863198047,1.1538146008673777,0.32088293650793653,0.27883764703153346,0.3629282259843396,0.3168554473467595,0.27372202259150735,0.3599888721020117,23569.39806547619,17842.925045242657,29295.871085709725,23569.39806547619,17842.925045242657,29295.871085709725,-1.8189894035458566e-13,-5.93382931183115e-13,2.295850504739437e-13
selected_ucb,700000.0,10,-0.033524480352027285,-1.3446915062271767,1.277642545523122,0.31979166666666664,0.2806365315192008,0.35894680181413247,0.3201269114701869,0.27803558460759864,0.36221823833277517,25917.155208333334,19779.522760816857,32054.78765584981,25917.155208333334,19779.522760816857,32054.78765584981,0.0,-2.4536164670546444e-12,2.4536164670546444e-12
selected_ucb,800000.0,10,0.2630224420895339,-0.7301010347894101,1.256145918968478,0.32881944444444444,0.2869732720631493,0.37066561682573956,0.3261892200235491,0.28576897502731663,0.3666094650197816,30820.68521825397,24871.4863041559,36769.88413235204,30820.68521825397,24871.4863041559,36769.88413235204,0.0,-1.2268082335273222e-12,1.2268082335273222e-12
selected_ucb,900000.0,10,0.015155478869130512,-1.1031074455811674,1.1334184033194286,0.332093253968254,0.2866352046652635,0.37755130327124453,0.3319416991795627,0.2876082460407329,0.3762751523183925,36338.691517857136,27836.886397045055,44840.49663866922,36338.69151785714,27836.886397045062,44840.496638669225,-1.8189894035458566e-13,-1.1420282522878208e-12,7.782303715786495e-13
selected_ucb,1000000.0,10,-0.23996048963462413,-1.2079575189349399,0.7280365396656915,0.33883928571428573,0.2941096293694038,0.38356894205916764,0.34123889061063195,0.29798124353960864,0.38449653768165526,47126.41924603174,34462.93751415034,59789.900977913145,47126.41924603174,34462.93751415034,59789.900977913145,0.0,0.0,0.0
shifted_exponential_calibrated_probability,100000.0,10,1.50826370389753,0.5512100850981426,2.4653173226969174,0.26537698412698413,0.23357442131672002,0.29717954693724824,0.2502943470880088,0.22075578272287352,0.2798329114531441,4476.7358630952385,3099.5093925861797,5853.962333604297,4476.7358630952385,3099.5093925861797,5853.962333604297,0.0,0.0,0.0
shifted_exponential_calibrated_probability,200000.0,10,1.1913597754507574,0.40654624249455806,1.9761733084069568,0.2854662698412699,0.24575899705140153,0.32517354263113823,0.27355267208676226,0.23691537082858583,0.3101899733449387,7681.018898809523,4319.382012983421,11042.655784635626,7681.018898809523,4319.382012983421,11042.655784635626,0.0,0.0,0.0
