generator,split_seed,method,price,selected,fixed_n,profit,fixed_profit,relative_percent,delta_profit,ci_low,ci_high,quality,fixed_quality,cost,fixed_cost,samples,delta_test_oracle
gemma2_9b,72,all_train_selected,1e-06,1108,40,0.44432862087385966,0.4231312748582889,5.009638208064388,0.021197346015570783,0.013669819648396152,0.02842953188863922,0.49679254337385964,0.4752263773582888,0.052463922499999996,0.0520951025,69.695,0.018466063174375213
gemma2_9b,72,all_train_selected,2e-06,1355,24,0.39863617927865747,0.3765258789383323,5.872186103825942,0.022110300340325236,0.012862108767148488,0.032580650266289604,0.46553209427865744,0.4391186589383322,0.06689591499999999,0.06259278,41.6425,0.020142768539844147
gemma2_9b,72,all_train_selected,1e-05,1164,6,0.2800510013489784,0.27398408780819655,2.214330616538977,0.006066913540781931,-0.0020037611690943077,0.013417448170051584,0.3519890763489785,0.3528078878081966,0.071938075,0.07882380000000001,8.4975,0.005650610710796422
gemma2_9b,73,spacing,2e-08,98,872,0.6321406547904549,0.630420932515488,0.27278952621465513,0.0017197222749670104,-0.0001672189807926755,0.0038427685838457104,0.658239074640455,0.654127424315488,0.02609841985,0.023706491800000003,957.63,-0.001621313368438293
gemma2_9b,73,spacing,1e-07,218,285,0.5712775723046482,0.551551085082187,3.576547622877334,0.0197264872224611,0.011003921258982417,0.029429218706824547,0.6201679938046482,0.590307889082187,0.0488904215,0.038756804,556.39,0.013833915161353016
gemma2_9b,73,spacing,2e-07,221,163,0.5364131833218995,0.5156416269517421,4.028293156421503,0.020771556370157526,0.010144673217353038,0.03300995688920269,0.5862754218218995,0.559967717451742,0.049862238499999996,0.0443260905,358.86,0.01841756158040231
gemma2_9b,73,spacing,1e-06,226,49,0.4416070732625424,0.41843733436116504,5.537206410310134,0.02316973890137728,0.005567183318629574,0.046535851454781604,0.5107951507625423,0.4851862468611651,0.0691880775,0.06674891250000001,138.8275,0.022615140084863483
gemma2_9b,73,spacing,2e-06,377,26,0.3980370956233141,0.37284373046786184,6.757084294762924,0.0251933651554521,0.009391254826681327,0.04558513294092488,0.45074276062331414,0.443664955467862,0.052705665,0.070821225,48.025,0.02402899579104184
gemma2_9b,73,spacing,1e-05,432,5,0.27200156065501324,0.2630995638920642,3.3835087490304696,0.008901996762949001,0.0025395374272951005,0.01596285445972216,0.3381338856550132,0.33134098889206426,0.066132325,0.06824142500000001,9.8825,0.006889025538394655
gemma2_9b,73,dmrl_envelope,2e-08,588,872,0.6154856690097822,0.630420932515488,-2.369093844348002,-0.0149352635057057,-0.03168967606555744,-0.002823165838009925,0.6364959003097822,0.654127424315488,0.021010231299999998,0.023706491800000003,755.465,-0.018276299149110997
gemma2_9b,73,dmrl_envelope,1e-07,602,285,0.5515963783468023,0.551551085082187,0.008211979967090069,4.5293264615217096e-05,-0.014088680659559791,0.013707784408953535,0.5880558910968022,0.590307889082187,0.03645951275,0.038756804,338.0775,-0.0058472787964928274
gemma2_9b,73,dmrl_envelope,2e-07,606,163,0.5163386282232814,0.5156416269517421,0.13517164540414298,0.0006970012715393625,-0.013574400645196395,0.013192087154128678,0.5528014777232815,0.559967717451742,0.0364628495,0.0443260905,194.79,-0.001656993518215799
gemma2_9b,73,dmrl_envelope,1e-06,613,49,0.43493342776205923,0.41843733436116504,3.942309169443246,0.016496093400894103,0.002775874076999583,0.03180990081486673,0.49042139526205913,0.4851862468611651,0.0554879675,0.06674891250000001,60.05,0.015941494584380322
gemma2_9b,73,dmrl_envelope,2e-06,861,26,0.3899653624921726,0.37284373046786184,4.5921737782275756,0.01712163202431065,0.006164471075596132,0.029949663528141407,0.4563915824921726,0.443664955467862,0.06642622,0.070821225,35.5275,0.015957262659900384
gemma2_9b,73,dmrl_envelope,1e-05,676,5,0.2683876916375125,0.2630995638920642,2.00993405964662,0.005288127745448319,-0.0019301580232293774,0.01242191827144792,0.3292915166375125,0.33134098889206426,0.060903825,0.06824142500000001,5.1675,0.0032751565208939404
gemma2_9b,73,moment_envelope,2e-08,1335,872,0.6289032746065556,0.630420932515488,-0.2407372329590458,-0.0015176579089323993,-0.006756949640687997,0.0025978743040053296,0.6539284062065556,0.654127424315488,0.025025131600000004,0.023706491800000003,923.6075,-0.00485869355233759
gemma2_9b,73,moment_envelope,1e-07,1098,285,0.5640946542145945,0.551551085082187,2.2742352379813244,0.012543569132407452,0.002713986637888998,0.023680509737871124,0.6134185747145945,0.590307889082187,0.0493239205,0.038756804,528.07,0.006650997071299347
gemma2_9b,73,moment_envelope,2e-07,1346,163,0.5352380540908694,0.5156416269517421,3.800396654353405,0.019596427139127473,0.008120395804904111,0.03275893252707949,0.5867016885908695,0.559967717451742,0.051463634499999994,0.0443260905,341.8575,0.017242432349372283
gemma2_9b,73,moment_envelope,1e-06,1353,49,0.449465463326313,0.41843733436116504,7.415239133123508,0.03102812896514797,0.017284964372628442,0.0492192524310068,0.5023200183263131,0.4851862468611651,0.052854555,0.06674891250000001,83.2975,0.030473530148634076
gemma2_9b,73,moment_envelope,2e-06,1354,26,0.4015508307021001,0.37284373046786184,7.6994992508564115,0.02870710023423812,0.011865004190938127,0.05173232884347303,0.48763748070210006,0.443664955467862,0.08608664999999999,0.070821225,66.2775,0.02754273086982789
gemma2_9b,73,moment_envelope,1e-05,1410,5,0.2701090691689834,0.2630995638920642,2.664202544932697,0.007009505276919201,-0.0007401155701308458,0.015213213645649487,0.33213564416898345,0.33134098889206426,0.06202657500000001,0.06824142500000001,6.935,0.004996534052364832
gemma2_9b,73,all_train_selected,2e-08,1335,872,0.6289032746065556,0.630420932515488,-0.2407372329590458,-0.0015176579089323993,-0.006756949640687997,0.0025978743040053296,0.6539284062065556,0.654127424315488,0.025025131600000004,0.023706491800000003,923.6075,-0.00485869355233759
