generator,split_seed,method,target,attained_quality,fixed_attained_quality,mean_length,fixed_mean_length,samples,train_feasible,fixed_train_feasible,matched_feasible,matched_length,matched_saving_percent,unmatched_train_baseline_saving,adaptive_low,adaptive_high,adaptive_high_weight,fixed_low,fixed_high,fixed_high_weight
gemma2_9b,73,dmrl_envelope,0.35,0.3483407882411526,0.34961467276851466,7766.898475315159,8525.33614397569,6.875381219037727,True,True,True,8356.356688184616,7.0540097181695955,8.89627876076734,676,818,0.4107952421016781,6,8,0.13543959804952685
gemma2_9b,73,dmrl_envelope,0.4,0.3986064124700228,0.39512036342799534,14293.85399168013,16219.670368266365,14.943707891088778,True,True,True,16805.29887690536,14.944363106071123,11.87333856274957,816,814,0.8415548034124986,10,12,0.9636668982290426
gemma2_9b,73,dmrl_envelope,0.45,0.45200794692995316,0.44460613189724685,31066.10540043844,35936.7465328773,33.41393457168456,True,True,True,39216.41705853646,20.782907438821972,13.553372529098818,862,861,0.43600655682042905,26,31,0.07713927722010187
gemma2_9b,73,dmrl_envelope,0.5,0.5040278734116689,0.49518422427584186,70174.76110792697,79642.31789729823,76.66167577301626,True,True,True,89164.73066761071,21.29762453999302,11.887595739717206,612,611,0.7478163458414631,49,64,0.6333738882249479
gemma2_9b,73,dmrl_envelope,0.55,0.5547896981600033,0.5545300647837522,191022.44040206424,203634.42139408123,202.4057906347686,True,True,True,194480.71721913808,1.7782106455197288,6.193442594663212,606,604,0.11765018552919505,100,161,0.8157598581946647
gemma2_9b,73,dmrl_envelope,0.6,0.610360226266538,0.6111565072048682,555829.6573034752,558546.6651662359,464.4247699244585,True,True,True,531980.0378240014,-4.483179402187298,0.4864424106716392,599,597,0.2928118372497289,333,451,0.6595601266751573
gemma2_9b,73,moment_envelope,0.3,0.3128679717847373,0.30241188577087436,5461.305,4599.613726266451,4.01,True,True,True,5386.603250843272,-1.3868062242199386,-18.73399213531335,1273,1273,0.0,3,4,0.3588253945779295
gemma2_9b,73,moment_envelope,0.35,0.34916641021051126,0.34961467276851466,7664.349970784761,8525.33614397569,8.159527879162042,True,True,True,8455.942474891714,9.361375227627589,10.099146340397757,1259,1067,0.17736553059534463,6,8,0.13543959804952685
gemma2_9b,73,moment_envelope,0.4,0.4003032273152678,0.39512036342799534,14028.363262676423,16219.670368266365,18.077751015315485,True,True,True,17159.213529606393,18.24588441380499,13.510182733905706,1308,1306,0.3433612239239431,10,12,0.9636668982290426
gemma2_9b,73,moment_envelope,0.45,0.4638912573392021,0.44460613189724685,31485.006639512012,35936.7465328773,46.43160672876912,True,True,True,46750.6378410659,32.65331107021713,12.387709859301111,1356,1354,0.1500688106539236,26,31,0.07713927722010187
gemma2_9b,73,moment_envelope,0.5,0.514676659755531,0.49518422427584186,63900.61567017927,79642.31789729823,99.43196658604002,True,True,True,104369.50589864103,38.77463046319613,19.765499853254486,1352,1107,0.24792430413617617,49,64,0.6333738882249479
gemma2_9b,73,moment_envelope,0.55,0.5652564245827604,0.5545300647837522,167819.53536803112,203634.42139408123,247.41398056190354,True,True,True,240648.627779587,30.26366411624043,17.5878349941338,1103,1102,0.014562345134150343,100,161,0.8157598581946647
gemma2_9b,73,moment_envelope,0.6,0.6101724188681762,0.6111565072048682,463030.47023635404,558546.6651662359,505.3377535128175,True,True,True,529984.786048324,12.63325242054496,17.100844188453635,1100,1098,0.829519871854941,333,451,0.6595601266751573
gemma2_9b,73,all_train_selected,0.3,0.3128679717847373,0.30241188577087436,5461.305,4599.613726266451,4.01,True,True,True,5386.603250843272,-1.3868062242199386,-18.73399213531335,1273,1273,0.0,3,4,0.3588253945779295
gemma2_9b,73,all_train_selected,0.35,0.3474102056073145,0.34961467276851466,7554.26678326232,8525.33614397569,12.00885701156166,True,True,True,8244.110639598091,8.367717107316764,11.390393813381339,431,818,0.05164063195701076,6,8,0.13543959804952685
gemma2_9b,73,all_train_selected,0.4,0.4003032273152678,0.39512036342799534,14028.363262676423,16219.670368266365,18.077751015315485,True,True,True,17159.213529606393,18.24588441380499,13.510182733905706,1308,1306,0.3433612239239431,10,12,0.9636668982290426
gemma2_9b,73,all_train_selected,0.45,0.4608379680230615,0.44460613189724685,30919.718575612453,35936.7465328773,53.019285704577996,True,True,True,44575.508759098295,30.635186369462495,13.960718321217369,377,1354,0.27362200819493177,26,31,0.07713927722010187
gemma2_9b,73,all_train_selected,0.5,0.514676659755531,0.49518422427584186,63900.61567017927,79642.31789729823,99.43196658604002,True,True,True,104369.50589864103,38.77463046319613,19.765499853254486,1352,1107,0.24792430413617617,49,64,0.6333738882249479
gemma2_9b,73,all_train_selected,0.55,0.5652868383455837,0.5545300647837522,167853.21908304698,203634.42139408123,247.60006764993236,True,True,True,240782.8138228849,30.28853828142547,17.571293726314117,1103,221,0.007870055063266507,100,161,0.8157598581946647
gemma2_9b,73,all_train_selected,0.6,0.6165878037738963,0.6111565072048682,460267.3094500998,558546.6651662359,533.7735405025633,True,True,True,605851.1018500171,24.02963235609623,17.59554963717954,464,218,0.7017970201742197,333,451,0.6595601266751573
gemma2_9b,74,spacing,0.3,0.3195494738948696,0.3061033221218217,5559.9725,4782.444046397333,4.1175,True,True,True,5639.51217660162,1.4103999443716209,-16.2579728285245,440,440,0.0,3,4,0.44668015082411366
gemma2_9b,74,spacing,0.35,0.3538890807848937,0.3579600055740806,7943.416314883087,9193.655926367821,12.833375835786264,True,True,True,8651.40389446739,8.183499328208043,13.598938458192578,431,332,0.18238420134634742,6,8,0.3220581202462984
gemma2_9b,74,spacing,0.4,0.40702188100727066,0.39972205874326194,14431.361170185055,17045.420770490608,20.802136267772383,True,True,True,19016.809417236487,24.11260557144389,15.335846709229184,332,380,0.8211088836613765,12,13,0.3314957259360439
gemma2_9b,74,spacing,0.45,0.4496742400714803,0.4507540623901813,28095.119694898338,38623.090881571865,51.06574607791938,True,True,True,36500.302374162384,23.027706984734063,27.258230624149014,377,375,0.16277411165145125,21,32,0.6318777187703708
gemma2_9b,74,spacing,0.5,0.5059927302555864,0.5030672252827612,64794.480127335184,86513.71027566594,121.30903814481182,True,True,True,88845.95492155539,27.070984622154082,25.10495744446163,373,470,0.02194288087180197,54,64,0.859279681727239
gemma2_9b,74,spacing,0.55,0.5585785107979054,0.5584207921409691,161106.45744289938,212017.5365225384,251.7360455681452,True,True,True,210719.06084366032,23.544430770584267,24.012673628167992,223,467,0.289257354483655,139,161,0.648030084230087
gemma2_9b,74,spacing,0.6,0.618192579950581,0.6152531286268083,489494.57339428394,590838.3001387998,539.7702762995063,True,True,True,614871.556317237,20.39075992942272,17.15253170295632,464,218,0.7711520449122518,412,502,0.1693423789907229
gemma2_9b,74,dmrl_envelope,0.3,0.3184949168063513,0.3061033221218217,5551.8025,4782.444046397333,4.01,True,True,True,5551.015,-0.014186594703846644,-16.08713967458193,783,783,0.0,3,4,0.44668015082411366
gemma2_9b,74,dmrl_envelope,0.35,0.35381967732793757,0.3579600055740806,8219.174481282284,9193.655926367821,7.575334567875377,True,True,True,8642.159271315586,4.894434096317135,10.5994987509885,916,817,0.1570193716667892,6,8,0.3220581202462984
gemma2_9b,74,dmrl_envelope,0.4,0.40179629344246903,0.39972205874326194,15190.841976242766,17045.420770490608,13.58829635337499,True,True,True,17447.355281018125,12.933268500758599,10.880217151685267,816,867,0.5677486966819193,12,13,0.3314957259360439
gemma2_9b,74,dmrl_envelope,0.45,0.4495996467423422,0.4507540623901813,31522.94492063498,38623.090881571865,32.37804904393592,True,True,True,36464.382654293484,13.551409276571636,18.3831635399345,862,861,0.25525791672485765,21,32,0.6318777187703708
gemma2_9b,74,dmrl_envelope,0.5,0.4989189426068086,0.5030672252827612,68291.1741214278,86513.71027566594,71.359135222917,True,True,True,78267.12596852808,12.746030627356497,21.063177265400057,612,611,0.41188639214440764,54,64,0.859279681727239
gemma2_9b,74,dmrl_envelope,0.55,0.556771973477285,0.5584207921409691,215298.1831268983,212017.5365225384,206.08360872140398,True,True,True,203194.6898962713,-5.956599179243183,-1.5473468177058747,606,604,0.17971481856792978,139,161,0.648030084230087
gemma2_9b,74,dmrl_envelope,0.6,0.6202578977177498,0.6152531286268083,704182.2658558516,590838.3001387998,531.5813865277856,True,True,True,637875.8070850834,-10.394885341986914,-19.183584694902976,598,594,0.18955787190115228,412,502,0.1693423789907229
gemma2_9b,74,moment_envelope,0.3,0.3184949168063513,0.3061033221218217,5551.645,4782.444046397333,4.0125,True,True,True,5551.015,-0.011349275763072875,-16.0838463793866,1273,1273,0.0,3,4,0.44668015082411366
gemma2_9b,74,moment_envelope,0.35,0.35048826545866196,0.3579600055740806,7877.25891557621,9193.655926367821,12.892051792523132,True,True,True,8235.85876672188,4.354128225154152,14.318536840345796,1408,1407,0.41083610754058464,6,8,0.3220581202462984
gemma2_9b,74,moment_envelope,0.4,0.4069034694163686,0.39972205874326194,15290.616777036008,17045.420770490608,17.600366062472037,True,True,True,18977.285669587764,19.42674498735013,10.29487049385459,1308,1359,0.4590022613542371,12,13,0.3314957259360439
gemma2_9b,74,moment_envelope,0.45,0.45282126659334887,0.4507540623901813,28819.820072243176,38623.090881571865,40.97371581854856,True,True,True,38015.723557150304,24.189736836345155,25.38189095064398,1112,1356,0.8920331031039102,21,32,0.6318777187703708
