generator,split_seed,method,target,prompt_index,quality,length,samples
gemma2_9b,71,spacing,0.5,0,0.48290492319079464,72368.10903980224,38.21729463450123
gemma2_9b,71,spacing,0.5,35,0.44092898716395473,63861.449908763374,27.12379603664082
gemma2_9b,71,spacing,0.55,33,0.5447111730943119,91166.96862483956,196.64369604639853
gemma2_9b,71,spacing,0.55,18,0.5415504028081165,162048.64389665457,150.19484878991443
gemma2_9b,71,spacing,0.55,74,0.5529860519494715,120972.51460543742,222.34047199812778
gemma2_9b,71,spacing,0.55,9,0.4559093156401686,48741.041289952234,23.89702810187324
gemma2_9b,71,spacing,0.55,87,0.4322964336820838,149183.31641935967,48.823180845389146
gemma2_9b,71,spacing,0.55,82,0.5293100065598626,176249.95314093828,97.8275396693088
gemma2_9b,71,spacing,0.55,23,0.4959568754462085,155076.40576521456,54.323919327954094
gemma2_9b,71,spacing,0.55,54,0.5326103017234433,152254.73119627568,92.64998203213302
gemma2_9b,71,spacing,0.55,31,0.45597513416367075,165617.5080301658,54.42334295619614
gemma2_9b,71,spacing,0.55,66,0.4084949655907334,144218.60115880822,28.862950296685966
gemma2_9b,71,spacing,0.55,37,0.5267941883704201,184637.39031161662,98.42127165144132
gemma2_9b,71,spacing,0.55,77,0.4853094276992854,97589.735557635,55.08315924394835
gemma2_9b,71,spacing,0.55,34,0.5317675884444716,233093.95377927835,122.14791072737819
gemma2_9b,71,spacing,0.55,75,0.49390889249255066,42584.21786835682,139.40855553703233
gemma2_9b,71,spacing,0.55,99,0.49435009846227085,143368.13634545341,76.81186962464007
gemma2_9b,71,spacing,0.55,63,0.5672503943052543,96738.91056400273,254.037842289482
gemma2_9b,71,spacing,0.55,98,0.6832724828399612,247878.38021561073,317.9100325021622
gemma2_9b,71,spacing,0.55,55,0.6708544782069886,228241.1509757295,265.05410667377566
gemma2_9b,71,spacing,0.55,57,0.5677036437121479,177792.2805114644,100.10733072204641
gemma2_9b,71,spacing,0.55,7,0.5184335096622092,52921.26590249156,189.00176525100989
gemma2_9b,71,spacing,0.55,19,0.7253082676531097,96531.0,960.0
gemma2_9b,71,spacing,0.55,14,0.5307350184182029,143964.8322294765,113.9966679445253
gemma2_9b,71,spacing,0.55,39,0.5205538987089967,189409.85211773755,63.639265151008864
gemma2_9b,71,spacing,0.55,56,0.5628345862956563,144201.16796306084,220.7530980731998
gemma2_9b,71,spacing,0.55,62,0.558684592130456,109472.98081391811,325.47130778717735
gemma2_9b,71,spacing,0.55,40,0.5451096930944079,108005.50460450326,146.0265310687329
gemma2_9b,71,spacing,0.55,80,0.5320491895595509,113837.26710417095,231.8802414494246
gemma2_9b,71,spacing,0.55,22,0.46939424564908927,137624.2850411992,75.21813764250756
gemma2_9b,71,spacing,0.55,59,0.44538267761347194,135348.36782208562,50.24578531902034
gemma2_9b,71,spacing,0.55,71,0.5034171288387728,99805.2322771154,120.11168954596609
gemma2_9b,71,spacing,0.55,84,0.8620035287315966,152073.0,960.0
gemma2_9b,71,spacing,0.55,81,0.42525183634629893,109257.6987606495,31.60371038069171
gemma2_9b,71,spacing,0.55,89,0.4686617428133286,131948.94428568293,49.6300252350146
gemma2_9b,71,spacing,0.55,96,0.4833232495772842,137044.56459903737,43.39421831455346
gemma2_9b,71,spacing,0.55,16,0.5038270203362121,166409.77593365835,90.3850504700292
gemma2_9b,71,spacing,0.55,8,0.56453398159212,122984.37064564077,385.9676874458226
gemma2_9b,71,spacing,0.55,95,0.5830156242306742,176101.06967680826,224.50235959063482
gemma2_9b,71,spacing,0.55,50,0.6017240230803047,15606.442307520589,581.9430114674345
gemma2_9b,71,spacing,0.55,6,0.5226269449074694,189636.4125246295,128.76936245749346
gemma2_9b,71,spacing,0.55,90,0.7115078484410575,142270.88674434653,306.24607360490035
gemma2_9b,71,spacing,0.55,27,0.6017157288630803,153911.51285795428,490.85273791585183
gemma2_9b,71,spacing,0.55,45,0.6107268611743344,208425.49042819158,844.6569887325675
gemma2_9b,71,spacing,0.55,32,0.48021910314529437,131173.3284387596,49.287698146541985
gemma2_9b,71,spacing,0.55,29,0.521832353256755,97188.09616634122,213.38600516700416
gemma2_9b,71,spacing,0.55,70,0.5364839299564177,150352.76317777584,64.3402557837178
gemma2_9b,71,spacing,0.55,94,0.47777952725705125,158346.53992375592,85.59461460763745
gemma2_9b,71,spacing,0.55,86,0.4562396462708236,93027.32936968867,44.51071688112415
gemma2_9b,71,spacing,0.55,93,0.5315416428883989,174482.69041928847,89.99873924928012
gemma2_9b,71,spacing,0.55,0,0.5100324036690006,180243.1048862214,94.43051156743557
gemma2_9b,71,spacing,0.55,35,0.5553860040483681,161042.32828061655,68.08456413760824
gemma2_9b,71,spacing,0.6,33,0.6249747908011085,307572.26051326003,670.2614033173825
gemma2_9b,71,spacing,0.6,18,0.5578528738548887,405770.5811753884,377.02269361781543
gemma2_9b,71,spacing,0.6,74,0.5762699597962895,313413.15314465336,577.157705049893
gemma2_9b,71,spacing,0.6,9,0.47212624519165475,142443.88488607018,69.94279052277682
gemma2_9b,71,spacing,0.6,87,0.505612653026959,450291.7441427656,148.01058104555364
gemma2_9b,71,spacing,0.6,82,0.6262096747572485,568627.8986097854,318.2677067379348
gemma2_9b,71,spacing,0.6,23,0.5755532076779537,460829.51725914306,161.9289691100871
gemma2_9b,71,spacing,0.6,54,0.5860055216965834,380111.5638028259,230.8216381757054
gemma2_9b,71,spacing,0.6,31,0.5323143798685577,512683.7187305685,169.75808760561335
gemma2_9b,71,spacing,0.6,66,0.4849840722765354,436904.1579846235,87.70066314235382
gemma2_9b,71,spacing,0.6,37,0.5922417136793443,497992.2907136209,265.43128523630753
gemma2_9b,71,spacing,0.6,77,0.5613965247745725,311542.56644750305,176.62482268628017
gemma2_9b,71,spacing,0.6,34,0.5534468936264323,541083.221805419,284.5493745299627
gemma2_9b,71,spacing,0.6,75,0.4938950466371989,94658.43117311393,311.3805941656731
gemma2_9b,71,spacing,0.6,99,0.557780924453871,414531.83158470725,222.90670546434438
gemma2_9b,71,spacing,0.6,63,0.6031489233381393,279898.4951240908,740.2645040431153
gemma2_9b,71,spacing,0.6,98,0.7371581626286834,707748.7227754951,904.8330038207714
