generator,split_seed,method,target,attained_quality,mean_length,samples,train_feasible,matched_feasible,matched_length,matched_saving_percent,adaptive_low,adaptive_high,adaptive_high_weight
gemma2_9b,72,log_gain,0.6,0.5957478486281162,368976.1136255932,320.07911605171284,True,True,518347.6626612293,28.816865550961158,549,544,0.5464066140773955
gemma2_9b,72,learned_gain,0.3,0.323923307190096,5260.8675,4.075,True,True,5327.9266308911365,1.2586346535316317,587,587,0.0
gemma2_9b,72,learned_gain,0.35,0.36586069777260927,7208.886422430299,11.42084071255015,True,True,9502.320648040999,24.135517107429074,576,528,0.6549930380812478
gemma2_9b,72,learned_gain,0.4,0.41629362737304304,14898.551850214104,25.41080563190441,True,True,21123.450470101085,29.46913729221432,526,571,0.7001966710581101
gemma2_9b,72,learned_gain,0.45,0.4596135973347119,26206.318468497124,45.05369233165135,True,True,40717.14211581083,35.63811921288803,523,522,0.11199742560142988
gemma2_9b,72,learned_gain,0.5,0.5045002092716004,54349.373752503416,87.73059679247542,True,True,82606.60826091416,34.20699034048204,520,519,0.1168143517194893
gemma2_9b,72,learned_gain,0.55,0.550517561205499,120160.5854148102,175.43609075170028,True,True,200031.30988044397,39.9291113543032,517,515,0.1950676994303204
gemma2_9b,72,learned_gain,0.6,0.5905944900909148,268742.40063877596,344.2367682618566,True,True,462018.6291416783,41.83299466992576,513,512,0.2725063886442713
gemma2_9b,72,all_train_selected,0.3,0.323923307190096,5260.8675,4.075,True,True,5327.9266308911365,1.2586346535316317,587,587,0.0
gemma2_9b,72,all_train_selected,0.35,0.36586069777260927,7208.886422430299,11.42084071255015,True,True,9502.320648040999,24.135517107429074,576,528,0.6549930380812478
gemma2_9b,72,all_train_selected,0.4,0.41629362737304304,14898.551850214104,25.41080563190441,True,True,21123.450470101085,29.46913729221432,526,571,0.7001966710581101
gemma2_9b,72,all_train_selected,0.45,0.4596135973347119,26206.318468497124,45.05369233165135,True,True,40717.14211581083,35.63811921288803,523,522,0.11199742560142988
gemma2_9b,72,all_train_selected,0.5,0.5045002092716004,54349.373752503416,87.73059679247542,True,True,82606.60826091416,34.20699034048204,520,519,0.1168143517194893
gemma2_9b,72,all_train_selected,0.55,0.550517561205499,120160.5854148102,175.43609075170028,True,True,200031.30988044397,39.9291113543032,517,515,0.1950676994303204
gemma2_9b,72,all_train_selected,0.6,0.5905944900909148,268742.40063877596,344.2367682618566,True,True,462018.6291416783,41.83299466992576,513,512,0.2725063886442713
gemma2_9b,72,oracle_gain,0.3,0.3281124169128762,5275.9725,4.3525,True,True,5649.246696056635,6.607503905205514,636,636,0.0
gemma2_9b,72,oracle_gain,0.35,0.35626118084698466,5863.052631447155,6.7064750470060694,True,True,8310.95666497724,29.453938122980084,630,629,0.6401351714332586
gemma2_9b,72,oracle_gain,0.4,0.40667187011465467,8830.741008120114,19.641301444914085,True,True,17552.256129476293,49.688855136461605,626,625,0.5727157855818857
gemma2_9b,72,oracle_gain,0.45,0.4570556662706183,17169.55452834609,33.96985134172598,True,True,39492.113446542055,56.524092964567686,623,622,0.6556441647945718
gemma2_9b,72,oracle_gain,0.5,0.5019418034780664,33595.61353272027,56.9092571358361,True,True,79361.59611768284,57.66766902860373,620,619,0.6527085334834333
gemma2_9b,72,oracle_gain,0.55,0.5446470742865852,67932.10714876451,97.94431688441271,True,True,179083.7335259352,62.066846713955485,617,616,0.7968544330972652
gemma2_9b,72,oracle_gain,0.6,0.5895915767662401,156852.0202610506,186.46516311239492,True,True,451056.23677658476,65.22561767863507,613,610,0.23342357941804645
gemma2_9b,73,spacing,0.3,0.3144699884270339,5474.6975,4.205,True,True,5511.269502583504,0.6635858138739126,293,293,0.0
gemma2_9b,73,spacing,0.35,0.3481432834602328,7590.212777219885,12.158230628268477,True,True,8332.533837392999,8.908707419127193,431,333,0.14358347859868947
gemma2_9b,73,spacing,0.4,0.40315956257470587,14222.035429988906,18.305471573792225,True,True,17811.783867669117,20.153783946346373,333,136,0.8978712928633289
gemma2_9b,73,spacing,0.45,0.46175250075079577,32258.420233511086,61.29657817187708,True,True,45165.5697369187,28.577408806286364,377,375,0.3904840947959423
