split,method,divisor,adaptive_accuracy,fixed_accuracy,accuracy_gap_pp,adaptive_chars,fixed_chars,cost_mismatch,fixed_n_low,fixed_n_high,fixed_high_weight
77,selected_ucb,700000.0,0.38392857142857145,0.4140500838901443,-3.012151246157285,38271.072916666664,38271.07291666666,7.275957614183426e-12,73,74,0.5749897075103059
77,gaussian_calibrated_probability,800000.0,0.4117063492063492,0.40625,0.5456349206349187,32656.645833333332,32656.645833333332,0.0,62,63,0.9875006179491947
77,shifted_exponential_calibrated_probability,800000.0,0.3993055555555556,0.39908449683033875,0.022105872521682723,24585.716765873014,24585.716765873014,0.0,47,48,0.27717280498151925
77,selected_ucb,800000.0,0.3993055555555556,0.39908449683033875,0.022105872521682723,24585.716765873014,24585.716765873014,0.0,47,48,0.27717280498151925
77,gaussian_calibrated_probability,900000.0,0.41220238095238093,0.40975250013583747,0.24498808165434593,34578.45386904762,34578.45386904762,0.0,66,67,0.5305201369241695
77,shifted_exponential_calibrated_probability,900000.0,0.4290674603174603,0.43366769674842276,-0.46002364309624677,58780.150297619046,58780.150297619046,0.0,112,113,0.6370383224101354
77,selected_ucb,900000.0,0.4290674603174603,0.43366769674842276,-0.46002364309624677,58780.150297619046,58780.150297619046,0.0,112,113,0.6370383224101354
77,gaussian_calibrated_probability,1000000.0,0.4340277777777778,0.4299626233051559,0.40651544726219013,54238.392857142855,54238.39285714286,-7.275957614183426e-12,103,104,0.9023242915971494
77,shifted_exponential_calibrated_probability,1000000.0,0.4340277777777778,0.44480611331234143,-1.0778335534563643,73185.38888888889,73185.38888888889,0.0,139,140,0.7291244376803295
77,selected_ucb,1000000.0,0.4340277777777778,0.44480611331234143,-1.0778335534563643,73185.38888888889,73185.38888888889,0.0,139,140,0.7291244376803295
78,gaussian_calibrated_probability,100000.0,0.28174603174603174,0.2663867872181618,1.5359244527869964,3000.0143849206347,3000.0143849206347,0.0,6,7,0.05754239065633577
78,shifted_exponential_calibrated_probability,100000.0,0.3005952380952381,0.2750306695908082,2.5564568504429896,3468.7614087301586,3468.7614087301586,0.0,7,8,0.03298784964780322
78,selected_ucb,100000.0,0.3005952380952381,0.2750306695908082,2.5564568504429896,3468.7614087301586,3468.7614087301586,0.0,7,8,0.03298784964780322
78,gaussian_calibrated_probability,200000.0,0.32490079365079366,0.31938465077265404,0.5516142878139618,6223.703869047619,6223.703869047619,0.0,12,13,0.6342468541193238
78,shifted_exponential_calibrated_probability,200000.0,0.3253968253968254,0.3151751794455417,1.022164595128372,5922.299107142857,5922.299107142857,0.0,12,13,0.02808298301513747
78,selected_ucb,200000.0,0.3253968253968254,0.3151751794455417,1.022164595128372,5922.299107142857,5922.299107142857,0.0,12,13,0.02808298301513747
78,gaussian_calibrated_probability,300000.0,0.33581349206349204,0.33068363326312816,0.5129858800363873,7950.410714285715,7950.410714285716,-9.094947017729282e-13,16,17,0.18424496205182042
78,shifted_exponential_calibrated_probability,300000.0,0.33978174603174605,0.3342749137123027,0.5506832319443322,8377.539186507936,8377.539186507936,0.0,17,18,0.10177395599779412
78,selected_ucb,300000.0,0.33978174603174605,0.3342749137123027,0.5506832319443322,8377.539186507936,8377.539186507936,0.0,17,18,0.10177395599779412
78,gaussian_calibrated_probability,400000.0,0.35168650793650796,0.3517115516154863,-0.0025043678978320383,11982.10615079365,11982.10615079365,0.0,24,25,0.5126220142050837
78,shifted_exponential_calibrated_probability,400000.0,0.34771825396825395,0.3494248479548836,-0.17065939866296453,11494.440476190477,11494.440476190477,0.0,23,24,0.4880986954090782
78,selected_ucb,400000.0,0.34771825396825395,0.3494248479548836,-0.17065939866296453,11494.440476190477,11494.440476190477,0.0,23,24,0.4880986954090782
78,gaussian_calibrated_probability,500000.0,0.3556547619047619,0.376984126984127,-2.132936507936506,17623.941964285714,17623.941964285714,0.0,36,37,0.042554757263997135
78,shifted_exponential_calibrated_probability,500000.0,0.3541666666666667,0.3545066128416321,-0.03399461749654109,13147.182043650793,13147.182043650793,0.0,26,27,0.8426657443651554
78,selected_ucb,500000.0,0.3541666666666667,0.3545066128416321,-0.03399461749654109,13147.182043650793,13147.182043650793,0.0,26,27,0.8426657443651554
78,gaussian_calibrated_probability,600000.0,0.3655753968253968,0.3904194653836004,-2.4844068558203594,24237.190476190477,24237.190476190477,0.0,49,50,0.3618807377794841
78,shifted_exponential_calibrated_probability,600000.0,0.37896825396825395,0.39632936507936506,-1.7361111111111105,30639.751488095237,30639.751488095237,0.0,62,63,0.5084714745711804
78,selected_ucb,600000.0,0.37896825396825395,0.39632936507936506,-1.7361111111111105,30639.751488095237,30639.751488095237,0.0,62,63,0.5084714745711804
78,gaussian_calibrated_probability,700000.0,0.3665674603174603,0.3897157222068523,-2.314826188939201,23899.98015873016,23899.98015873016,0.0,48,49,0.6668959690142746
78,shifted_exponential_calibrated_probability,700000.0,0.35714285714285715,0.38460326685595553,-2.7460409713098377,20737.69990079365,20737.69990079365,0.0,42,43,0.360185981606344
78,selected_ucb,700000.0,0.35714285714285715,0.38460326685595553,-2.7460409713098377,20737.69990079365,20737.69990079365,0.0,42,43,0.360185981606344
78,gaussian_calibrated_probability,800000.0,0.37003968253968256,0.39516403603171313,-2.512435349203057,29590.804067460318,29590.804067460314,3.637978807091713e-12,60,61,0.32534831996685676
78,shifted_exponential_calibrated_probability,800000.0,0.38244047619047616,0.3993055555555556,-1.6865079365079416,33334.93551587302,33334.93551587302,0.0,67,68,0.9695191253059628
78,selected_ucb,800000.0,0.38244047619047616,0.3993055555555556,-1.6865079365079416,33334.93551587302,33334.93551587302,0.0,67,68,0.9695191253059628
78,gaussian_calibrated_probability,900000.0,0.3774801587301587,0.39632936507936506,-1.8849206349206338,30762.496527777777,30762.496527777777,0.0,62,63,0.7628768469665133
78,shifted_exponential_calibrated_probability,900000.0,0.35813492063492064,0.3854722252581273,-2.7337304623206657,21322.848214285714,21322.848214285714,0.0,43,44,0.5560030601923394
78,selected_ucb,900000.0,0.35813492063492064,0.3854722252581273,-2.7337304623206657,21322.848214285714,21322.848214285714,0.0,43,44,0.5560030601923394
78,gaussian_calibrated_probability,1000000.0,0.3804563492063492,0.3993055555555556,-1.8849206349206393,32931.08482142857,32931.08482142857,0.0,67,68,0.11824304189760719
78,shifted_exponential_calibrated_probability,1000000.0,0.3834325396825397,0.40468605290438175,-2.125351322184205,36747.43253968254,36747.43253968254,0.0,74,75,0.8470826552336103
78,selected_ucb,1000000.0,0.3834325396825397,0.40468605290438175,-2.125351322184205,36747.43253968254,36747.43253968254,0.0,74,75,0.8470826552336103
79,gaussian_calibrated_probability,100000.0,0.24801587301587302,0.2517191174525689,-0.3703244436695896,5437.275793650793,5437.275793650793,0.0,9,10,0.20547839869824117
79,shifted_exponential_calibrated_probability,100000.0,0.2490079365079365,0.25385286097934023,-0.4844924471403722,5652.328869047619,5652.328869047619,0.0,9,10,0.5639473111958341
79,selected_ucb,100000.0,0.2490079365079365,0.25385286097934023,-0.4844924471403722,5652.328869047619,5652.328869047619,0.0,9,10,0.5639473111958341
79,gaussian_calibrated_probability,200000.0,0.2604166666666667,0.26508352828986437,-0.4666861623197682,8322.99007936508,8322.99007936508,0.0,14,15,0.045377003596287324
79,shifted_exponential_calibrated_probability,200000.0,0.29563492063492064,0.2962147408558971,-0.0579820220976468,20596.563988095237,20596.563988095237,0.0,34,35,0.5844587827442806
79,selected_ucb,200000.0,0.29563492063492064,0.2962147408558971,-0.0579820220976468,20596.563988095237,20596.563988095237,0.0,34,35,0.5844587827442806
79,gaussian_calibrated_probability,300000.0,0.28273809523809523,0.28405047163010966,-0.1312376392014425,14848.08482142857,14848.08482142857,0.0,24,25,0.9291501612602174
79,shifted_exponential_calibrated_probability,300000.0,0.2767857142857143,0.27911710108446564,-0.23313867987513337,12484.763888888889,12484.763888888889,0.0,20,21,0.9250189465706701
