split,method,divisor,config_id,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,train_accuracy,train_chars,train_utility,fixed_n
77,selected_ucb,900000.0,334,shifted_exponential,bounded_identity,0.2,1000000.0,10.0,2.0,0.75,0.32926829268292684,51597.615853658535,0.27193760840108405,75
77,gaussian_calibrated_probability,1000000.0,103,gaussian,bounded_identity,0.8,20.0,0.0,2.0,,0.32926829268292684,52999.95731707317,0.27626833536585366,88
77,shifted_exponential_calibrated_probability,1000000.0,166,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,2.0,0.5,0.35365853658536583,64278.08536585366,0.28938045121951217,88
77,selected_ucb,1000000.0,166,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,2.0,0.5,0.35365853658536583,64278.08536585366,0.28938045121951217,88
78,gaussian_calibrated_probability,50000.0,4,gaussian,bounded_identity,0.0,5.0,0.0,1.5,,0.2682926829268293,2921.1463414634145,0.20986975609756098,5
78,shifted_exponential_calibrated_probability,50000.0,126,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.25,1944.5487804878048,0.2111090243902439,5
78,selected_ucb,50000.0,126,shifted_exponential,bounded_identity,0.0,5.0,0.0,1.0,0.5,0.25,1944.5487804878048,0.2111090243902439,5
78,gaussian_calibrated_probability,100000.0,7,gaussian,bounded_identity,0.0,5.0,10.0,1.0,,0.2682926829268293,3147.3658536585367,0.2368190243902439,8
78,shifted_exponential_calibrated_probability,100000.0,298,shifted_exponential,bounded_identity,0.2,5.0,0.0,1.5,0.75,0.2804878048780488,3634.1951219512193,0.2441458536585366,8
78,selected_ucb,100000.0,298,shifted_exponential,bounded_identity,0.2,5.0,0.0,1.5,0.75,0.2804878048780488,3634.1951219512193,0.2441458536585366,8
78,gaussian_calibrated_probability,200000.0,32,gaussian,bounded_identity,0.0,1000000.0,0.0,1.5,,0.31097560975609756,6981.90243902439,0.2760660975609756,13
78,shifted_exponential_calibrated_probability,200000.0,291,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.5,0.75,0.3170731707317073,6774.731707317073,0.28319951219512196,13
78,selected_ucb,200000.0,291,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.5,0.75,0.3170731707317073,6774.731707317073,0.28319951219512196,13
78,gaussian_calibrated_probability,300000.0,70,gaussian,bounded_identity,0.2,1000000.0,0.0,1.0,,0.3170731707317073,9351.091463414634,0.28590286585365854,21
78,shifted_exponential_calibrated_probability,300000.0,284,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.5,0.75,0.3231707317073171,10186.024390243903,0.2892173170731707,21
78,selected_ucb,300000.0,284,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.5,0.75,0.3231707317073171,10186.024390243903,0.2892173170731707,21
78,gaussian_calibrated_probability,400000.0,70,gaussian,bounded_identity,0.2,1000000.0,0.0,1.0,,0.32926829268292684,14501.792682926829,0.29301381097560975,32
78,shifted_exponential_calibrated_probability,400000.0,284,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.5,0.75,0.3353658536585366,13317.103658536585,0.30207309451219516,32
78,selected_ucb,400000.0,284,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.5,0.75,0.3353658536585366,13317.103658536585,0.30207309451219516,32
78,gaussian_calibrated_probability,500000.0,19,gaussian,bounded_identity,0.0,20.0,0.0,2.0,,0.3475609756097561,22705.548780487807,0.30214987804878046,44
78,shifted_exponential_calibrated_probability,500000.0,155,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.1,0.5,0.34146341463414637,16379.012195121952,0.3087053902439025,44
78,selected_ucb,500000.0,155,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,1.1,0.5,0.34146341463414637,16379.012195121952,0.3087053902439025,44
78,gaussian_calibrated_probability,600000.0,40,gaussian,bounded_identity,0.0,1000000.0,10.0,2.0,,0.3597560975609756,30636.298780487807,0.3086955995934959,55
78,shifted_exponential_calibrated_probability,600000.0,369,shifted_exponential,bounded_identity,0.8,1000000.0,0.0,2.0,0.75,0.3780487804878049,37407.89024390244,0.31570229674796746,55
78,selected_ucb,600000.0,369,shifted_exponential,bounded_identity,0.8,1000000.0,0.0,2.0,0.75,0.3780487804878049,37407.89024390244,0.31570229674796746,55
78,gaussian_calibrated_probability,700000.0,39,gaussian,bounded_identity,0.0,1000000.0,10.0,1.5,,0.36585365853658536,31460.085365853658,0.32091067944250873,67
78,shifted_exponential_calibrated_probability,700000.0,291,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.5,0.75,0.3597560975609756,25051.310975609755,0.32396851045296166,67
78,selected_ucb,700000.0,291,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.5,0.75,0.3597560975609756,25051.310975609755,0.32396851045296166,67
78,gaussian_calibrated_probability,800000.0,31,gaussian,bounded_identity,0.0,1000000.0,0.0,1.3,,0.3719512195121951,36200.90853658537,0.32670008384146343,79
