generator,reward_model,split_seed,price_per_million,fixed_n,fixed_net_utility,theory_net_utility,incumbent_net_utility,theory_gain_percent,incumbent_gain_percent,theory_minus_incumbent,theory_calls,incumbent_calls
gemma3_4b,fsfairx_llama3_rm,74,5.0,15,0.34080800198025046,0.21381439107190814,0.3402673180029067,-37.26250855920381,-0.1586476767570381,-0.12645292693099858,103.7275,23.6825
gemma3_4b,fsfairx_llama3_rm,74,10.0,8,0.287434921814129,0.14186135855321663,0.2965319449982009,-50.645746989312634,3.1648983800077484,-0.15467058644498427,57.46,12.7975
gemma3_4b,fsfairx_llama3_rm,75,0.1,523,0.5570962813621141,0.5488100923085313,0.5645789055905501,-1.4873890440127995,1.3431474017634513,-0.015768813282018845,929.69,492.2225
gemma3_4b,fsfairx_llama3_rm,75,0.2,283,0.5304747545956956,0.49094473166349006,0.5356466169450507,-7.451819825494536,0.9749497604832933,-0.044701885281560605,803.5175,308.9075
gemma3_4b,fsfairx_llama3_rm,75,0.5,134,0.4854829512507655,0.4101236934517669,0.4934622368560448,-15.522534335108595,1.6435768928078691,-0.08333854340427788,542.03,157.315
gemma3_4b,fsfairx_llama3_rm,75,1.0,68,0.4481513503432396,0.35160666429841325,0.45808899613390536,-21.542875185109377,2.2174753647522194,-0.1064823318354921,360.275,94.17
gemma3_4b,fsfairx_llama3_rm,75,2.0,40,0.4082816491073512,0.2943035030772283,0.4176047611636037,-27.91654885281267,2.2835001466845513,-0.12330125808637538,220.31,51.56
gemma3_4b,fsfairx_llama3_rm,75,5.0,16,0.3489311057918956,0.22210091307794147,0.358175790289468,-36.348204734030325,2.649429742467831,-0.13607487721152653,106.9075,22.6825
gemma3_4b,fsfairx_llama3_rm,75,10.0,9,0.30139813413287386,0.15234628999131108,0.3105242574981856,-49.453472753037026,3.0279296159439344,-0.1581779675068745,59.9225,12.3625
gemma3_4b,rm_mistral_7b,71,0.1,505,0.5521668877775467,0.5409754101787353,0.5553146736098846,-2.0268288168920763,0.5700787030181422,-0.01433926343114933,936.3025,512.31
gemma3_4b,rm_mistral_7b,71,0.2,254,0.5238370510201584,0.48189979432533375,0.5312236362159151,-8.005782831350514,1.410092161555098,-0.04932384189058131,805.9825,339.865
