split,config_id,divisor_id,divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_predicted_accuracy,train_chars,test_accuracy,test_predicted_accuracy,test_chars,test_opens
97,0,3,70000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.34146341463414637,0.31800885411708707,6043.003048780488,0.25396825396825395,0.32998974035925854,5946.489583333333,12.287698412698413
97,0,4,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.34146341463414637,0.32839212442189486,7277.442073170731,0.2614087301587302,0.3431153076102796,7225.3338293650795,14.891865079365079
97,0,5,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3353658536585366,0.3367490105626789,8786.083841463415,0.26537698412698413,0.353739720028196,8718.479662698413,17.80654761904762
97,0,6,200000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3445121951219512,0.3438096304355901,10772.332317073171,0.2673611111111111,0.36506857942585486,10608.651289682539,21.721230158730158
97,0,7,280000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.35060975609756095,0.3516079579232255,13260.574695121952,0.2748015873015873,0.3768126217488629,12766.296130952382,26.297619047619047
97,0,8,400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.35060975609756095,0.35960771856060314,16434.315548780487,0.279265873015873,0.38693842470941814,15552.610615079366,31.92063492063492
97,0,9,560000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3597560975609756,0.36769191375040183,20369.634146341465,0.28521825396825395,0.3956432537044115,18681.823412698413,38.53075396825397
97,0,10,700000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.36128048780487804,0.3725659518722084,23467.509146341465,0.29117063492063494,0.40073718537402453,21151.96130952381,43.82440476190476
97,0,11,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3643292682926829,0.37863922383819915,29585.86737804878,0.30009920634920634,0.40794968494319805,25915.87599206349,53.70386904761905
97,0,12,1400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.35823170731707316,0.3867514776124407,35887.40091463415,0.30257936507936506,0.4148800745731551,31442.309027777777,65.60515873015873
97,0,13,2000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3643292682926829,0.39125939202639715,44432.8993902439,0.3115079365079365,0.4214798619088358,38707.16170634921,80.73859126984127
97,0,14,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3704268292682927,0.39723183450384236,54750.45579268293,0.3209325396825397,0.42753835045484817,46343.61954365079,95.40873015873017
97,0,15,4000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.37347560975609756,0.39960727325381384,66701.97256097561,0.3273809523809524,0.43462380765925424,56800.09672619047,115.87400793650794
97,0,16,5600000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.36585365853658536,0.40424632596975285,77166.12195121951,0.33134920634920634,0.4393324767687777,67798.03819444444,138.76140873015873
97,0,17,7000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3673780487804878,0.40620471074687053,85488.56554878049,0.33482142857142855,0.4428777694988895,75216.42559523809,153.30009920634922
97,0,18,10000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3673780487804878,0.4107872455218792,96492.62652439025,0.33878968253968256,0.44930292246924547,86405.99255952382,173.8968253968254
98,0,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.26676829268292684,0.2686869842835598,3476.6966463414633,0.2867063492063492,0.2093466927876858,3412.8333333333335,8.095238095238095
98,0,1,35000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.26371951219512196,0.28085341036133554,4059.6524390243903,0.3005952380952381,0.2195196530107636,4160.27628968254,9.853174603174603
98,0,2,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.26676829268292684,0.28796115836686265,4863.59756097561,0.31299603174603174,0.23053730547406479,5189.500992063492,12.191468253968255
98,0,3,70000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2698170731707317,0.2972033472952589,5861.579268292683,0.3229166666666667,0.23822301289447437,6379.436507936508,14.986607142857142
