generator,split_seed,method,target,adaptive_length,fixed_length,feasible,frontier_saving_percent
gemma2_9b,71,quarter32_a2_doubling,0.5,71200.07464880912,99208.44369545512,True,28.231839955704395
gemma2_9b,71,quarter32_a2_doubling,0.55,162607.24904382054,214263.90542127052,True,24.108893318212566
gemma2_9b,71,quarter32_a2_doubling,0.6,476875.4143501981,548920.7474137497,True,13.124906173248963
gemma2_9b,71,quarter32_a4_sequential,0.3,,5028.71983469853,False,
gemma2_9b,71,quarter32_a4_sequential,0.35,9732.98140059026,10245.896074796543,True,5.006049939038326
gemma2_9b,71,quarter32_a4_sequential,0.4,18159.86900593795,21087.891648758457,True,13.88485246220853
gemma2_9b,71,quarter32_a4_sequential,0.45,34675.899190945594,46511.10682689116,True,25.445981494258586
gemma2_9b,71,quarter32_a4_sequential,0.5,73116.7687195156,99208.44369545512,True,26.299853121408066
gemma2_9b,71,quarter32_a4_sequential,0.55,171458.0372663402,214263.90542127052,True,19.97810507129909
gemma2_9b,71,quarter32_a4_sequential,0.6,456745.04115495447,548920.7474137497,True,16.792170216389668
gemma2_9b,71,quarter32_a4_doubling,0.3,,5028.71983469853,False,
gemma2_9b,71,quarter32_a4_doubling,0.35,9440.955188144724,10245.896074796543,True,7.856227320437692
gemma2_9b,71,quarter32_a4_doubling,0.4,18325.29683046194,21087.891648758457,True,13.100384165048407
gemma2_9b,71,quarter32_a4_doubling,0.45,36884.10959876937,46511.10682689116,True,20.698275927838782
gemma2_9b,71,quarter32_a4_doubling,0.5,71021.63719031031,99208.44369545512,True,28.411701116561396
gemma2_9b,71,quarter32_a4_doubling,0.55,162685.57659359815,214263.90542127052,True,24.072336741114984
gemma2_9b,71,quarter32_a4_doubling,0.6,466655.03295498376,548920.7474137497,True,14.986810909655423
gemma2_9b,72,fixed2_a1_sequential,0.3,,4030.3153300212684,False,
gemma2_9b,72,fixed2_a1_sequential,0.35,7238.802392416108,7592.430580091911,True,4.657641369853948
gemma2_9b,72,fixed2_a1_sequential,0.4,16405.435237954498,15722.010224823078,True,-4.346931488776029
gemma2_9b,72,fixed2_a1_sequential,0.45,36989.01612044917,36113.056995948165,True,-2.42560225405255
gemma2_9b,72,fixed2_a1_sequential,0.5,97770.65229356562,76898.66553723335,True,-27.14219630537844
gemma2_9b,72,fixed2_a1_sequential,0.55,250648.1041196435,198184.50347067398,True,-26.472100356087005
gemma2_9b,72,fixed2_a1_sequential,0.6,677352.5605081767,569802.1302506098,True,-18.875048819186425
gemma2_9b,72,fixed2_a1_doubling,0.3,,4030.3153300212684,False,
gemma2_9b,72,fixed2_a1_doubling,0.35,7113.132906650904,7592.430580091911,True,6.312835769585723
gemma2_9b,72,fixed2_a1_doubling,0.4,15360.509385749096,15722.010224823078,True,2.299329627093216
gemma2_9b,72,fixed2_a1_doubling,0.45,36294.40691747886,36113.056995948165,True,-0.502172722600136
gemma2_9b,72,fixed2_a1_doubling,0.5,89189.66512789961,76898.66553723335,True,-15.983371759182386
gemma2_9b,72,fixed2_a1_doubling,0.55,228251.27634307282,198184.50347067398,True,-15.171101849972812
gemma2_9b,72,fixed2_a1_doubling,0.6,615318.8865769063,569802.1302506098,True,-7.988168858947109
