generator,split_seed,price,method,selected_policy,fixed_n,profit,fixed_profit,delta_profit,relative_percent,quality,fixed_quality,cost,fixed_cost,samples,ci_low,ci_high,delta_test_oracle
qwen2.5_7b,41,2e-06,original_sequential,spacing_w2_a4_n4,17,0.29217027220645836,0.3405512445463851,-0.04838097233992677,-14.20666437568605,0.48381299220645846,0.40717325954638517,0.19164272000000002,0.066622015,103.1425,-0.07319943983587908,-0.015178320296928125,-0.04867906888261142
qwen2.5_7b,41,1e-05,spacing,spacing_w2_a0.5_n4,4,0.22733381728355087,0.214630265423691,0.01270355185985994,5.918807319546703,0.327858667283551,0.29389909042369106,0.10052485000000003,0.079268825,8.22,0.0017523923036885443,0.026215425926857844,0.012703551859859857
qwen2.5_7b,41,1e-05,recent_gain,recent_gain_w4_a0.5_n8,4,0.18862511849629193,0.214630265423691,-0.026005146927399116,-12.116253444528729,0.350782168496292,0.29389909042369106,0.16215705,0.079268825,8.575,-0.04908037686160538,-0.004619953890199227,-0.02600514692739908
qwen2.5_7b,41,1e-05,remaining_range,remaining_range_w0_a0.1_n4,4,0.23832403464087235,0.214630265423691,0.02369376921718145,11.039342084588466,0.32895845964087245,0.29389909042369106,0.09063442500000005,0.079268825,9.2675,0.011945630264915102,0.03708881513990446,0.023693769217181332
qwen2.5_7b,41,1e-05,all_train_selected,remaining_range_w0_a0.1_n4,4,0.23832403464087235,0.214630265423691,0.02369376921718145,11.039342084588466,0.32895845964087245,0.29389909042369106,0.09063442500000005,0.079268825,9.2675,0.012184565389436788,0.03815669521351972,0.023693769217181332
qwen2.5_7b,41,1e-05,original_sequential,spacing_w2_a4_n4,4,0.10146684679812885,0.214630265423691,-0.11316341862556215,-52.72481884238079,0.41126409679812886,0.29389909042369106,0.30979725,0.079268825,33.945,-0.13655911513094227,-0.08639990409630013,-0.11316341862556216
qwen2.5_7b,42,2e-08,spacing,spacing_w4_a4_n5,509,0.5885656423329197,0.5897108238352521,-0.0011451815023322675,-0.19419373971880793,0.6112167210329197,0.612610314635252,0.022651078700000004,0.02289949079999999,506.0475,-0.002442829336908732,-0.00024559453349001076,-0.0011845293732216655
qwen2.5_7b,42,2e-08,recent_gain,recent_gain_w16_a0.5_n32,509,0.45367212252837097,0.5897108238352521,-0.13603870130688112,-23.06871364885891,0.4553345285283711,0.612610314635252,0.0016624059999999995,0.02289949079999999,37.075,-0.1643655671295829,-0.11231529537270361,-0.13607804917777044
qwen2.5_7b,42,2e-08,remaining_range,remaining_range_w0_a0.3_n4,509,0.5892713800565144,0.5897108238352521,-0.0004394437787376648,-0.0745185200908628,0.6117955162065143,0.612610314635252,0.02252413615000001,0.02289949079999999,505.2825,-0.00106304778746295,-0.00011421995875000452,-0.0004787916496270528
qwen2.5_7b,42,2e-08,all_train_selected,remaining_range_w0_a0.3_n4,509,0.5892713800565144,0.5897108238352521,-0.0004394437787376648,-0.0745185200908628,0.6117955162065143,0.612610314635252,0.02252413615000001,0.02289949079999999,505.2825,-0.0010648420149629643,-0.00011459585875000924,-0.0004787916496270528
qwen2.5_7b,42,2e-08,original_sequential,spacing_w2_a4_n4,509,0.5785849696009324,0.5897108238352521,-0.011125854234319641,-1.8866627141013572,0.5991477798509323,0.612610314635252,0.020562810250000004,0.02289949079999999,468.0725,-0.01621621833219769,-0.0066278124964965195,-0.011165202105208993
qwen2.5_7b,42,1e-07,spacing,spacing_w4_a1_n5,287,0.5271202355148401,0.5235265328403369,0.0035937026745034083,0.6864413643003271,0.5723628295148402,0.5880955300903371,0.04524259399999999,0.06456899725000001,282.6975,-0.0034972809218570215,0.010080627084013465,-0.0017726599836916934
qwen2.5_7b,42,1e-07,recent_gain,recent_gain_w16_a1_n32,287,0.4470224985283709,0.5235265328403369,-0.07650403431196584,-14.613210508529802,0.4553345285283711,0.5880955300903371,0.008312030000000003,0.06456899725000001,37.075,-0.10566654298720358,-0.05134531975653193,-0.08187039697016091
qwen2.5_7b,42,1e-07,remaining_range,remaining_range_w0_a0.3_n4,287,0.5167600849932156,0.5235265328403369,-0.006766447847121183,-1.2924746737114827,0.6031546984932156,0.5880955300903371,0.0863946135,0.06456899725000001,437.5925,-0.015100941561876378,0.0016438273254318668,-0.012132810505316227
qwen2.5_7b,42,1e-07,all_train_selected,remaining_range_w0_a0.3_n4,287,0.5167600849932156,0.5235265328403369,-0.006766447847121183,-1.2924746737114827,0.6031546984932156,0.5880955300903371,0.0863946135,0.06456899725000001,437.5925,-0.01511925860987426,0.0016854888968440872,-0.012132810505316227
qwen2.5_7b,42,1e-07,original_sequential,spacing_w2_a4_n4,287,0.5084636485577352,0.5235265328403369,-0.015062884282601713,-2.877195965766941,0.585012574307735,0.5880955300903371,0.07654892575,0.06456899725000001,389.54,-0.021636732583494158,-0.00823390294002533,-0.02042924694079662
qwen2.5_7b,42,2e-07,spacing,spacing_w4_a1_n5,212,0.4900913413515635,0.47890301765976107,0.011188323691802584,2.336239964925713,0.5472340723515634,0.574308446659761,0.057142730999999995,0.09540542899999999,198.16,-0.0017535555329427634,0.023074689428483414,0.000341870432504221
qwen2.5_7b,42,2e-07,recent_gain,recent_gain_w16_a2_n32,212,0.43871046852837103,0.47890301765976107,-0.040192549131390136,-8.392628079020609,0.4553345285283711,0.574308446659761,0.016624060000000006,0.09540542899999999,37.075,-0.07102958845242419,-0.01344630117233752,-0.05103900239068826
qwen2.5_7b,42,2e-07,remaining_range,remaining_range_w0_a0.1_n4,212,0.504822983015176,0.47890301765976107,0.02591996535541498,5.412362085767842,0.547791488015176,0.574308446659761,0.042968505000000004,0.09540542899999999,175.4575,0.0074996005071816035,0.03986826658887495,0.015073512096116737
qwen2.5_7b,42,2e-07,all_train_selected,remaining_range_w0_a0.1_n4,212,0.504822983015176,0.47890301765976107,0.02591996535541498,5.412362085767842,0.547791488015176,0.574308446659761,0.042968505000000004,0.09540542899999999,175.4575,0.006956748368740405,0.03996065712730213,0.015073512096116737
qwen2.5_7b,42,2e-07,original_sequential,spacing_w2_a4_n4,212,0.4589605213314766,0.47890301765976107,-0.019942496328284494,-4.164203521985893,0.5710235028314765,0.574308446659761,0.11206298149999996,0.09540542899999999,318.4725,-0.03266616497105102,-0.008767373307391253,-0.030788949587582715
qwen2.5_7b,42,1e-06,spacing,spacing_w4_a1_n5,42,0.3839714452655443,0.3720647262909743,0.011906718974569946,3.2001740915526242,0.45964115276554424,0.4666807812909744,0.07566970750000002,0.09461605499999998,69.5475,-0.0035030209122947223,0.03330137109721734,0.010322281199452776
qwen2.5_7b,42,1e-06,recent_gain,recent_gain_w16_a0.5_n32,42,0.37403774491995306,0.3720647262909743,0.001973018628978843,0.5302890840116453,0.450074327419953,0.4666807812909744,0.0760365825,0.09461605499999998,34.74,-0.004420316415677903,0.007908155336971123,0.00038858085386156427
qwen2.5_7b,42,1e-06,remaining_range,remaining_range_w0_a0.1_n4,42,0.38942479159104226,0.3720647262909743,0.017360065300067933,4.665872380089975,0.43748926659104226,0.4666807812909744,0.048064475,0.09461605499999998,59.3125,0.0014341395666059734,0.03726359771341595,0.015775627524950764
qwen2.5_7b,42,1e-06,all_train_selected,spacing_w4_a1_n5,42,0.3839714452655443,0.3720647262909743,0.011906718974569946,3.2001740915526242,0.45964115276554424,0.4666807812909744,0.07566970750000002,0.09461605499999998,69.5475,-0.003531201524906393,0.03178692132146455,0.010322281199452776
qwen2.5_7b,42,1e-06,original_sequential,spacing_w2_a4_n4,42,0.3201380436877747,0.3720647262909743,-0.05192668260319954,-13.956357303968161,0.5098315861877748,0.4666807812909744,0.18969354250000003,0.09461605499999998,141.2525,-0.08112736244062657,-0.021774119837579174,-0.05351112037831679
qwen2.5_7b,42,2e-06,spacing,spacing_w4_a1_n5,15,0.33430269737912865,0.3189556349870217,0.015347062392106994,4.811660528503115,0.4227579973791286,0.3865228899870216,0.0884553,0.06756725499999996,41.385,0.0017082993830247716,0.0337950242745438,0.013558364465902029
qwen2.5_7b,42,2e-06,recent_gain,recent_gain_w8_a0.5_n16,15,0.31966982749975914,0.3189556349870217,0.0007141925127376455,0.22391594140254212,0.3969526874997593,0.3865228899870216,0.07728286,0.06756725499999996,17.5425,-0.003451803938640556,0.005878649236229829,-0.0010745054134674858
