variant,generator,split,target_quality,selected_divisor,adaptive_target_reached_train,fixed_target_reached_train,adaptive_test_quality,fixed_test_quality,adaptive_target_error_pp,fixed_target_error_pp,adaptive_test_chars,fixed_test_chars,character_saving_vs_train_fixed_pct
local_exp_open5_bonus_only,llama3.1_8b,13,0.4,1000000.0,True,True,0.4195125739309475,0.376119090700804,1.9512573930947463,-2.388090929919601,32306.375,34629.58,6.708729935506009
local_exp_open5_bonus_only,llama3.1_8b,13,0.45,2000000.0,True,True,0.48449692200798483,0.4212493036650262,3.449692200798482,-2.875069633497379,70678.795,61028.86,-15.812084643232723
local_exp_open5_bonus_only,llama3.1_8b,13,0.5,5000000.0,True,True,0.5639034365815485,0.47483143901927954,6.390343658154851,-2.5168560980720454,203072.875,112298.295,-80.8334445327064
local_exp_open5_bonus_only,llama3.1_8b,13,0.55,5000000.0,True,True,0.5639034365815485,0.5378895943806394,1.3903436581548467,-1.211040561936061,203072.875,229057.64,11.344203581247067
local_exp_open5_bonus_only,llama3.1_8b,13,0.6,10000000.0,True,True,0.6068539418119342,0.5785820579984087,0.6853941811934217,-2.1417942001591306,393580.705,392629.365,-0.2422997576862407
local_exp_open5_bonus_only_004,llama3.1_8b,13,0.3,50000.0,True,True,0.30681529660468776,0.31231589470249205,0.681529660468777,1.2315894702492058,10339.195,12252.14,15.613150029301002
local_exp_open5_bonus_only_004,llama3.1_8b,13,0.35,500000.0,True,True,0.4017620153895332,0.35301524482337443,5.176201538953324,0.3015244823374452,25250.73,24439.45,-3.319550971891752
local_exp_open5_bonus_only_004,llama3.1_8b,13,0.4,1000000.0,True,True,0.4619953986012498,0.376119090700804,6.199539860124975,-2.388090929919601,53647.175,34629.58,-54.91719795619814
local_exp_open5_bonus_only_004,llama3.1_8b,13,0.45,2000000.0,True,True,0.540991162645838,0.4212493036650262,9.0991162645838,-2.875069633497379,132023.965,61028.86,-116.3303804134634
local_exp_open5_bonus_only_004,llama3.1_8b,13,0.5,2000000.0,True,True,0.540991162645838,0.47483143901927954,4.099116264583802,-2.5168560980720454,132023.965,112298.295,-17.565422520439867
