price,price_per_million,accuracy,tokens,calls,profit,fixed_accuracy,fixed_tokens,fixed_calls,fixed_profit,cap_rate,minimum,minimum_low,minimum_high,relative_profit_percent,token_change_percent,call_change_percent,profit_ci_low,profit_ci_high
4.75e-06,4.75,0.5370169082125604,10381.545621980677,73.17448671497586,0.4877045665081522,0.5253623188405797,6942.684057971014,48.8,0.4923845695652174,0.0,72.9,66,88,-0.9504771973658177,49.53216270962879,49.94771867822922,-2.726602840061448,0.6555460765780118
5e-06,5.0,0.535054347826087,9663.28245772947,68.09960748792271,0.48673793553743955,0.5245169082125603,6628.067663043478,46.6,0.491376569897343,0.0,67.7,54,88,-0.9440080467964851,45.79335862259863,46.136496755198955,-2.5523251333177748,0.5632402581288228
5.25e-06,5.25,0.5346618357487922,9488.187349033817,66.84942632850242,0.4848488521663647,0.5233695652173912,6314.778592995169,44.4,0.4902169776041667,0.0,66.5,53,84,-1.0950509025692279,50.25368204609475,50.56177101014059,-2.8516001974255576,0.5364635407785744
5.5e-06,5.5,0.5344806763285024,9204.005464975846,64.80458937198068,0.4838586462711353,0.5220108695652174,6043.932155797101,42.5,0.48876924270833333,0.0,64.5,53,78,-1.0046860579826622,52.285055949010406,52.48138675760161,-2.7326260058302516,0.5991383178611204
5.75e-06,5.75,0.5337560386473429,9025.646074879227,63.523701690821255,0.4818585737167874,0.5213466183574879,5814.587832125603,40.9,0.4879127383227657,0.0,63.3,53,78,-1.2408293800219128,55.22417642420885,55.314674060687665,-3.0800542707613685,0.43147881956000184
6e-06,6.0,0.5331219806763284,8842.555344202898,62.23215579710145,0.4800666486111111,0.5203502415458938,5601.180012077295,39.4,0.48674316147343,0.0,62.0,53,77,-1.3716706038782944,57.86950830247433,57.949634002795555,-3.3134198396341827,0.40064847803931636
6.25e-06,6.25,0.5327294685990338,8672.53472222222,61.00138888888888,0.4785261265851449,0.5196859903381643,5418.183242753624,38.1,0.4858223450709541,0.0,60.8,53,77,-1.5018285099141826,60.06351822487779,60.10863225430152,-3.431899377523769,0.22250870347799803
6.5e-06,6.5,0.5328200483091787,8655.723580917875,60.8028079710145,0.4765578450332125,0.5185688405797102,5217.363254830919,36.7,0.4846559794233092,0.0,60.8,53,77,-1.670903637613752,65.9022605509262,65.67522607905858,-3.6986931347342815,0.19494893351383333
6.75e-06,6.75,0.5303743961352657,7916.088194444444,55.60537439613527,0.4769408008227657,0.5174516908212561,5048.316515700483,35.5,0.4833755543402778,0.0,55.6,49,66,-1.3312120275288608,56.80649519151713,56.63485745390216,-3.1317575118041816,0.27000310420771945
7e-06,7.0,0.528713768115942,7569.432820048309,53.10573671497584,0.4757277383756039,0.5169685990338164,4892.9074879227055,34.4,0.4827182466183575,0.0,53.1,48,66,-1.4481549623874823,54.70214466004399,54.37714161330187,-3.239203696713924,0.11346955300324311
7.25e-06,7.25,0.5271135265700483,7295.787439613526,51.317089371980686,0.47421906763285027,0.5156400966183575,4765.372826086957,33.5,0.48109114362922706,0.0,51.3,46,56,-1.4284353572871056,53.1000344752542,53.18534140889757,-3.1971031463796713,0.04028556934363151
7.5e-06,7.5,0.5262077294685991,7066.600815217392,49.70446859903381,0.4732082233544686,0.5150966183574879,4636.391968599035,32.6,0.48032367859299513,0.0,49.7,46,54,-1.481387563355141,52.41594893351276,52.467695089060754,-3.1553786669337796,-0.06844791396749472
7.75e-06,7.75,0.5256944444444445,6877.566515700484,48.308182367149755,0.47239330394776574,0.5138586956521739,4494.259661835749,31.6,0.4790281832729468,0.0,48.3,41,54,-1.385070765533758,53.03002125362817,52.87399483275239,-3.078713022427981,-0.014811893881415463
8e-06,8.0,0.5254830917874396,6822.022916666667,47.907457729468604,0.4709069084541063,0.5133756038647344,4382.156461352657,30.8,0.47831835217391305,0.0,47.9,41,54,-1.5494792717282158,55.6773012746534,55.5436939268461,-3.2596534653740874,-0.10680143615761764
8.25e-06,8.25,0.5245169082125604,6606.756370772947,46.41050724637681,0.47001116815368355,0.512409420289855,4255.823218599035,29.9,0.477298878736413,0.0,46.4,41,51,-1.526865221645346,55.24038550050043,55.21908778052445,-3.275430081570221,-0.01722570507262965
8.5e-06,8.5,0.5242451690821256,6550.95791062802,46.01286231884058,0.4685620268417874,0.5117753623188406,4169.330525362319,29.3,0.47633605285326086,0.0,46.0,39,51,-1.6320465278466645,57.12253731811619,57.04048572983134,-3.480769642377296,-0.04499828748093352
8.75e-06,8.75,0.5244867149758454,6239.8660628019325,43.8332729468599,0.4698878869263286,0.511201690821256,4070.7119867149763,28.6,0.47558296093749997,0.0,43.8,35,50,-1.197493282758677,53.28684719444967,53.26319212188775,-2.870625228477922,0.37887316727149273
9e-06,9.0,0.5245471014492753,6142.023882850242,43.12391304347826,0.46926888650362314,0.5094202898550724,3955.463073671497,27.8,0.473821122192029,0.0,43.1,35,49,-0.9607498431783545,55.27951515292897,55.12198936502972,-2.769948227880748,0.7599978360259716
9.25e-06,9.25,0.5242753623188405,6082.310628019324,42.72149758454107,0.46801398900966185,0.5090579710144927,3899.12913647343,27.4,0.4729910265021135,0.0,42.7,35,49,-1.0522477623429949,55.99151541619558,55.91787439613529,-2.8530784558565117,0.6157760978172704
9.5e-06,9.5,0.5237620772946859,5973.678472222223,42.01727053140097,0.46701213180857487,0.5082427536231884,3785.8047705314007,26.6,0.4722776083031401,0.0,42.0,35,49,-1.1149113152926549,57.79150892093461,57.95966365188332,-3.013558523325122,0.6027861777503613
9.75e-06,9.75,0.5231582125603864,5903.314130434783,41.52107487922705,0.46560089978864727,0.5083635265700484,3757.566032608696,26.4,0.47172725775211355,0.0,41.5,35,49,-1.2987076457399827,57.10473426694242,57.276798784950955,-3.1680789469187896,0.3349153386976722
1e-05,10.0,0.5226147342995169,5816.275301932367,40.90597826086957,0.4644519812801933,0.5080917874396136,3672.4930253623193,25.8,0.47136685718599036,0.0,40.9,35,49,-1.4669839001999585,58.37403261939613,58.55030333670375,-3.350129090088153,0.21798282390624507
