reward_model,generator,split_seed,price_per_million,fixed_n,fixed_quality,adaptive_quality,fixed_cost_dollars,adaptive_cost_dollars,fixed_net_utility,adaptive_net_utility,net_utility_gain,relative_net_utility_gain_percent,fixed_output_tokens,adaptive_output_tokens,adaptive_calls,direct_cost_saving_percent
fsfairx_llama3_rm,granite42_8b,72,0.2,174,0.5600485007369013,0.5806923556995723,0.04046862600000001,0.043094226500000006,0.5195798747369013,0.5375981291995724,0.018018254462671135,3.4678507268579266,202343.13,215471.1325,336.5475,-6.487990227293605
fsfairx_llama3_rm,granite42_8b,72,0.5,98,0.5297265573961749,0.5350789792438087,0.0568957675,0.04772201875,0.47283078989617494,0.4873569604938087,0.01452617059763378,3.072171040473795,113791.535,95444.0375,187.825,16.12378064853418
fsfairx_llama3_rm,granite42_8b,72,1.0,52,0.4886553400675261,0.4967632998369115,0.060335994999999996,0.051860987500000004,0.4283193450675261,0.44490231233691135,0.01658296726938524,3.8716363060302297,60335.995,51860.9875,109.0125,14.046354087638724
fsfairx_llama3_rm,granite42_8b,72,2.0,27,0.4402236264024676,0.4498103715584756,0.062685855,0.054784429999999995,0.3775377714024675,0.3950259415584756,0.017488170156008065,4.632164376836644,31342.9275,27392.215,56.3575,12.604797366168174
fsfairx_llama3_rm,granite42_8b,72,5.0,12,0.3893203139840669,0.3840239117547242,0.0693857125,0.060607825000000004,0.31993460148406694,0.3234160867547242,0.0034814852706572808,1.0881865401578523,13877.1425,12121.565,27.5325,12.65085733608341
fsfairx_llama3_rm,granite42_8b,72,10.0,8,0.35588468488324415,0.34898849146851874,0.09271750000000001,0.07465355,0.2631671848832442,0.2743349414685188,0.01116775658527458,4.243597692557765,9271.75,7465.355,14.4475,19.482783724755315
fsfairx_llama3_rm,granite42_8b,73,0.1,342,0.5920448726681502,0.6097428227624311,0.038697062000000004,0.0438788345,0.5533478106681502,0.565863988262431,0.012516177594280808,2.261900626148302,386970.62,438788.345,576.9675,-13.390609602351722
fsfairx_llama3_rm,granite42_8b,73,0.2,252,0.5791905903440111,0.5816239109408294,0.0570486825,0.04596988900000001,0.5221419078440112,0.5356540219408295,0.013512114096818295,2.5878240941454966,285243.4125,229849.445,374.72,19.419893702190215
fsfairx_llama3_rm,granite42_8b,73,0.5,90,0.5218366094207086,0.5458580826602197,0.05091540875,0.054602477499999996,0.4709212006707086,0.49125560516021965,0.02033440448951107,4.318005742903448,101830.8175,109204.955,241.635,-7.241557792659381
fsfairx_llama3_rm,granite42_8b,73,1.0,61,0.4989310200448497,0.5112685534464102,0.069086495,0.0597106075,0.4298445250448497,0.45155794594641,0.02171342090156031,5.051459222214066,69086.495,59710.6075,154.0075,13.57123052776088
fsfairx_llama3_rm,granite42_8b,73,2.0,39,0.46560053525151396,0.46053702643815797,0.08843828999999999,0.059380274999999996,0.37716224525151404,0.40115675143815804,0.023994506186644005,6.361852621447582,44219.145,29690.1375,78.4875,32.85682592913092
fsfairx_llama3_rm,granite42_8b,73,5.0,11,0.3807758874580305,0.38917575247073316,0.0622037875,0.06488342500000001,0.3185720999580305,0.32429232747073317,0.00572022751270268,1.7955833274339712,12440.7575,12976.685,36.9425,-4.3078365605952795
fsfairx_llama3_rm,granite42_8b,73,10.0,8,0.3549897070554171,0.35392240482233434,0.090656575,0.07817205,0.26433313205541714,0.27575035482233445,0.011417222766917312,4.319255281446786,9065.6575,7817.205,18.4675,13.771229499901128
fsfairx_llama3_rm,granite42_8b,74,0.1,512,0.6071004416681551,0.5975695907310277,0.062022507,0.043877805250000006,0.5450779346681552,0.5536917854810276,0.008613850812872359,1.5802971034071471,620225.07,438778.0525,521.2075,29.25502793687459
fsfairx_llama3_rm,granite42_8b,74,0.2,252,0.5740665426105281,0.569753015993105,0.06104662450000001,0.0454621745,0.5130199181105283,0.524290841493105,0.011270923382576736,2.196975786844295,305233.1225,227310.8725,336.71,25.528766131860415
fsfairx_llama3_rm,granite42_8b,74,0.5,117,0.5342160627871274,0.5330188610451009,0.0708139075,0.0556711275,0.46340215528712747,0.4773477335451005,0.013945578257973046,3.009390029559155,141627.815,111342.255,201.5275,21.383906826494492
fsfairx_llama3_rm,granite42_8b,74,1.0,59,0.49855353200485636,0.4980382696322718,0.0714867225,0.060301925,0.4270668095048563,0.43773634463227185,0.01066953512741553,2.4983292754091218,71486.7225,60301.925,119.05,15.645978873909073
fsfairx_llama3_rm,granite42_8b,74,2.0,38,0.4663848786447662,0.4499157259631294,0.09216749,0.062620525,0.37421738864476617,0.3872952009631294,0.013077812318363247,3.494709950738724,46083.745,31310.2625,66.38,32.057903497209274
fsfairx_llama3_rm,granite42_8b,74,5.0,12,0.38796305669629555,0.38119186507548486,0.072764825,0.06517065,0.3151982316962955,0.31602121507548486,0.0008229833791893459,0.2611002526125588,14552.965,13034.13,28.9525,10.436601750914686
fsfairx_llama3_rm,granite42_8b,74,10.0,8,0.3573421374509037,0.3463896726844047,0.097397325,0.07963665,0.2599448124509038,0.2667530226844046,0.006808210233500811,2.619098326798381,9739.7325,7963.665,13.5725,18.235280075710502
fsfairx_llama3_rm,granite42_8b,75,0.1,441,0.6159462820840482,0.6157306555913299,0.053241396,0.044489747,0.5627048860840483,0.5712409085913298,0.008536022507281471,1.5169625710352352,532413.96,444897.47,535.0275,16.4376775545104
fsfairx_llama3_rm,granite42_8b,75,0.2,211,0.5804987897646329,0.5862751379017257,0.050970733000000004,0.0462437985,0.529528056764633,0.5400313394017255,0.010503282637092548,1.9835176820028433,254853.665,231218.9925,332.5025,9.273820919938514
fsfairx_llama3_rm,granite42_8b,75,0.5,90,0.527744240571443,0.5442584181382771,0.05426798124999999,0.05083591625,0.473476259321443,0.4934225018882772,0.019946242566834194,4.212722850226941,108535.9625,101671.8325,162.2875,6.324290900354789
fsfairx_llama3_rm,granite42_8b,75,1.0,63,0.5044374906749867,0.49984651329658036,0.0759569575,0.052919035,0.4284805331749868,0.44692747829658025,0.01844694512159345,4.305200281773342,75956.9575,52919.035,86.3575,30.33023340883553
fsfairx_llama3_rm,granite42_8b,75,2.0,36,0.46339253915182677,0.44859956529569617,0.086957505,0.052540975,0.37643503415182666,0.39605859029569623,0.01962355614386957,5.212999419165339,43478.7525,26270.4875,46.505,39.578561965410586
fsfairx_llama3_rm,granite42_8b,75,5.0,14,0.3966207055199268,0.37606090578172485,0.08426727500000002,0.0594386625,0.31235343051992676,0.31662224328172484,0.00426881276179808,1.3666610783471926,16853.455,11887.7325,23.5175,29.46412174832995
fsfairx_llama3_rm,granite42_8b,75,10.0,8,0.35318312647276306,0.3428317908611367,0.09667005,0.07536445,0.25651307647276306,0.2674673408611367,0.010954264388373658,4.270450668247627,9667.005,7536.445,12.7325,22.039504479412187
rm_mistral_7b,granite42_8b,71,0.1,365,0.6064862959223514,0.6003485217451626,0.042106462500000004,0.03754831300000001,0.5643798334223513,0.5628002087451627,-0.0015796246771886402,-0.2798868038232214,421064.625,375483.13,526.7875,10.825296710689003
rm_mistral_7b,granite42_8b,71,0.2,211,0.574502252241653,0.5664889219872525,0.048685646000000006,0.037932414000000005,0.5258166062416529,0.5285565079872526,0.002739901745599682,0.5210755447956483,243428.23,189662.07,363.1875,22.087068537613742
rm_mistral_7b,granite42_8b,71,0.5,122,0.5379303236133672,0.5237921855851956,0.07031277624999999,0.045368968749999995,0.4676175473633672,0.47842321683519573,0.010805669471828538,2.3107921276170327,140625.5525,90737.9375,230.895,35.47549795404359
rm_mistral_7b,granite42_8b,71,1.0,57,0.4915733471045913,0.4884885213870107,0.06570485499999999,0.0526469375,0.42586849210459116,0.4358415838870107,0.009973091782419563,2.341824287853214,65704.855,52646.9375,143.175,19.873596098796654
rm_mistral_7b,granite42_8b,71,2.0,35,0.460400068656071,0.4413955604559844,0.08075858,0.052913764999999995,0.379641488656071,0.3884817954559843,0.008840306799913322,2.3285934398813906,40379.29,26456.8825,67.345,34.479079498426046
rm_mistral_7b,granite42_8b,71,5.0,13,0.3846590104340973,0.37743833704796437,0.07483456250000001,0.06146312500000001,0.30982444793409736,0.31597521204796436,0.006150764113867002,1.9852416924746135,14966.9125,12292.625,34.6925,17.867997157062288
