generator,split_seed,method,target,adaptive_length,fixed_length,feasible,frontier_saving_percent
llama3.1_8b,72,odds_mean_n4_costse1,0.5,87120.7103514827,116902.29831181726,True,25.475622284941878
llama3.1_8b,72,odds_mean_n4_costse1,0.55,199629.97672868663,276229.47498447687,True,27.73038549202429
llama3.1_8b,72,odds_mean_n4_costse1,0.6,540675.2619297113,713693.4296789793,True,24.242645448913812
llama3.1_8b,73,odds_mean_n3_costse1,0.3,,5232.651404206161,False,
llama3.1_8b,73,odds_mean_n3_costse1,0.35,8486.287949917369,10562.93520059668,True,19.659755657329082
llama3.1_8b,73,odds_mean_n3_costse1,0.4,18747.921684571746,21649.653509831358,True,13.403132867423961
llama3.1_8b,73,odds_mean_n3_costse1,0.45,40582.578025346964,49181.64770823801,True,17.484305800211498
llama3.1_8b,73,odds_mean_n3_costse1,0.5,89742.57874403805,112910.50111142646,True,20.518837609732156
llama3.1_8b,73,odds_mean_n3_costse1,0.55,201992.20171208252,296289.02631957375,True,31.825959192219234
llama3.1_8b,73,odds_mean_n3_costse1,0.6,601603.6749627409,826797.9486763161,True,27.236917323525766
llama3.1_8b,73,odds_current_n4_costse0,0.3,,5232.651404206161,False,
llama3.1_8b,73,odds_current_n4_costse0,0.35,8209.368300688395,10562.93520059668,True,22.28137213011906
llama3.1_8b,73,odds_current_n4_costse0,0.4,17246.255641043685,21649.653509831358,True,20.339345693398926
llama3.1_8b,73,odds_current_n4_costse0,0.45,36862.65903152214,49181.64770823801,True,25.04793810446577
llama3.1_8b,73,odds_current_n4_costse0,0.5,83445.69668148196,112910.50111142646,True,26.095716642747846
llama3.1_8b,73,odds_current_n4_costse0,0.55,181889.891200225,296289.02631957375,True,38.61065546044193
llama3.1_8b,73,odds_current_n4_costse0,0.6,499928.9784282753,826797.9486763161,True,39.534322838046485
llama3.1_8b,73,odds_mean_n4_costse1,0.3,,5232.651404206161,False,
llama3.1_8b,73,odds_mean_n4_costse1,0.35,8213.484262850716,10562.93520059668,True,22.2424060465054
llama3.1_8b,73,odds_mean_n4_costse1,0.4,16987.100019131816,21649.653509831358,True,21.536388508860995
llama3.1_8b,73,odds_mean_n4_costse1,0.45,36960.55367184534,49181.64770823801,True,24.848891010915885
llama3.1_8b,73,odds_mean_n4_costse1,0.5,84611.69762115803,112910.50111142646,True,25.06303949739942
llama3.1_8b,73,odds_mean_n4_costse1,0.55,187417.85248309208,296289.02631957375,True,36.74492274953665
llama3.1_8b,73,odds_mean_n4_costse1,0.6,502217.0535562807,826797.9486763161,True,39.257583505097195
llama3.1_8b,74,odds_mean_n3_costse1,0.3,5486.038871286792,6045.848415047917,True,9.25940422799516
llama3.1_8b,74,odds_mean_n3_costse1,0.35,9319.853303622274,11425.137628903423,True,18.426774308216476
llama3.1_8b,74,odds_mean_n3_costse1,0.4,19170.334155077122,22379.915456247476,True,14.341346853812098
llama3.1_8b,74,odds_mean_n3_costse1,0.45,37016.07524235386,45536.244735796354,True,18.71074249288004
llama3.1_8b,74,odds_mean_n3_costse1,0.5,76200.13154288524,104219.04054292981,True,26.88463533542419
llama3.1_8b,74,odds_mean_n3_costse1,0.55,182139.92220374662,251027.39523306597,True,27.442213215557963
llama3.1_8b,74,odds_mean_n3_costse1,0.6,469973.702831179,610688.3543102755,True,23.04197394398042
llama3.1_8b,74,odds_current_n4_costse0,0.3,,6045.848415047917,False,
llama3.1_8b,74,odds_current_n4_costse0,0.35,8889.529242190352,11425.137628903423,True,22.193241508955342
llama3.1_8b,74,odds_current_n4_costse0,0.4,16771.212673415645,22379.915456247476,True,25.06132247816929
llama3.1_8b,74,odds_current_n4_costse0,0.45,33667.26341768991,45536.244735796354,True,26.06491024231552
llama3.1_8b,74,odds_current_n4_costse0,0.5,67374.65227778658,104219.04054292981,True,35.352837709119314
llama3.1_8b,74,odds_current_n4_costse0,0.55,153198.83596926357,251027.39523306597,True,38.97126812512779
llama3.1_8b,74,odds_current_n4_costse0,0.6,383363.5307174023,610688.3543102755,True,37.224358707416116
