generator,split,divisor,adaptive_score,adaptive_chars,fixed_chars,cost_mismatch,fixed_n_low,fixed_n_high,fixed_high_weight
mistral_7b,32,1000000.0,0.6410560907666415,49037.5125,49037.5125,0.0,28,29,0.5155127386686783
mistral_7b,32,5000000.0,0.61625,201416.1225,201416.1225,0.0,117,118,0.038026932253430824
mistral_7b,32,10000000.0,0.60375,399357.49,399357.49,0.0,232,233,0.12459518127124172
mistral_7b,32,50000000.0,0.505,1636738.01,1636738.01,0.0,950,951,0.981512660859885
mistral_7b,33,100000.0,0.549113334344962,11306.6,11306.6,0.0,5,6,0.8808147923341763
mistral_7b,33,500000.0,0.5683059396021093,37373.59,37373.58999999999,7.275957614183426e-12,19,20,0.3364640454732264
mistral_7b,33,1000000.0,0.5913425362333208,58647.595,58647.595,0.0,30,31,0.4629855066716889
mistral_7b,33,5000000.0,0.5884267044814052,214292.6475,214292.6475,0.0,111,112,0.6573295518594741
mistral_7b,33,10000000.0,0.5684821308237034,429478.73,429478.73,0.0,224,225,0.2142953410373043
mistral_7b,33,50000000.0,0.52375,1663258.9325,1663258.9325,0.0,866,867,0.8656271454484414
mistral_7b,34,100000.0,0.5529732290847429,10167.5975,10167.5975,0.0,5,6,0.14714259404901595
mistral_7b,34,500000.0,0.5404356996627966,30336.06,30336.06,0.0,15,16,0.5651440269762655
mistral_7b,34,1000000.0,0.5443489062584235,51094.6125,51094.61250000001,-7.275957614183426e-12,26,27,0.4401093741576612
mistral_7b,34,5000000.0,0.5699232367987715,206119.345,206119.345,0.0,107,108,0.03070528049137432
mistral_7b,34,10000000.0,0.59375,418939.73,418939.7299999999,5.820766091346741e-11,218,219,0.24709401396066213
mistral_7b,34,50000000.0,0.525,1689703.3275,1689703.3275,0.0,882,883,0.8531115137538875
mistral_7b,35,100000.0,0.56992528158095,11050.23,11050.23,0.0,5,6,0.6581179604762512
mistral_7b,35,500000.0,0.5743823609087418,33189.765,33189.765,0.0,17,18,0.09338195456290699
mistral_7b,35,1000000.0,0.5997026742977178,58012.4725,58012.4725,0.0,30,31,0.11893028091284116
mistral_7b,35,5000000.0,0.5958017205677146,215914.3725,215914.3725,0.0,112,113,0.11954118194277014
mistral_7b,35,10000000.0,0.5904808678008594,438116.685,438116.685,0.0,227,228,0.6153057593124687
mistral_7b,35,50000000.0,0.5175,1696180.8475,1696180.8475,0.0,876,877,0.8032528420877554
mistral_7b,36,100000.0,0.5447009945656948,11223.9225,11223.9225,0.0,6,7,0.282613623162947
mistral_7b,36,500000.0,0.5436045107261802,35816.7475,35816.7475,0.0,20,21,0.13954892738198704
mistral_7b,36,1000000.0,0.6034232866819754,58448.1175,58448.1175,0.0,32,33,0.8522741308839382
mistral_7b,36,5000000.0,0.5855613852468905,210166.1575,210166.15750000003,-2.9103830456733704e-11,117,118,0.3877229506218956
mistral_7b,36,10000000.0,0.5506234011832652,427662.075,427662.075,0.0,238,239,0.7506395266939058
mistral_7b,36,50000000.0,0.5095538136266543,1676556.31,1676556.31,0.0,936,937,0.3569490986765774
mistral_7b,37,100000.0,0.5972391497566989,9753.985,9753.985,0.0,4,5,0.7353697349902956
mistral_7b,37,500000.0,0.6135953707051125,27303.4025,27303.4025,0.0,13,14,0.18728390598500094
mistral_7b,37,1000000.0,0.5996337368237158,46984.6775,46984.6775,0.0,22,23,0.7155017568378882
mistral_7b,37,5000000.0,0.5875,196219.585,196219.585,0.0,94,95,0.9272324547711401
mistral_7b,37,10000000.0,0.5825,402786.51,402786.51,0.0,194,195,0.8920173372508157
mistral_7b,37,50000000.0,0.5275,1800740.5175,1800740.5175,0.0,870,871,0.31623373560383916
mistral_7b,38,100000.0,0.5733985253387794,9838.6825,9838.682500000003,-1.8189894035458565e-12,5,6,0.3317994037934247
mistral_7b,38,500000.0,0.5764010456501493,30234.5775,30234.5775,0.0,16,17,0.29839719076005045
mistral_7b,38,1000000.0,0.565332605184032,51963.1025,51963.1025,0.0,28,29,0.18347896319358528
mistral_7b,38,5000000.0,0.563629121090688,212863.825,212863.825,0.0,115,116,0.024175781862394254
mistral_7b,38,10000000.0,0.5559248507996021,447007.755,447007.755,0.0,241,242,0.2601193603183041
mistral_7b,38,50000000.0,0.5271526415065104,1654900.5775,1654900.5775,0.0,896,897,0.27788679479167677
