generator,split,divisor,fixed_n,fixed_utility,adaptive_utility,utility_gap,relative_utility_gain_pct,adaptive_quality,adaptive_chars,adaptive_opens
llama3.2_3b,34,100000.0,5,0.2222347248337764,0.2395655113402265,0.01733078650645009,7.798415175401997,0.3549504113402266,11538.49,23.74
llama3.2_3b,34,500000.0,19,0.35735255105384733,0.3661553297420072,0.008802778688159874,2.463331704838854,0.4417023847420072,37773.5275,81.895
llama3.2_3b,34,1000000.0,47,0.40648202697650293,0.4303911576664558,0.023909130689952873,5.881965032450244,0.4926355026664558,62244.345,115.985
llama3.2_3b,34,5000000.0,204,0.5183569434436771,0.5522874789704214,0.0339305355267443,6.545785863565089,0.6022496919704214,249811.065,346.0225
llama3.2_3b,34,10000000.0,225,0.5527668218212952,0.5924059328649435,0.039639111043648256,7.171036588817417,0.6358065803649435,434006.475,492.6975
llama3.2_3b,34,50000000.0,952,0.6370888280780423,0.6373102606954979,0.00022143261745555254,0.03475694560891396,0.6696065965954979,1614816.795,957.6475
llama3.2_3b,35,100000.0,4,0.1954537394633013,0.2138072995363006,0.018353560072999292,9.39023224799717,0.3245228745363006,11071.5575,18.7
llama3.2_3b,35,500000.0,19,0.3318327422514723,0.33009826708452583,-0.0017344751669464697,-0.5226956071839455,0.39860903708452583,34255.385,67.2
llama3.2_3b,35,1000000.0,53,0.3841205384716054,0.40383131606903383,0.019710777597428453,5.131404239892134,0.4637486435690337,59917.3275,110.415
llama3.2_3b,35,5000000.0,138,0.50879648912561,0.5353797619613193,0.02658327283570927,5.224735902048742,0.5828759834613194,237481.1075,315.3775
llama3.2_3b,35,10000000.0,357,0.561232699068709,0.5734638493064863,0.012231150237777322,2.1793367097236653,0.6159381635564862,424743.1425,451.705
llama3.2_3b,35,50000000.0,942,0.6444080109778312,0.6463579591228445,0.0019499481450133693,0.3025952675626267,0.6803814185728446,1701172.9725,942.26
llama3.2_3b,36,100000.0,5,0.20954525958014203,0.21613421296267263,0.006588953382530599,3.1444058413598275,0.33202756296267266,11589.335,16.855
llama3.2_3b,36,500000.0,30,0.3342060786656182,0.342863250572814,0.008657171907195838,2.5903693738190685,0.420104710572814,38620.73,63.8475
llama3.2_3b,36,1000000.0,48,0.39484592731408,0.40296480584015737,0.008118878526077344,2.0562143267642687,0.4654942483401574,62529.4425,87.8925
llama3.2_3b,36,5000000.0,172,0.5102724149038861,0.5291105147133757,0.018838099809489584,3.691773111630557,0.5799265617133758,254080.235,294.7375
llama3.2_3b,36,10000000.0,343,0.5488567302876558,0.5621957721259853,0.013339041838329457,2.4303321982293022,0.6061441866259852,439484.145,409.91
llama3.2_3b,36,50000000.0,952,0.632034996247635,0.6324064238679948,0.0003714276203597988,0.05876693894561991,0.6708053639679947,1919947.005,954.805
llama3.2_3b,37,100000.0,5,0.19486848042977953,0.21357073543053537,0.01870225500075584,9.59737303821957,0.3235447854305354,10997.405,12.7675
llama3.2_3b,37,500000.0,19,0.3284135334467058,0.3368999177202853,0.008486384273579506,2.5840543733124375,0.40774990272028533,35424.9925,48.6775
llama3.2_3b,37,1000000.0,60,0.3698348289648028,0.40035209079097533,0.030517261826172537,8.251592180107208,0.4623727507909753,62020.66,75.32
llama3.2_3b,37,5000000.0,237,0.4928271479576226,0.5200095387178889,0.027182390760266295,5.515603365787727,0.5716647922178889,258276.2675,276.8525
llama3.2_3b,37,10000000.0,454,0.5346265071213319,0.5623714477071576,0.027744940585825772,5.189593148910056,0.6073697904571577,449983.4275,406.21
llama3.2_3b,37,50000000.0,950,0.6278858013327293,0.6290713381600267,0.0011855368272973843,0.18881408446902345,0.6671961628100267,1906241.2325,941.42
llama3.2_3b,38,100000.0,4,0.20463275789663066,0.23817382141729587,0.033541063520665215,16.390857390295416,0.33396542141729585,9579.16,11.82
llama3.2_3b,38,500000.0,22,0.3363053538327854,0.36739486260021836,0.03108950876743294,9.244428735110466,0.42428163260021834,28443.385,39.435
llama3.2_3b,38,1000000.0,41,0.3993871201994134,0.4303189933258667,0.03093187312645329,7.744834913807198,0.4883605083258667,58041.515,87.83
llama3.2_3b,38,5000000.0,166,0.5275830342235653,0.5575584135987772,0.029975379375211886,5.681642022345567,0.6052776635987772,238596.25,332.165
llama3.2_3b,38,10000000.0,251,0.5676041249188699,0.589595878642802,0.02199175372393214,3.8744880028973565,0.634257721392802,446618.4275,485.5175
llama3.2_3b,38,50000000.0,832,0.662127535198185,0.6662767922047468,0.0041492570065617684,0.6266552568788476,0.6986447978547469,1618400.2825,947.2725
llama3.2_3b,39,100000.0,4,0.19046208288372274,0.21663032246287903,0.02616823957915629,13.73934338160736,0.305664072462879,8903.375,12.8325
llama3.2_3b,39,500000.0,23,0.3352677178645757,0.3311070948244263,-0.004160623040149414,-1.2409852838351736,0.38491594482442637,26904.425,53.475
