generator,target_quality,splits,matched_char_saving_pct_mean,matched_char_saving_pct_ci_low,matched_char_saving_pct_ci_high,direct_char_saving_pct_mean,direct_char_saving_pct_ci_low,direct_char_saving_pct_ci_high,adaptive_quality_mean,adaptive_quality_ci_low,adaptive_quality_ci_high,fixed_quality_mean,fixed_quality_ci_low,fixed_quality_ci_high,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,fixed_chars_mean,fixed_chars_ci_low,fixed_chars_ci_high,quality_gap_mean,quality_gap_ci_low,quality_gap_ci_high
mistral_7b,0.45,10,20.055512236153806,16.877984220414003,23.23304025189361,14.100105896772186,3.685057121944501,24.515154671599873,0.4537962785727155,0.4412510283766787,0.4663415287687523,0.4499138773451551,0.4424723187301143,0.4573554359601959,50429.118276267414,44273.719034505935,56584.51751802889,59146.81047826323,53804.55000265755,64489.07095386891,0.0038824012275604724,-0.007343239333539545,0.01510804178866049
mistral_7b,0.5,10,25.711693222959042,21.709426967182626,29.713959478735458,18.891964494273296,10.067860877857264,27.716068110689328,0.503434581726286,0.4948363745731128,0.5120327888794591,0.4986775376108031,0.4940801272661091,0.5032749479554971,92597.37312659282,83722.78094488863,101471.96530829702,114922.07431016411,107499.50966754787,122344.63895278035,0.004757044115482773,-0.006872288812885475,0.01638637704385102
mistral_7b,0.55,10,25.13616574698223,20.23152043957375,30.04081105439071,16.402747321857568,5.967165576313235,26.8383290674019,0.5537219952823025,0.5454399583854785,0.5620040321791264,0.547403020996299,0.5419860002586593,0.5528200417339387,195311.80604780238,179965.38428772794,210658.22780787683,236063.11055712937,222343.59437970092,249782.62673455782,0.006318974286003509,-0.004213918643665698,0.016851867215672715
mistral_7b,0.6,10,20.56599566162369,14.467328645136806,26.66466267811057,15.08874393631458,4.816284621978324,25.36120325065084,0.6013870703393867,0.5938429406767397,0.6089312000020336,0.5979743926775609,0.588922697294967,0.6070260880601548,462404.29950287676,412997.10176088224,511811.4972448713,550310.4939169273,491938.08556085645,608682.9022729981,0.0034126776618258136,-0.0026093745424302585,0.009434729866081886
qwen2.5_7b,0.3,10,25.83095502579759,21.132166903292926,30.529743148302252,15.525203748005836,4.752221558604289,26.298185937407382,0.30812573760693307,0.29377531777875193,0.3224761574351142,0.2998584976320397,0.2806028119616963,0.3191141833023831,8809.963101668043,8059.060971443658,9560.865231892429,10630.436173747154,9504.52759408462,11756.344753409687,0.008267239974893415,0.000339252336540247,0.016195227613246585
qwen2.5_7b,0.35,10,26.525819153454584,20.596488645581374,32.455149661327795,20.597335374400746,12.49914826670372,28.695522482097772,0.3533917022400691,0.3342983924830144,0.3724850119971238,0.3482227526173628,0.329150634290211,0.3672948709445146,15879.592085384249,13329.067335652886,18430.116835115612,19982.190788057844,17831.796718423964,22132.584857691723,0.0051689496227062814,-0.0037183956178491653,0.014056294863261728
qwen2.5_7b,0.4,10,26.628180377623305,18.598275244357023,34.65808551088959,16.859157858079808,8.92802859334298,24.790287122816636,0.40516611087296595,0.39014243907667673,0.42018978266925516,0.3966648661119765,0.38672869740790417,0.4066010348160488,30555.06776486604,26899.397171138142,34210.73835859393,36688.238616738614,34547.14480785839,38829.332425618835,0.008501244760989502,-0.002197743259506996,0.019200232781486
qwen2.5_7b,0.45,10,28.488196564014732,18.615926627788067,38.3604665002414,18.968709643301374,7.371821888719216,30.56559739788353,0.4547225162213996,0.44076316032931717,0.468681872113482,0.44391971731977026,0.4367734845499986,0.4510659500895419,54060.70805539658,48515.74108969813,59605.67502109503,67469.3871039628,63314.86025857179,71623.91394935381,0.010802798901629395,-0.007546058724432619,0.02915165652769141
qwen2.5_7b,0.5,10,27.992008308937972,18.997146087230295,36.986870530645646,22.621710053693196,11.313813090343473,33.92960701704292,0.5023974494647017,0.48782395434868603,0.5169709445807174,0.49727817864139157,0.4933980905118499,0.5011582667709332,100145.5944354432,89295.51371350171,110995.67515738469,131199.06942545128,120525.24283115283,141872.89601974972,0.005119270823310151,-0.012180181545389829,0.02241872319201013
qwen2.5_7b,0.55,10,21.79174505187051,14.384630832647105,29.198859271093916,21.121404065871896,12.054294014438744,30.188514117305047,0.5491315974057062,0.5360814837048447,0.5621817111065677,0.5482951846345399,0.5395093289651682,0.5570810403039115,210167.5279988857,186953.30358367306,233381.75241409833,267928.4028697301,248051.4927413784,287805.31299808173,0.0008364127711661063,-0.012534468646183336,0.01420729418851555
