generator,split,target_quality,adaptive_divisor_low,adaptive_divisor_high,adaptive_high_weight,target_reached_train,fixed_quality,adaptive_quality,quality_gap,fixed_chars,adaptive_chars,direct_char_saving_pct,matched_fixed_chars,matched_char_saving_pct
qwen2.5_7b,32,0.3,50000.0,50000.0,0.0,False,0.2964484569142399,0.3040414277698368,0.007592970855596903,10083.526054212602,8677.59,13.942900991714525,11043.803945301923,21.425714880682204
qwen2.5_7b,32,0.35,100000.0,200000.0,0.6067762614052707,True,0.35555541370624993,0.34606017984477844,-0.009495233861471497,19034.28083807842,15079.90639110261,20.775013674617078,17023.09714496795,11.415024759109416
qwen2.5_7b,32,0.4,200000.0,500000.0,0.6324907017261989,True,0.404309690333274,0.38577686432102154,-0.01853282601225248,36372.781571581894,28328.841917055594,22.115272208961446,29137.597459446984,2.7756425131378717
qwen2.5_7b,32,0.45,500000.0,1000000.0,0.5031695240265395,True,0.4499799986278137,0.42485544863234764,-0.02512454999546604,67968.41636522027,47883.11823032823,29.55092851798408,47721.65196639994,-0.3383501142038763
qwen2.5_7b,32,0.5,1000000.0,2000000.0,0.4782309107219061,True,0.49849048344824454,0.46882746102969447,-0.029663022418550067,128493.84173239027,81392.32258123346,36.656635459038995,87159.38037261905,6.616680576124547
qwen2.5_7b,32,0.55,2000000.0,5000000.0,0.47136891953600313,True,0.5355708456278879,0.5181972936391298,-0.017373551988758118,213305.01388931568,160176.68938334263,24.90720847918813,157025.26893839095,-2.0069511526760366
qwen2.5_7b,32,0.6,5000000.0,10000000.0,0.6480116637773468,True,0.5882551401829939,0.5707124831472103,-0.017542657035783504,441023.9768236032,356267.7968508321,19.21804355926687,377627.00820399297,5.656166240530833
qwen2.5_7b,33,0.3,50000.0,75000.0,0.5430805562318675,True,0.3091337258971987,0.32060299128167735,0.011469265384478677,11687.172099242664,8660.54926586784,25.89696470347135,13452.399719269204,35.620785535665604
qwen2.5_7b,33,0.35,200000.0,500000.0,0.19846115035649572,True,0.3617805281069248,0.38084605620037626,0.019065528093451467,23107.446936547578,21575.80575801979,6.62834445853596,29479.101444995147,26.80982560381653
qwen2.5_7b,33,0.4,200000.0,500000.0,0.9890941447075469,True,0.4071249769036691,0.4286532932392313,0.02152831633556218,41340.55180325293,39039.888452496656,5.565149110020449,56576.01049390206,30.99568507626656
qwen2.5_7b,33,0.45,500000.0,1000000.0,0.9529509253312202,True,0.43763653207603626,0.47463674591118277,0.03700021383514651,61819.92291608417,69362.96565792344,-12.201637249011743,93839.33839093968,26.083275045105673
qwen2.5_7b,33,0.5,2000000.0,5000000.0,0.015799966284519625,True,0.49211025955785526,0.5248687883317003,0.032758528773845,118687.24823376464,126763.49031044166,-6.804641776486533,193428.22183043137,34.46484224956133
qwen2.5_7b,33,0.55,2000000.0,5000000.0,0.8986458866309691,True,0.5400888234783924,0.5630084139418057,0.022919590463413297,257822.049319399,251720.69627937584,2.3664977670178176,359624.9101111103,30.004655071973797
qwen2.5_7b,33,0.6,10000000.0,20000000.0,0.3068718436319183,True,0.5784186549035343,0.6016975641546047,0.023278909251070456,484778.34556125477,587902.7439883073,-21.272484501686993,759597.0135235904,22.603336569062336
qwen2.5_7b,34,0.3,50000.0,50000.0,0.0,False,0.3073263159087645,0.31506849103457674,0.007742175125812212,10010.705851508006,8399.235,16.097474797596362,11219.970983392435,25.140314422984055
qwen2.5_7b,34,0.35,100000.0,200000.0,0.4512039344166977,True,0.35983596145360436,0.35204339710250565,-0.0077925643510987075,21113.473721258062,14646.965468003773,30.627400960285836,18994.344674998043,22.88775570507919
qwen2.5_7b,34,0.4,200000.0,500000.0,0.8330658002741146,True,0.3983739580960113,0.4119923469079047,0.013618388811893423,35390.844528433954,31929.50704908546,9.780318965170677,41412.97797189419,22.899756036006142
qwen2.5_7b,34,0.45,500000.0,1000000.0,0.8499200179125229,True,0.4497911500945432,0.4622512150111677,0.012460064916624547,70584.18595716594,60146.637923129405,14.787374668272822,83678.61764176092,28.121855238305912
qwen2.5_7b,34,0.5,1000000.0,2000000.0,0.8710429040932584,True,0.4951978953414444,0.5091939198287393,0.013996024487294867,119879.6755662587,107949.47596831602,9.951811715863988,141906.1015634588,23.928939785550913
qwen2.5_7b,34,0.55,2000000.0,5000000.0,0.8517111184153026,True,0.5389489648556125,0.558338705337147,0.019389740481534523,250066.81675504032,233427.50755760388,6.6539452988422365,349319.7140775487,33.1765433926288
qwen2.5_7b,34,0.6,10000000.0,20000000.0,0.06394964204943493,True,0.5610306470263101,0.586902720639372,0.025872073613061874,366635.03946450993,555843.2977030368,-51.60670363500326,664411.4147429008,16.340495456700612
qwen2.5_7b,35,0.3,50000.0,50000.0,0.0,False,0.2941150965627718,0.3028434676225464,0.008728371059774587,10092.727188118886,9344.8875,7.4096889193561,11484.382681659026,18.62960544736877
qwen2.5_7b,35,0.35,100000.0,200000.0,0.7539270715850086,True,0.3370575690202462,0.3487356384449316,0.011678069424685411,17781.13828275412,16261.677855438791,8.54534958984628,20710.287202894207,21.480191481042016
qwen2.5_7b,35,0.4,200000.0,500000.0,0.9620481103043096,True,0.3889164461220983,0.40195546003798627,0.013039013915887965,34496.5748657234,33665.659057650606,2.408690750624089,39781.725178546716,15.374059554848946
qwen2.5_7b,35,0.45,500000.0,1000000.0,0.6661282843342428,True,0.44443547539579975,0.4335284785213528,-0.010906996874446961,69646.72802091291,49054.024284692074,29.567367084405515,60953.55475403273,19.522291222159406
qwen2.5_7b,35,0.5,1000000.0,2000000.0,0.545057414819683,True,0.5044147458812479,0.47157141185897894,-0.032843334022268966,147006.8410605594,81743.55174609213,44.3947294177841,91904.23680292125,11.055730845812498
qwen2.5_7b,35,0.55,2000000.0,5000000.0,0.5666744677416786,True,0.5571893284142935,0.5278518472304916,-0.02933748118380186,281159.8599039898,178337.19318802663,36.570891289771936,203330.27088218325,12.291862685137763
qwen2.5_7b,35,0.6,10000000.0,20000000.0,0.07198615191005567,True,0.6061161319555476,0.5983941090586821,-0.007722022896865521,601931.5846102694,475231.03063373355,21.04899580216749,546447.0525551741,13.032556692992676
qwen2.5_7b,36,0.3,50000.0,50000.0,0.0,False,0.3284483597669574,0.3206786646473514,-0.007769695119606013,12835.281173593923,7905.275,38.40980269085531,11896.983507016912,33.552274025281946
