split,config_id,divisor_id,divisor,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay,train_accuracy,train_predicted_accuracy,train_chars,test_accuracy,test_predicted_accuracy,test_chars,test_opens
57,0,16,5600000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.25609756097560976,0.35579825926262015,79379.66463414633,0.46726190476190477,0.3595590149382649,68658.22916666667,160.99404761904762
57,0,17,7000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.25609756097560976,0.3630261824597028,89586.5243902439,0.47619047619047616,0.3670140057934107,75217.91369047618,174.46428571428572
57,0,18,10000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2682926829268293,0.36976954205360485,107911.46341463414,0.47023809523809523,0.37903887125097313,86785.39285714286,197.5
58,0,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.23780487804878048,0.21269944712150984,2727.079268292683,0.2976190476190476,0.18725695476673762,2740.535714285714,5.729166666666667
58,0,1,35000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.23780487804878048,0.22102129019652322,3329.9146341463415,0.30952380952380953,0.1918999283771455,3281.1994047619046,6.875
58,0,2,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.23780487804878048,0.22670962620800303,4081.4146341463415,0.31845238095238093,0.19853205308632557,4115.419642857143,8.229166666666666
58,0,3,70000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.23780487804878048,0.2330548572439913,4835.804878048781,0.3244047619047619,0.2061870611055175,4977.327380952381,10.053571428571429
58,0,4,100000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2621951219512195,0.2409918020485543,5717.90243902439,0.3244047619047619,0.21243938432939882,6116.544642857143,12.354166666666666
58,0,5,140000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.27439024390243905,0.24308866842345667,6738.408536585366,0.3273809523809524,0.2199459950043198,7298.398809523809,15.05952380952381
58,0,6,200000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2865853658536585,0.24986864462371663,8513.609756097561,0.3273809523809524,0.22813961608687416,8933.074404761905,18.467261904761905
58,0,7,280000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.27439024390243905,0.2540323446726261,10565.774390243903,0.33035714285714285,0.23172312267674164,11077.940476190477,22.595238095238095
58,0,8,400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2865853658536585,0.26259621501756236,12763.256097560976,0.33630952380952384,0.23590198009945434,13738.752976190477,28.297619047619047
58,0,9,560000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2865853658536585,0.2686461320245017,15502.817073170732,0.3392857142857143,0.24104228952951456,16844.535714285714,35.029761904761905
58,0,10,700000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.2865853658536585,0.2725902371414031,17625.701219512193,0.34523809523809523,0.24330293572337772,19668.904761904763,40.63690476190476
58,0,11,1000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.29878048780487804,0.27754861353461957,21873.628048780487,0.37797619047619047,0.24952855720442263,25042.366071428572,51.73511904761905
58,0,12,1400000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.31097560975609756,0.28105648587627324,26552.243902439026,0.3958333333333333,0.25412200658106626,31738.70535714286,65.36904761904762
58,0,13,2000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.31097560975609756,0.28642922888532724,31442.817073170732,0.41369047619047616,0.259732469163223,39896.455357142855,81.78571428571429
58,0,14,2800000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.31097560975609756,0.2921091175666006,36480.55487804878,0.41964285714285715,0.26434478063443817,48915.50892857143,99.0327380952381
58,0,15,4000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.32926829268292684,0.29789712406569085,43466.68292682927,0.4226190476190476,0.26779804038552485,60111.392857142855,120.19345238095238
58,0,16,5600000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3475609756097561,0.3034854456664844,52269.89024390244,0.43154761904761907,0.2723876097306623,70117.07738095238,140.5625
58,0,17,7000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3475609756097561,0.3065644108217159,59443.493902439026,0.44047619047619047,0.27518123705144215,75714.45833333333,153.73214285714286
58,0,18,10000000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3597560975609756,0.3108742854973077,73693.13414634146,0.44642857142857145,0.27912053923737973,87008.54761904762,180.83630952380952
59,0,0,25000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.29878048780487804,0.2906382929741321,3154.3048780487807,0.23809523809523808,0.2921467302115863,2936.690476190476,6.821428571428571
59,0,1,35000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.29878048780487804,0.29460288170299354,3998.170731707317,0.24107142857142858,0.3023957003423242,3582.3511904761904,8.199404761904763
59,0,2,50000.0,shifted_exponential,bounded_identity,0.8,inf,0.0,,0.75,1.0,0.3170731707317073,0.3025674624800812,4787.304878048781,0.24702380952380953,0.3116984587658297,4325.544642857143,9.988095238095237
