generator,split_seed,method,price,profit,fixed_profit,fixed_n,relative_percent,relative_vs_test_oracle,quality,mean_length,samples,matched_length,matched_saving_percent
llama3.1_8b,71,quarter32_exclude,1e-06,0.3585784805344469,0.3877124390198602,38,-7.514321325120272,-8.44181699984058,0.3876081005344469,29029.62,34.6675,28710.591607911065,-1.1111871062978285
llama3.1_8b,71,quarter32_exclude,2e-06,0.3232596986748757,0.3333823110107015,22,-3.0363375624631908,-3.1618272050160683,0.35717216867487567,16956.235,17.7975,20471.782238425432,17.172648660880963
llama3.1_8b,71,quarter32_exclude,1e-05,0.21265875724894379,0.20135597489021892,3,5.613333483094924,3.509859555004238,0.3139831072489438,10132.435,6.595,11611.15558747921,12.735343836695945
llama3.1_8b,71,sqrt32_include,2e-08,0.6288226635423178,0.6286653668531254,960,0.02502073400031084,0.006380158543395619,0.6530253944923178,1210136.5475,704.4625,1421880.4144920101,14.891819651912074
llama3.1_8b,71,sqrt32_include,1e-07,0.554595279135251,0.544383099705112,343,1.875917793125985,1.479332522108147,0.5963881851352509,417929.06,341.585,510549.119984269,18.141263271029207
llama3.1_8b,71,sqrt32_include,2e-07,0.5139194562272138,0.49896323375342183,146,2.9974598251026747,2.494382982341148,0.5611288072272138,236046.755,244.16,301075.8499363508,21.59890770053403
llama3.1_8b,71,sqrt32_include,1e-06,0.3930190547304496,0.3877124390198602,38,1.3686988542344933,0.3521195190723588,0.4655727322304496,72553.6775,107.52,76705.30343682648,5.412436625383665
llama3.1_8b,71,sqrt32_include,2e-06,0.34906253168068985,0.3333823110107015,22,4.703375119829029,4.567868799341894,0.42130757668068985,36122.5225,55.325,43789.98034426657,17.509617003677135
llama3.1_8b,71,sqrt32_include,1e-05,0.22098203850073284,0.20135597489021892,3,9.746948716676632,7.561146624273348,0.34846676350073286,12748.4725,12.1675,18294.561006845655,30.31550472717197
llama3.1_8b,71,sqrt32_exclude,2e-08,0.551271119769804,0.6286653668531254,960,-12.310881299335659,-12.327222966869396,0.5624193932698041,557413.675,357.75,307123.9571053292,-81.4946903698669
llama3.1_8b,71,sqrt32_exclude,1e-07,0.4823123153740074,0.544383099705112,343,-11.402041019408543,-11.746937500687812,0.4960430086240074,137306.9325,139.705,121377.83029874499,-13.123568086568206
llama3.1_8b,71,sqrt32_exclude,2e-07,0.44710206092884397,0.49896323375342183,146,-10.393786418781843,-10.831455571951265,0.46461705742884396,87574.9825,96.8825,75393.97543402294,-16.15647270999341
llama3.1_8b,71,sqrt32_exclude,1e-06,0.3658334371935749,0.3877124390198602,38,-5.64310030433781,-6.589361580695995,0.39232712719357493,26493.69,22.8225,30317.518011049586,12.612602422322128
llama3.1_8b,71,sqrt32_exclude,2e-06,0.32669297557228,0.3333823110107015,22,-2.006505809543914,-2.133328252604886,0.36512189057228,19214.4575,13.6425,22481.24768867524,14.531178313207505
llama3.1_8b,71,sqrt32_exclude,1e-05,0.2125221648690313,0.20135597489021892,3,5.5454972145228325,3.4433743641570365,0.32387143986903133,11134.9275,7.02,13471.197734125755,17.342706121872343
llama3.1_8b,72,half_include,2e-08,0.6081826672026054,0.608383006510622,960,-0.032929800121424616,-0.0552725844752621,0.6431733771526054,1749535.4975,957.655,1734542.577052122,-0.864373157870757
llama3.1_8b,72,half_include,1e-07,0.4687159979049348,0.5401140493278689,343,-13.219069474638474,-13.414269494032162,0.6430971519049348,1743811.54,955.4875,1731271.7906355816,-0.7243085362012902
llama3.1_8b,72,half_include,2e-07,0.3064689809738964,0.5020303603554253,154,-38.95409417929946,-39.102950174069484,0.6397380419738964,1666345.305,930.335,1587134.1004363194,-4.990832503813292
llama3.1_8b,72,half_include,1e-06,-0.07292165237670467,0.38296732293520575,32,-119.04122049312346,-118.83158772863405,0.5823135701232953,655235.2225,566.405,427989.49874189496,-53.09609801785085
llama3.1_8b,72,half_include,2e-06,-0.11274416183909941,0.3257413568175925,16,-134.6115589805913,-133.92794910011068,0.5182727331609006,315508.4475,379.595,157709.91030148295,-100.05619614954107
llama3.1_8b,72,half_include,1e-05,0.09601243116749242,0.1915852597965504,3,-49.885272348483056,-51.615598879230134,0.37262595616749244,27661.3525,53.3275,25247.841985013307,-9.559274477475398
llama3.1_8b,72,half_exclude,2e-08,0.5770265459404984,0.608383006510622,960,-5.154065816198332,-5.175264019267302,0.6083240092404985,1564873.165,852.7475,699478.1879024376,-123.72008049209771
llama3.1_8b,72,half_exclude,1e-07,0.4473868839263907,0.5401140493278689,343,-17.168071357682724,-17.354388720028492,0.5823522101763907,1349653.2625,760.6275,428257.81624994194,-215.14970919113563
llama3.1_8b,72,half_exclude,2e-07,0.33298964893589383,0.5020303603554253,154,-33.671412083495255,-33.83314951376619,0.5606148069358938,1138125.79,664.4925,290078.7405386027,-292.35063827386625
llama3.1_8b,72,half_exclude,1e-06,0.13673893893626715,0.38296732293520575,32,-64.29488085608754,-64.68797345407857,0.47495101143626717,338212.0725,313.3475,90140.37937462497,-275.20595636100535
llama3.1_8b,72,half_exclude,2e-06,0.034654724149424054,0.3257413568175925,16,-89.36127592517217,-89.57140043581144,0.433885109149424,199615.1925,216.515,52194.38873090916,-282.44569455373136
llama3.1_8b,72,half_exclude,1e-05,0.1483627274716326,0.1915852597965504,3,-22.560468571964766,-25.234246960831175,0.3285356274716326,18017.29,21.8175,15035.667213203475,-19.83033239907195
llama3.1_8b,72,quarter32_include,2e-08,0.6103116795700689,0.608383006510622,960,0.3170162609420633,0.29459526313891515,0.6396891435200689,1468873.1975,845.1325,1585035.8927760446,7.328710712827846
llama3.1_8b,72,quarter32_include,1e-07,0.5477948892241501,0.5401140493278689,343,1.4220774123242,1.1939444416590816,0.6166535554741501,688586.6625,514.48,844030.677493681,18.41686790997532
llama3.1_8b,72,quarter32_include,2e-07,0.507419714855142,0.5020303603554253,154,1.0735116688762107,0.8270512728496625,0.5902250103551421,414026.4775,369.31,491491.7797726919,15.761261014074035
llama3.1_8b,72,quarter32_include,1e-06,0.38490993577627,0.38296732293520575,32,0.507252897238154,-0.5992735086554358,0.47958750077627,94677.565,136.5275,96944.47599627063,2.3383601520089004
llama3.1_8b,72,quarter32_include,2e-06,0.3301481846071604,0.3257413568175925,16,1.3528610037796438,-0.6489505076873061,0.42343244960716037,46642.1325,80.0325,45986.6491079473,-1.4253775927749013
llama3.1_8b,72,quarter32_include,1e-05,0.2059180350201547,0.1915852597965504,3,7.481147160707816,3.770112716291853,0.33026976002015473,12435.1725,14.3125,15369.39170614433,19.091316444041805
llama3.1_8b,72,quarter32_exclude,2e-08,0.5361085079386863,0.608383006510622,960,-11.879769454190685,-11.899464452797314,0.5539075880886862,889954.0075,535.3625,254207.43514827226,-250.08968442678085
llama3.1_8b,72,quarter32_exclude,1e-07,0.46231170490004964,0.5401140493278689,343,-14.404799231687898,-14.597332138961786,0.49056971040004965,282580.055,229.4625,113060.98353456208,-149.9359603692258
llama3.1_8b,72,quarter32_exclude,2e-07,0.42269143984211266,0.5020303603554253,154,-15.803610056001906,-16.008916820029118,0.45119857584211265,142535.68,130.135,64829.124158532446,-119.86365210093655
llama3.1_8b,72,quarter32_exclude,1e-06,0.34433928049847123,0.38296732293520575,32,-10.086511334876993,-11.076406557221754,0.37659192049847123,32252.64,32.195,26416.08083089975,-22.094720282173853
llama3.1_8b,72,quarter32_exclude,2e-06,0.3115655201579729,0.3257413568175925,16,-4.3518688563570125,-6.241006746273163,0.34847520515797287,18454.8425,17.92,18872.931820513757,2.2152854918880194
llama3.1_8b,72,quarter32_exclude,1e-05,0.20463930088518067,0.1915852597965504,3,6.813698038404796,3.1257088139943305,0.3001779758851807,9553.8675,6.5425,10570.782548855479,9.620054562238467
llama3.1_8b,72,sqrt32_include,2e-08,0.6110167670374057,0.608383006510622,960,0.43291158671403046,0.41046468613843773,0.6372391426874057,1311118.7825,788.8775,1487016.734855052,11.828915454149069
llama3.1_8b,72,sqrt32_include,1e-07,0.5443984088151693,0.5401140493278689,343,0.7932323724280084,0.566513889522358,0.5926716568151693,482732.48,413.97,515137.4748966393,6.290552808867433
llama3.1_8b,72,sqrt32_include,2e-07,0.5079266558471915,0.5020303603554253,154,1.1744898232034924,0.9277831993028492,0.5612644673471915,266689.0575,280.9525,293553.23086679116,9.151380581800383
