grid,divisor,splits,adaptive_utility_mean,adaptive_utility_ci_low,adaptive_utility_ci_high,adaptive_utility_std,fixed_utility_mean,fixed_utility_ci_low,fixed_utility_ci_high,fixed_utility_std,utility_gap_mean,utility_gap_ci_low,utility_gap_ci_high,utility_gap_std,relative_utility_gain_pct_mean,relative_utility_gain_pct_ci_low,relative_utility_gain_pct_ci_high,relative_utility_gain_pct_std,adaptive_accuracy_mean,adaptive_accuracy_ci_low,adaptive_accuracy_ci_high,adaptive_accuracy_std,adaptive_chars_mean,adaptive_chars_ci_low,adaptive_chars_ci_high,adaptive_chars_std,adaptive_opens_mean,adaptive_opens_ci_low,adaptive_opens_ci_high,adaptive_opens_std,positive_gap_splits
exp_tail_uncapped_decay,100000.0,5,0.22011828571428574,0.13378411948477648,0.306452451943795,0.06953102156010271,0.21493389285714284,0.1282965587486241,0.3015712269656616,0.06977518413504091,0.005184392857142875,-0.018931111393645943,0.02929989710793169,0.019421924357696747,3.377431466096838,-7.581514390813093,14.336377323006769,8.826015631252528,0.27261904761904765,0.18188893844565707,0.36334915679243823,0.07307138590201862,5250.076190476191,3421.3163140092847,7078.836066943098,1472.8299114031306,10.795238095238094,5.523684700257396,16.06679149021879,4.245555482486983,4
exp_tail_uncapped_decay,200000.0,5,0.22488034523809525,0.10290560060425037,0.34685508987194014,0.0982349047812435,0.23349812499999997,0.1374308197705142,0.32956543022948576,0.07736980807083094,-0.008617779761904754,-0.042526028245008375,0.025290468721198868,0.02730871518555464,-6.878432756080109,-27.72886160763014,13.971996095469922,16.792327780875514,0.2702380952380953,0.17336428381498764,0.3671119066612029,0.07801934465624259,9071.55,1870.6788814019474,16272.421118598051,5799.371753562229,18.39047619047619,4.310372899549426,32.47057948140295,11.339704872892785,2
exp_tail_uncapped_decay,300000.0,5,0.23543386507936512,0.13307217982661496,0.3377955503321153,0.08243911831286907,0.2552228333333334,0.17235345154559337,0.33809221512107346,0.066740585140281,-0.019788968253968257,-0.05484900553347494,0.01527106902553842,0.028236332317137153,-9.422839063074887,-28.684706466444148,9.839028340294375,15.512946683832482,0.27261904761904765,0.1851068048494754,0.3601312903886199,0.0704798100743604,11155.554761904761,2794.4710349603374,19516.638488849185,6733.773177800008,23.720238095238095,8.531816293432849,38.90865989704334,12.232312303310207,1
exp_tail_uncapped_decay,400000.0,5,0.2503116458333333,0.13691208188869236,0.3637112097779743,0.09132870414918115,0.2631174523809524,0.17707197641170208,0.34916292835020274,0.06929851883740432,-0.012805806547619047,-0.0560765356487964,0.030464922553558312,0.03484898423709986,-6.657938876843862,-28.365455579767637,15.049577826079915,17.482601359406935,0.28928571428571426,0.18083889414984666,0.39773253442158185,0.08733990861678416,15589.62738095238,10442.80601866017,20736.44874324459,4145.099938258487,31.965476190476192,20.917266564254216,43.01368581669817,8.897906069761799,2
exp_tail_uncapped_decay,500000.0,5,0.25335800952380955,0.15409985179304314,0.35261616725457595,0.07993962768861532,0.26924972380952383,0.17977703179242072,0.35872241582662695,0.0720586987675712,-0.01589171428571426,-0.05674645947316157,0.024963030901733053,0.03290322119876976,-6.71238989773609,-26.340250716792106,12.915470921319924,15.807707115169954,0.28452380952380957,0.20051476135677168,0.3685328576908474,0.06765843923039438,15582.9,7616.697311677875,23549.102688322124,6415.747496783607,31.747619047619054,18.792836202386027,44.70240189285208,10.43340457963981,2
exp_tail_uncapped_decay,600000.0,5,0.2689537420634921,0.17446693163541938,0.3634405524915648,0.07609692361601911,0.27380743452380957,0.19288441047274865,0.3547304585748705,0.06517304533926012,-0.004853692460317466,-0.03867017824171636,0.028962793321081433,0.02723481217971935,-2.4796389838314257,-18.231915907418202,13.272637939755349,12.686424786717328,0.29642857142857143,0.21489431847117257,0.3779628243859703,0.06566531128819815,16484.89761904762,7009.89072900469,25959.90450909055,7630.894431786553,34.25,17.704478022331443,50.79552197766856,13.325281236795062,1
exp_tail_uncapped_decay,700000.0,5,0.27678501870748307,0.18669384539505357,0.36687619201991256,0.07255680557925384,0.27628547789115643,0.19590738399591898,0.35666357178639385,0.06473417447193065,0.0004995408163265436,-0.028590222048113897,0.029589303680766985,0.023428047286965507,-0.06971861024609138,-12.356366113637776,12.216928893145592,9.895307845895502,0.31309523809523815,0.23169508761833868,0.3944953885721376,0.06555730905837316,25417.153571428567,14171.668429694986,36662.638713162145,9056.786021018332,58.090476190476195,35.39471687731617,80.78623550363622,18.278503158658488,3
exp_tail_uncapped_decay,800000.0,5,0.2782800952380952,0.1797789061634738,0.3767812843127166,0.07932998719228132,0.2789539315476191,0.19342412998623643,0.3644837331090018,0.06888320969691733,-0.0006738363095238232,-0.033935109807272185,0.032587437188224544,0.02678766038627626,-0.6492751678640023,-14.737236453043904,13.438686117315898,11.346033472469246,0.30714285714285716,0.21055139493997016,0.40373431934574416,0.07779194882240258,23090.209523809528,10589.664344597262,35590.7547030218,10067.574800667495,51.37619047619047,19.987867877951327,82.76451307442962,25.279240312714734,2
exp_tail_uncapped_decay,900000.0,5,0.28798414550264545,0.18565416098043955,0.3903141300248514,0.08241358746830073,0.284701537037037,0.20015102986720276,0.3692520442068712,0.06809451453223098,0.003282608465608472,-0.03018170470528014,0.036746921636497086,0.026951182622109757,0.6489552790240047,-12.343008547971785,13.640919106019794,10.463349058835911,0.32261904761904764,0.2280565037153413,0.41718159152275397,0.07615791715029502,31171.411904761906,-1757.4432007318646,64100.26701025567,26519.94030037904,67.42738095238096,1.1159829710697409,133.73877893369217,53.40526750976083,2
exp_tail_uncapped_decay,1000000.0,5,0.28520281666666664,0.19520157799051946,0.3752040553428138,0.07248437484403687,0.29239930595238095,0.20477923664580783,0.3800193752589541,0.07056665042501634,-0.007196489285714281,-0.04167044056319835,0.027277461991769794,0.027764315730628687,-2.2536905158359017,-15.816272593150991,11.308891561479186,10.922908368878545,0.31309523809523815,0.23119333548373594,0.39499714070674036,0.06596140560569079,27892.421428571433,8786.172930173343,46998.669926969524,15387.615752762324,62.1047619047619,26.304083311617994,97.9054404979058,28.832823247621302,2
