split,grid,grid_config_id,divisor,train_utility,test_utility,test_accuracy,test_chars,test_opens,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,tail_decay
63,exp_tail_current,159,700000.0,0.26567831881533105,0.255304906462585,0.26785714285714285,8786.565476190477,15.75,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,2.0,0.75,0.0
63,exp_tail_current,159,800000.0,0.26674320884146346,0.2619234226190476,0.27380952380952384,9508.880952380952,17.5,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,2.0,0.75,0.0
63,exp_tail_current,159,900000.0,0.2796458739837398,0.262329007936508,0.27380952380952384,10332.464285714286,18.779761904761905,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,2.0,0.75,0.0
63,exp_tail_current,159,1000000.0,0.2863999695121951,0.2622051785714286,0.27380952380952384,11604.345238095239,23.49404761904762,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,2.0,0.75,0.0
63,exp_tail_current,160,100000.0,0.1657335975609756,0.16967190476190477,0.2857142857142857,11604.238095238095,17.910714285714285,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.75,0.0
63,exp_tail_current,160,200000.0,0.23078975609756097,0.21660598214285712,0.2857142857142857,13821.660714285714,19.785714285714285,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.75,0.0
63,exp_tail_current,160,300000.0,0.24178524390243902,0.2340035714285714,0.2857142857142857,15513.214285714286,23.375,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.75,0.0
63,exp_tail_current,160,400000.0,0.24057425304878047,0.2464973511904762,0.2916666666666667,18067.72619047619,36.44047619047619,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.75,0.0
63,exp_tail_current,160,500000.0,0.255919743902439,0.24976402380952384,0.2916666666666667,20951.321428571428,43.13690476190476,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.75,0.0
63,exp_tail_current,160,600000.0,0.2640753760162602,0.25540885912698413,0.2916666666666667,21754.684523809523,45.54761904761905,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.75,0.0
63,exp_tail_current,160,700000.0,0.2698938763066202,0.25766576530612245,0.2916666666666667,23800.630952380954,52.67261904761905,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.75,0.0
63,exp_tail_current,160,800000.0,0.27362404725609757,0.25950379464285717,0.2916666666666667,25730.29761904762,58.25595238095238,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.75,0.0
63,exp_tail_current,160,900000.0,0.27593802845528453,0.26014272486772483,0.2916666666666667,28371.54761904762,60.5,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.75,0.0
63,exp_tail_current,160,1000000.0,0.2783257987804878,0.26031233333333337,0.2916666666666667,31354.333333333332,75.61904761904762,shifted_exponential,bounded_identity,0.0,1000000.0,0.0,,0.75,0.0
63,exp_tail_current,161,100000.0,0.18860134146341462,0.21212380952380952,0.24404761904761904,3192.3809523809523,4.630952380952381,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.0,0.75,0.0
63,exp_tail_current,161,200000.0,0.2142762804878049,0.2299419642857143,0.25,4011.6071428571427,6.011904761904762,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.0,0.75,0.0
63,exp_tail_current,161,300000.0,0.22924573170731707,0.23511722222222226,0.25,4464.833333333333,6.833333333333333,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.0,0.75,0.0
63,exp_tail_current,161,400000.0,0.24905864329268293,0.24880311011904763,0.2619047619047619,5240.660714285715,7.761904761904762,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.0,0.75,0.0
63,exp_tail_current,161,500000.0,0.26855036585365855,0.2566040476190476,0.26785714285714285,5626.547619047619,8.416666666666666,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.0,0.75,0.0
63,exp_tail_current,161,600000.0,0.2755411991869918,0.2578816865079365,0.26785714285714285,5985.273809523809,8.982142857142858,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.0,0.75,0.0
63,exp_tail_current,161,700000.0,0.2700007404181185,0.25850822278911567,0.26785714285714285,6544.244047619048,9.672619047619047,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.0,0.75,0.0
63,exp_tail_current,161,800000.0,0.27061980945121955,0.2592205133928571,0.26785714285714285,6909.303571428572,10.19047619047619,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.0,0.75,0.0
63,exp_tail_current,161,900000.0,0.2712743902439025,0.25980790343915344,0.26785714285714285,7244.315476190476,10.648809523809524,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.0,0.75,0.0
63,exp_tail_current,161,1000000.0,0.27176456707317076,0.2603192559523809,0.26785714285714285,7537.886904761905,11.160714285714286,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.0,0.75,0.0
63,exp_tail_current,162,100000.0,0.18695432926829267,0.2050307142857143,0.23809523809523808,3306.4523809523807,4.863095238095238,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.1,0.75,0.0
63,exp_tail_current,162,200000.0,0.21874256097560973,0.22891154761904758,0.25,4217.690476190476,6.363095238095238,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.1,0.75,0.0
63,exp_tail_current,162,300000.0,0.22791056910569105,0.24026448412698415,0.25595238095238093,4706.369047619048,7.095238095238095,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.1,0.75,0.0
63,exp_tail_current,162,400000.0,0.2662017835365854,0.2541922172619048,0.26785714285714285,5465.9702380952385,8.119047619047619,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.1,0.75,0.0
63,exp_tail_current,162,500000.0,0.27375875609756095,0.2561899166666667,0.26785714285714285,5833.613095238095,8.755952380952381,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.1,0.75,0.0
63,exp_tail_current,162,600000.0,0.268544756097561,0.2572594246031746,0.26785714285714285,6358.630952380952,9.428571428571429,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.1,0.75,0.0
63,exp_tail_current,162,700000.0,0.2693246602787457,0.25807778911564627,0.26785714285714285,6845.547619047619,10.077380952380953,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.1,0.75,0.0
63,exp_tail_current,162,800000.0,0.270123818597561,0.25880174851190474,0.26785714285714285,7244.315476190476,10.648809523809524,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.1,0.75,0.0
63,exp_tail_current,162,900000.0,0.27079693766937674,0.25948171296296296,0.26785714285714285,7537.886904761905,11.160714285714286,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.1,0.75,0.0
63,exp_tail_current,162,1000000.0,0.2712959634146342,0.26008494642857144,0.26785714285714285,7772.196428571428,11.660714285714286,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.1,0.75,0.0
63,exp_tail_current,163,100000.0,0.1849094512195122,0.20392214285714289,0.23809523809523808,3417.309523809524,5.083333333333333,shifted_exponential,bounded_identity,0.0,1000000.0,10.0,1.2,0.75,0.0
