reward_model,model,price_per_million,profit_gain,ci_low,ci_high,confidence,bootstrap_repetitions
armorm_llama3_8b,qwen35_9b,5.0,-0.010694724095329558,-0.01232055019608462,-0.009263022711225073,0.95,1000
armorm_llama3_8b,qwen35_9b,10.0,-0.023059331704953265,-0.026304178793167828,-0.020203889255329496,0.95,1000
armorm_llama3_8b,qwen35_9b,20.0,-0.04785384003775229,-0.054420390420297254,-0.04220650463447587,0.95,1000
fsfairx_llama3_rm,gemma3_4b,0.1,0.0030594855773344136,-0.0018318843459195443,0.007284863563576616,0.95,1000
fsfairx_llama3_rm,gemma3_4b,0.2,0.005877664246513313,0.0014536434351562772,0.010447031739025855,0.95,1000
fsfairx_llama3_rm,gemma3_4b,0.5,0.010307221186663001,0.004822320325376233,0.017125187302068082,0.95,1000
fsfairx_llama3_rm,gemma3_4b,1.0,0.016088039437790812,0.00979890241717466,0.02330207348094863,0.95,1000
fsfairx_llama3_rm,gemma3_4b,2.0,0.01312160838843858,0.005888975844396119,0.021491674113269008,0.95,1000
fsfairx_llama3_rm,gemma3_4b,5.0,0.008441320630921971,0.0011470289562874247,0.016221445432598503,0.95,1000
fsfairx_llama3_rm,gemma3_4b,10.0,0.01397008582650865,0.006799906386488907,0.021219801733014368,0.95,1000
fsfairx_llama3_rm,gemma3_4b,20.0,0.01740726987922025,0.010662579130077633,0.02532286455948272,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.1,0.010196981514227332,0.002700903108566393,0.0165199996887167,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.2,0.011321836679925161,0.005698336466354124,0.01743076270528309,0.95,1000
fsfairx_llama3_rm,granite42_8b,0.5,0.014219667412369564,0.007690001590829523,0.021825531728263767,0.95,1000
fsfairx_llama3_rm,granite42_8b,1.0,0.013220594567782722,0.006498778565842589,0.02062699588872373,0.95,1000
fsfairx_llama3_rm,granite42_8b,2.0,0.01676531259066626,0.009427355385735749,0.02447682627018489,0.95,1000
fsfairx_llama3_rm,granite42_8b,5.0,0.0063715169068053745,-0.001514043645150551,0.014587706342906978,0.95,1000
fsfairx_llama3_rm,granite42_8b,10.0,0.011710822392289644,0.004092376284895135,0.020130729214997277,0.95,1000
fsfairx_llama3_rm,granite42_8b,20.0,0.016233140458069093,0.0078309996607142,0.02555254575704612,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.1,0.010860471363334005,0.007835016138010135,0.014053508302387038,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.2,0.01116364760764454,0.007070937639248236,0.015791096071433086,0.95,1000
fsfairx_llama3_rm,ministral3_8b,0.5,0.01731655676129306,0.01145204388282701,0.02429048695712422,0.95,1000
fsfairx_llama3_rm,ministral3_8b,1.0,0.0193290803213799,0.013186036626052082,0.027306638473434768,0.95,1000
fsfairx_llama3_rm,ministral3_8b,2.0,0.023823576319505258,0.016352934016438187,0.03267174666557426,0.95,1000
fsfairx_llama3_rm,ministral3_8b,5.0,0.017459807430549493,0.007812480641781304,0.029304307010261654,0.95,1000
fsfairx_llama3_rm,ministral3_8b,10.0,0.01893326321866245,0.011587798313578536,0.02740915210993949,0.95,1000
fsfairx_llama3_rm,ministral3_8b,20.0,0.012193746129105187,0.00411048552727803,0.022269027785563673,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.1,0.010834260800375023,0.006517931356586205,0.015524891388556302,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.2,0.014980738928601012,0.010267719284723151,0.020454275750884293,0.95,1000
fsfairx_llama3_rm,qwen35_9b,0.5,0.016012654260794557,0.009998066212064661,0.022645353915975486,0.95,1000
fsfairx_llama3_rm,qwen35_9b,1.0,0.016179560908339025,0.010871331933510102,0.0216195290033431,0.95,1000
fsfairx_llama3_rm,qwen35_9b,2.0,0.012220168439599409,0.005362136275798501,0.01990610780658757,0.95,1000
fsfairx_llama3_rm,qwen35_9b,5.0,0.010058295530416162,0.003228156713426607,0.017764125221416745,0.95,1000
fsfairx_llama3_rm,qwen35_9b,10.0,0.02301833107756214,0.013904661999853499,0.032864562664544156,0.95,1000
fsfairx_llama3_rm,qwen35_9b,20.0,0.02110539371913312,0.013193429465107058,0.028811553203466653,0.95,1000
rm_mistral_7b,gemma3_4b,0.1,0.0036350393554452657,0.0009695049500793113,0.0059941882239542225,0.95,1000
rm_mistral_7b,gemma3_4b,0.2,0.00763468296659958,0.004267888560483143,0.011239596205180965,0.95,1000
rm_mistral_7b,gemma3_4b,0.5,0.009271350789788507,0.004919228264157922,0.014559995240843879,0.95,1000
rm_mistral_7b,gemma3_4b,1.0,0.009175944687369026,0.0037463163963768033,0.015211898807561398,0.95,1000
rm_mistral_7b,gemma3_4b,2.0,0.0107054621673662,0.004682835030186521,0.01746549718014566,0.95,1000
rm_mistral_7b,gemma3_4b,5.0,0.004186619235459127,-0.002474500181595024,0.01217429887945682,0.95,1000
rm_mistral_7b,gemma3_4b,10.0,0.00904469947585758,0.0030051169382131642,0.01592300142483228,0.95,1000
rm_mistral_7b,gemma3_4b,20.0,0.01060770722880612,0.005232188475173784,0.01772587337746587,0.95,1000
rm_mistral_7b,granite42_8b,0.1,0.0001083838096377081,-0.006854441636005372,0.006533842587542139,0.95,1000
rm_mistral_7b,granite42_8b,0.2,0.003612462470842982,-0.0017420690583015903,0.008923359219724631,0.95,1000
rm_mistral_7b,granite42_8b,0.5,0.01111917296239896,0.0051014642702448525,0.017225252512600178,0.95,1000
rm_mistral_7b,granite42_8b,1.0,0.009413724019469823,0.003301580067299394,0.015933951394916587,0.95,1000
rm_mistral_7b,granite42_8b,2.0,0.010285742164744812,0.0032133634436774558,0.01706687234161542,0.95,1000
rm_mistral_7b,granite42_8b,5.0,0.0020447632024450267,-0.0066839217632346576,0.009706937110677901,0.95,1000
rm_mistral_7b,granite42_8b,10.0,0.010129376135902823,0.0020495788785744595,0.018924810178280044,0.95,1000
rm_mistral_7b,granite42_8b,20.0,0.012851218459572846,0.005604840712623368,0.02043351582052426,0.95,1000
rm_mistral_7b,ministral3_8b,0.1,0.007113100234871705,0.0029013535147307925,0.011468716332087764,0.95,1000
rm_mistral_7b,ministral3_8b,0.2,0.010797620383161843,0.005830204136910792,0.015835586803082682,0.95,1000
rm_mistral_7b,ministral3_8b,0.5,0.00920475988726057,0.003792738195738554,0.014433732092099005,0.95,1000
rm_mistral_7b,ministral3_8b,1.0,0.016030517638421025,0.010836782371976,0.021599335579819332,0.95,1000
rm_mistral_7b,ministral3_8b,2.0,0.012149280826463429,0.00327384365223229,0.020588941582592644,0.95,1000
rm_mistral_7b,ministral3_8b,5.0,0.009032296413173274,0.00021674281715832405,0.017968655234615848,0.95,1000
rm_mistral_7b,ministral3_8b,10.0,0.018414417796596222,0.010673033885420496,0.02729849883234534,0.95,1000
rm_mistral_7b,ministral3_8b,20.0,0.01153406558309307,0.0036104283221715114,0.021534930506255778,0.95,1000
rm_mistral_7b,qwen35_9b,0.1,0.007811971009019319,0.003919174822450719,0.01140283365203849,0.95,1000
rm_mistral_7b,qwen35_9b,0.2,0.009045426352631478,0.004677662180057189,0.014095154394349671,0.95,1000
rm_mistral_7b,qwen35_9b,0.5,0.013218772482146663,0.008648660265300158,0.01816844839713336,0.95,1000
rm_mistral_7b,qwen35_9b,1.0,0.012157897044331489,0.007610345053013593,0.017514243198811678,0.95,1000
rm_mistral_7b,qwen35_9b,2.0,0.008228927058640987,0.0018939985514226036,0.015044473364731106,0.95,1000
rm_mistral_7b,qwen35_9b,5.0,0.009467555003502872,0.00195617416131824,0.017103632448822532,0.95,1000
rm_mistral_7b,qwen35_9b,10.0,0.016110603998618855,0.007319040475681442,0.02500223221326921,0.95,1000
rm_mistral_7b,qwen35_9b,20.0,0.019522243999643935,0.012098701926592615,0.02695381510095546,0.95,1000
skywork_llama31_8b,gemma3_4b,0.1,-0.12858069076674833,-0.15065716054986994,-0.11045946788224165,0.95,1000
skywork_llama31_8b,gemma3_4b,0.2,-0.1778583179770395,-0.20189851216689866,-0.15523973847497546,0.95,1000
skywork_llama31_8b,gemma3_4b,0.5,-0.2116134210204069,-0.2441872238767205,-0.18169088057817745,0.95,1000
