generator,reward_model,split_seed,price_per_million,policy,fixed_n,fixed_net_utility,adaptive_quality,adaptive_output_tokens,adaptive_calls,adaptive_net_utility,relative_gain_percent
ministral3_8b,fsfairx_llama3_rm,71,0.1,one_over_n_plus_one,387,0.5672350453932439,0.6182496607797143,492497.6825,639.0075,0.5689998925297143,0.31113154076136085
ministral3_8b,fsfairx_llama3_rm,71,0.1,record_then_smooth,387,0.5672350453932439,0.6170970067973107,487540.4425,635.275,0.5683429625473108,0.19531888289779498
ministral3_8b,fsfairx_llama3_rm,71,0.1,current_mean_costse2,387,0.5672350453932439,0.6130436534176202,344310.76,493.295,0.5786125774176203,2.005787921035234
ministral3_8b,fsfairx_llama3_rm,71,0.2,four_over_n,240,0.533884441914669,0.6351167069304158,732486.0975,817.745,0.4886194874304157,-8.478417974106838
ministral3_8b,fsfairx_llama3_rm,71,0.2,four_over_n_plus_one,240,0.533884441914669,0.6351167069304158,732005.7,817.445,0.48871556693041573,-8.460421663958627
ministral3_8b,fsfairx_llama3_rm,71,0.2,one_over_n,240,0.533884441914669,0.5892211542074169,291173.54,444.725,0.530986446207417,-0.5428132906175246
ministral3_8b,fsfairx_llama3_rm,71,0.2,one_over_n_plus_one,240,0.533884441914669,0.5889420431899302,290164.085,443.935,0.5309092261899302,-0.5572770980305753
ministral3_8b,fsfairx_llama3_rm,71,0.2,record_then_smooth,240,0.533884441914669,0.5876668884112439,285512.8025,439.89,0.530564327911244,-0.6218787705290874
ministral3_8b,fsfairx_llama3_rm,71,0.2,current_mean_costse2,240,0.533884441914669,0.5840629059880371,200014.7875,322.235,0.5440599484880371,1.9059380222573394
ministral3_8b,fsfairx_llama3_rm,71,0.5,four_over_n,119,0.48010120435292286,0.6086536784572707,417666.03,574.05,0.3998206634572707,-16.721587067013033
ministral3_8b,fsfairx_llama3_rm,71,0.5,four_over_n_plus_one,119,0.48010120435292286,0.6086536784572707,416973.1825,573.48,0.4001670872072707,-16.649430666058596
ministral3_8b,fsfairx_llama3_rm,71,0.5,one_over_n,119,0.48010120435292286,0.5457122965792425,137552.57,243.86,0.4769360115792425,-0.6592761578147687
ministral3_8b,fsfairx_llama3_rm,71,0.5,one_over_n_plus_one,119,0.48010120435292286,0.5455216040705939,136717.0825,243.07,0.47716306282059395,-0.6119837871035786
